"file name","Mean Reciprocal Rank"
"percobaan_1.csv","25%"
"percobaan_2.csv","26%"
"percobaan_3.csv","24%"
"percobaan_4.csv","26%"
"percobaan_5.csv","24%"
"percobaan_6.csv","32%"
"percobaan_7.csv","25%"
"percobaan_8.csv","25%"
"percobaan_9.csv","28%"
"percobaan_10.csv","51%"
"percobaan_11.csv","48%"
"percobaan_12.csv","48%"
"percobaan_13.csv","49%"
"percobaan_14.csv","48%"
"percobaan_15.csv","49%"
"percobaan_16.csv","49%"
"percobaan_17.csv","24%"
"percobaan_18.csv","24%"
"percobaan_19.csv","23%"
"percobaan_20.csv","25%"
"percobaan_21.csv","23%"
"percobaan_22.csv","29%"
"percobaan_23.csv","27%"
"percobaan_24.csv","23%"
"percobaan_25.csv","27%"
"percobaan_26.csv","50%"
"percobaan_27.csv","46%"
"percobaan_28.csv","45%"
"percobaan_29.csv","47%"
"percobaan_30.csv","46%"
"percobaan_31.csv","46%"
"percobaan_32.csv","46%"
