rank,document,verdict,Precision,Recall
1,dok212.txt,AC,1.0,0.16666666666666666
2,dok283.txt,WA,0.5,0.16666666666666666
3,dok228.txt,WA,0.3333333333333333,0.16666666666666666
4,dok161.txt,WA,0.25,0.16666666666666666
5,dok230.txt,WA,0.2,0.16666666666666666
6,dok275.txt,WA,0.16666666666666666,0.16666666666666666
7,dok232.txt,AC,0.2857142857142857,0.3333333333333333
8,dok247.txt,WA,0.25,0.3333333333333333
9,dok269.txt,WA,0.2222222222222222,0.3333333333333333
10,dok365.txt,AC,0.3,0.5
11,dok251.txt,WA,0.2727272727272727,0.5
12,dok249.txt,WA,0.25,0.5
13,dok208.txt,WA,0.23076923076923078,0.5
14,dok344.txt,WA,0.21428571428571427,0.5
15,dok253.txt,AC,0.26666666666666666,0.6666666666666666
16,dok296.txt,WA,0.25,0.6666666666666666
17,dok218.txt,AC,0.29411764705882354,0.8333333333333334
18,dok399.txt,WA,0.2777777777777778,0.8333333333333334
19,dok231.txt,WA,0.2631578947368421,0.8333333333333334
20,dok351.txt,WA,0.25,0.8333333333333334
21,dok267.txt,WA,0.23809523809523808,0.8333333333333334
22,dok308.txt,WA,0.22727272727272727,0.8333333333333334
23,dok276.txt,WA,0.21739130434782608,0.8333333333333334
24,dok222.txt,WA,0.20833333333333334,0.8333333333333334
25,dok215.txt,AC,0.24,1.0
26,dok298.txt,WA,0.23076923076923078,1.0
27,dok236.txt,WA,0.2222222222222222,1.0
28,dok205.txt,WA,0.21428571428571427,1.0
29,dok225.txt,WA,0.20689655172413793,1.0
30,dok363.txt,WA,0.2,1.0
31,dok376.txt,WA,0.1935483870967742,1.0
32,dok145.txt,WA,0.1875,1.0
33,dok235.txt,WA,0.18181818181818182,1.0
34,dok369.txt,WA,0.17647058823529413,1.0
35,dok144.txt,WA,0.17142857142857143,1.0
36,dok307.txt,WA,0.16666666666666666,1.0
37,dok401.txt,WA,0.16216216216216217,1.0
38,dok148.txt,WA,0.15789473684210525,1.0
39,dok285.txt,WA,0.15384615384615385,1.0
40,dok378.txt,WA,0.15,1.0
41,dok227.txt,WA,0.14634146341463414,1.0
42,dok402.txt,WA,0.14285714285714285,1.0
43,dok201.txt,WA,0.13953488372093023,1.0
44,dok377.txt,WA,0.13636363636363635,1.0
45,dok257.txt,WA,0.13333333333333333,1.0
46,dok272.txt,WA,0.13043478260869565,1.0
47,dok246.txt,WA,0.1276595744680851,1.0
48,dok379.txt,WA,0.125,1.0
49,dok143.txt,WA,0.12244897959183673,1.0
50,dok288.txt,WA,0.12,1.0
average precision,0.22616028556926931
