rank,document,verdict,Precision,Recall
1,dok356.txt,AC,1.0,0.047619047619047616
2,dok115.txt,AC,1.0,0.09523809523809523
3,dok44.txt,AC,1.0,0.14285714285714285
4,dok390.txt,AC,1.0,0.19047619047619047
5,dok20.txt,AC,1.0,0.23809523809523808
6,dok91.txt,AC,1.0,0.2857142857142857
7,dok263.txt,AC,1.0,0.3333333333333333
8,dok17.txt,AC,1.0,0.38095238095238093
9,dok88.txt,AC,1.0,0.42857142857142855
10,dok165.txt,AC,1.0,0.47619047619047616
11,dok388.txt,WA,0.9090909090909091,0.47619047619047616
12,dok157.txt,AC,0.9166666666666666,0.5238095238095238
13,dok16.txt,AC,0.9230769230769231,0.5714285714285714
14,dok266.txt,AC,0.9285714285714286,0.6190476190476191
15,dok87.txt,AC,0.9333333333333333,0.6666666666666666
16,dok258.txt,WA,0.875,0.6666666666666666
17,dok159.txt,WA,0.8235294117647058,0.6666666666666666
18,dok355.txt,WA,0.7777777777777778,0.6666666666666666
19,dok102.txt,WA,0.7368421052631579,0.6666666666666666
20,dok31.txt,WA,0.7,0.6666666666666666
21,dok304.txt,WA,0.6666666666666666,0.6666666666666666
22,dok26.txt,WA,0.6363636363636364,0.6666666666666666
23,dok97.txt,WA,0.6086956521739131,0.6666666666666666
24,dok79.txt,WA,0.5833333333333334,0.6666666666666666
25,dok8.txt,WA,0.56,0.6666666666666666
26,dok332.txt,WA,0.5384615384615384,0.6666666666666666
27,dok261.txt,WA,0.5185185185185185,0.6666666666666666
28,dok14.txt,WA,0.5,0.6666666666666666
29,dok167.txt,WA,0.4827586206896552,0.6666666666666666
30,dok316.txt,WA,0.4666666666666667,0.6666666666666666
31,dok85.txt,WA,0.45161290322580644,0.6666666666666666
32,dok25.txt,AC,0.46875,0.7142857142857143
33,dok96.txt,AC,0.48484848484848486,0.7619047619047619
34,dok27.txt,WA,0.47058823529411764,0.7619047619047619
35,dok98.txt,WA,0.45714285714285713,0.7619047619047619
36,dok19.txt,WA,0.4444444444444444,0.7619047619047619
37,dok90.txt,WA,0.43243243243243246,0.7619047619047619
38,dok385.txt,WA,0.42105263157894735,0.7619047619047619
39,dok325.txt,WA,0.41025641025641024,0.7619047619047619
40,dok268.txt,WA,0.4,0.7619047619047619
41,dok265.txt,AC,0.4146341463414634,0.8095238095238095
42,dok322.txt,AC,0.42857142857142855,0.8571428571428571
43,dok380.txt,WA,0.4186046511627907,0.8571428571428571
44,dok371.txt,AC,0.4318181818181818,0.9047619047619048
45,dok302.txt,AC,0.4444444444444444,0.9523809523809523
46,dok384.txt,WA,0.43478260869565216,0.9523809523809523
47,dok392.txt,WA,0.425531914893617,0.9523809523809523
48,dok162.txt,WA,0.4166666666666667,0.9523809523809523
49,dok23.txt,WA,0.40816326530612246,0.9523809523809523
50,dok94.txt,WA,0.4,0.9523809523809523
51,dok333.txt,WA,0.39215686274509803,0.9523809523809523
52,dok12.txt,WA,0.38461538461538464,0.9523809523809523
53,dok83.txt,WA,0.37735849056603776,0.9523809523809523
54,dok21.txt,WA,0.37037037037037035,0.9523809523809523
55,dok92.txt,WA,0.36363636363636365,0.9523809523809523
56,dok387.txt,AC,0.375,1.0
57,dok397.txt,WA,0.3684210526315789,1.0
58,dok166.txt,WA,0.3620689655172414,1.0
59,dok391.txt,WA,0.3559322033898305,1.0
60,dok18.txt,WA,0.35,1.0
61,dok89.txt,WA,0.3442622950819672,1.0
62,dok119.txt,WA,0.3387096774193548,1.0
63,dok48.txt,WA,0.3333333333333333,1.0
64,dok383.txt,WA,0.328125,1.0
65,dok80.txt,WA,0.3230769230769231,1.0
66,dok9.txt,WA,0.3181818181818182,1.0
67,dok22.txt,WA,0.31343283582089554,1.0
68,dok93.txt,WA,0.3088235294117647,1.0
69,dok113.txt,WA,0.30434782608695654,1.0
70,dok42.txt,WA,0.3,1.0
71,dok381.txt,WA,0.29577464788732394,1.0
72,dok341.txt,WA,0.2916666666666667,1.0
73,dok331.txt,WA,0.2876712328767123,1.0
74,dok10.txt,WA,0.28378378378378377,1.0
75,dok81.txt,WA,0.28,1.0
76,dok120.txt,WA,0.27631578947368424,1.0
77,dok49.txt,WA,0.2727272727272727,1.0
78,dok328.txt,WA,0.2692307692307692,1.0
79,dok290.txt,WA,0.26582278481012656,1.0
80,dok121.txt,WA,0.2625,1.0
81,dok50.txt,WA,0.25925925925925924,1.0
82,dok368.txt,WA,0.25609756097560976,1.0
83,dok7.txt,WA,0.25301204819277107,1.0
84,dok78.txt,WA,0.25,1.0
85,dok267.txt,WA,0.24705882352941178,1.0
86,dok308.txt,WA,0.2441860465116279,1.0
87,dok11.txt,WA,0.2413793103448276,1.0
88,dok82.txt,WA,0.23863636363636365,1.0
89,dok219.txt,WA,0.23595505617977527,1.0
90,dok6.txt,WA,0.23333333333333334,1.0
91,dok77.txt,WA,0.23076923076923078,1.0
92,dok224.txt,WA,0.22826086956521738,1.0
93,dok376.txt,WA,0.22580645161290322,1.0
94,dok2.txt,WA,0.22340425531914893,1.0
95,dok73.txt,WA,0.22105263157894736,1.0
96,dok330.txt,WA,0.21875,1.0
97,dok214.txt,WA,0.21649484536082475,1.0
98,dok13.txt,WA,0.21428571428571427,1.0
99,dok84.txt,WA,0.21212121212121213,1.0
100,dok173.txt,WA,0.21,1.0
average precision,0.4710690778746016
