rank,document,verdict,Precision,Recall
1,dok236.txt,WA,0.0,0.0
2,dok365.txt,AC,0.5,0.125
3,dok402.txt,WA,0.3333333333333333,0.125
4,dok110.txt,WA,0.25,0.125
5,dok39.txt,WA,0.2,0.125
6,dok197.txt,WA,0.16666666666666666,0.125
7,dok248.txt,WA,0.14285714285714285,0.125
8,dok247.txt,WA,0.125,0.125
9,dok187.txt,WA,0.1111111111111111,0.125
10,dok350.txt,WA,0.1,0.125
11,dok238.txt,WA,0.09090909090909091,0.125
12,dok359.txt,WA,0.08333333333333333,0.125
13,dok378.txt,WA,0.07692307692307693,0.125
14,dok393.txt,WA,0.07142857142857142,0.125
15,dok212.txt,WA,0.06666666666666667,0.125
16,dok183.txt,WA,0.0625,0.125
17,dok218.txt,WA,0.058823529411764705,0.125
18,dok221.txt,AC,0.1111111111111111,0.25
19,dok139.txt,WA,0.10526315789473684,0.25
20,dok68.txt,WA,0.1,0.25
21,dok255.txt,WA,0.09523809523809523,0.25
22,dok211.txt,WA,0.09090909090909091,0.25
23,dok354.txt,WA,0.08695652173913043,0.25
24,dok394.txt,AC,0.125,0.375
25,dok178.txt,WA,0.12,0.375
26,dok399.txt,WA,0.11538461538461539,0.375
27,dok204.txt,WA,0.1111111111111111,0.375
28,dok253.txt,WA,0.10714285714285714,0.375
29,dok140.txt,WA,0.10344827586206896,0.375
30,dok69.txt,WA,0.1,0.375
31,dok217.txt,WA,0.0967741935483871,0.375
32,dok208.txt,AC,0.125,0.5
33,dok373.txt,WA,0.12121212121212122,0.5
34,dok161.txt,WA,0.11764705882352941,0.5
35,dok249.txt,AC,0.14285714285714285,0.625
36,dok380.txt,WA,0.1388888888888889,0.625
37,dok360.txt,WA,0.13513513513513514,0.625
38,dok103.txt,WA,0.13157894736842105,0.625
39,dok32.txt,WA,0.1282051282051282,0.625
40,dok142.txt,AC,0.15,0.75
41,dok71.txt,AC,0.17073170731707318,0.875
42,dok229.txt,WA,0.16666666666666666,0.875
43,dok348.txt,WA,0.16279069767441862,0.875
44,dok123.txt,WA,0.1590909090909091,0.875
45,dok52.txt,WA,0.15555555555555556,0.875
46,dok261.txt,WA,0.15217391304347827,0.875
47,dok116.txt,WA,0.14893617021276595,0.875
48,dok45.txt,WA,0.14583333333333334,0.875
49,dok230.txt,AC,0.16326530612244897,1.0
50,dok347.txt,WA,0.16,1.0
average precision,0.13366920468177965
