rank,document,verdict,Precision,Recall
1,dok184.txt,WA,0.0,0.0
2,dok339.txt,WA,0.0,0.0
3,dok378.txt,WA,0.0,0.0
4,dok284.txt,WA,0.0,0.0
5,dok144.txt,WA,0.0,0.0
6,dok157.txt,WA,0.0,0.0
7,dok298.txt,WA,0.0,0.0
8,dok21.txt,WA,0.0,0.0
9,dok92.txt,WA,0.0,0.0
10,dok261.txt,WA,0.0,0.0
11,dok370.txt,WA,0.0,0.0
12,dok25.txt,WA,0.0,0.0
13,dok96.txt,WA,0.0,0.0
14,dok318.txt,WA,0.0,0.0
15,dok178.txt,WA,0.0,0.0
16,dok332.txt,WA,0.0,0.0
17,dok24.txt,WA,0.0,0.0
18,dok95.txt,WA,0.0,0.0
19,dok380.txt,WA,0.0,0.0
20,dok371.txt,WA,0.0,0.0
21,dok205.txt,WA,0.0,0.0
22,dok302.txt,WA,0.0,0.0
23,dok344.txt,WA,0.0,0.0
24,dok258.txt,WA,0.0,0.0
25,dok233.txt,WA,0.0,0.0
26,dok142.txt,AC,0.038461538461538464,0.2
27,dok71.txt,AC,0.07407407407407407,0.4
28,dok138.txt,WA,0.07142857142857142,0.4
29,dok67.txt,WA,0.06896551724137931,0.4
30,dok376.txt,WA,0.06666666666666667,0.4
31,dok26.txt,WA,0.06451612903225806,0.4
32,dok97.txt,WA,0.0625,0.4
33,dok277.txt,WA,0.06060606060606061,0.4
34,dok253.txt,WA,0.058823529411764705,0.4
35,dok235.txt,WA,0.05714285714285714,0.4
36,dok290.txt,WA,0.05555555555555555,0.4
37,dok103.txt,AC,0.08108108108108109,0.6
38,dok32.txt,AC,0.10526315789473684,0.8
39,dok359.txt,WA,0.10256410256410256,0.8
40,dok220.txt,WA,0.1,0.8
41,dok397.txt,WA,0.0975609756097561,0.8
42,dok394.txt,AC,0.11904761904761904,1.0
43,dok181.txt,WA,0.11627906976744186,1.0
44,dok317.txt,WA,0.11363636363636363,1.0
45,dok337.txt,WA,0.1111111111111111,1.0
46,dok377.txt,WA,0.10869565217391304,1.0
47,dok113.txt,WA,0.10638297872340426,1.0
48,dok42.txt,WA,0.10416666666666667,1.0
49,dok166.txt,WA,0.10204081632653061,1.0
50,dok1.txt,WA,0.1,1.0
average precision,0.04293140188446906
