rank,document,verdict,Precision,Recall
1,dok127.txt,AC,1.0,0.5
2,dok56.txt,AC,1.0,1.0
3,dok128.txt,WA,0.6666666666666666,1.0
4,dok57.txt,WA,0.5,1.0
5,dok222.txt,WA,0.4,1.0
6,dok15.txt,WA,0.3333333333333333,1.0
7,dok86.txt,WA,0.2857142857142857,1.0
8,dok126.txt,WA,0.25,1.0
9,dok328.txt,WA,0.2222222222222222,1.0
10,dok386.txt,WA,0.2,1.0
11,dok55.txt,WA,0.18181818181818182,1.0
12,dok79.txt,WA,0.16666666666666666,1.0
13,dok8.txt,WA,0.15384615384615385,1.0
14,dok236.txt,WA,0.14285714285714285,1.0
15,dok300.txt,WA,0.13333333333333333,1.0
16,dok10.txt,WA,0.125,1.0
17,dok80.txt,WA,0.11764705882352941,1.0
18,dok81.txt,WA,0.1111111111111111,1.0
19,dok9.txt,WA,0.10526315789473684,1.0
20,dok131.txt,WA,0.1,1.0
21,dok28.txt,WA,0.09523809523809523,1.0
22,dok60.txt,WA,0.09090909090909091,1.0
23,dok99.txt,WA,0.08695652173913043,1.0
24,dok232.txt,WA,0.08333333333333333,1.0
25,dok334.txt,WA,0.08,1.0
26,dok11.txt,WA,0.07692307692307693,1.0
27,dok82.txt,WA,0.07407407407407407,1.0
28,dok331.txt,WA,0.07142857142857142,1.0
29,dok372.txt,WA,0.06896551724137931,1.0
30,dok24.txt,WA,0.06666666666666667,1.0
31,dok95.txt,WA,0.06451612903225806,1.0
32,dok113.txt,WA,0.0625,1.0
33,dok397.txt,WA,0.06060606060606061,1.0
34,dok42.txt,WA,0.058823529411764705,1.0
35,dok20.txt,WA,0.05714285714285714,1.0
36,dok23.txt,WA,0.05555555555555555,1.0
37,dok380.txt,WA,0.05405405405405406,1.0
38,dok91.txt,WA,0.05263157894736842,1.0
39,dok94.txt,WA,0.05128205128205128,1.0
40,dok385.txt,WA,0.05,1.0
41,dok6.txt,WA,0.04878048780487805,1.0
42,dok77.txt,WA,0.047619047619047616,1.0
average precision,0.18222584793563515
