rank,document,verdict,Precision,Recall
1,dok276.txt,WA,0.0,0.0
2,dok398.txt,AC,0.5,0.06666666666666667
3,dok296.txt,WA,0.3333333333333333,0.06666666666666667
4,dok283.txt,WA,0.25,0.06666666666666667
5,dok368.txt,AC,0.4,0.13333333333333333
6,dok147.txt,AC,0.5,0.2
7,dok153.txt,AC,0.5714285714285714,0.26666666666666666
8,dok289.txt,AC,0.625,0.3333333333333333
9,dok377.txt,WA,0.5555555555555556,0.3333333333333333
10,dok367.txt,WA,0.5,0.3333333333333333
11,dok376.txt,WA,0.45454545454545453,0.3333333333333333
12,dok145.txt,AC,0.5,0.4
13,dok295.txt,WA,0.46153846153846156,0.4
14,dok379.txt,WA,0.42857142857142855,0.4
15,dok281.txt,AC,0.4666666666666667,0.4666666666666667
16,dok228.txt,WA,0.4375,0.4666666666666667
17,dok161.txt,AC,0.47058823529411764,0.5333333333333333
18,dok148.txt,WA,0.4444444444444444,0.5333333333333333
19,dok285.txt,WA,0.42105263157894735,0.5333333333333333
20,dok164.txt,WA,0.4,0.5333333333333333
21,dok287.txt,WA,0.38095238095238093,0.5333333333333333
22,dok144.txt,AC,0.4090909090909091,0.6
23,dok362.txt,WA,0.391304347826087,0.6
24,dok225.txt,WA,0.375,0.6
25,dok240.txt,WA,0.36,0.6
26,dok369.txt,WA,0.34615384615384615,0.6
27,dok294.txt,WA,0.3333333333333333,0.6
28,dok146.txt,WA,0.32142857142857145,0.6
29,dok156.txt,WA,0.3103448275862069,0.6
30,dok230.txt,AC,0.3333333333333333,0.6666666666666666
31,dok298.txt,WA,0.3225806451612903,0.6666666666666666
32,dok344.txt,WA,0.3125,0.6666666666666666
33,dok399.txt,WA,0.30303030303030304,0.6666666666666666
34,dok193.txt,WA,0.29411764705882354,0.6666666666666666
35,dok306.txt,WA,0.2857142857142857,0.6666666666666666
36,dok257.txt,WA,0.2777777777777778,0.6666666666666666
37,dok375.txt,WA,0.2702702702702703,0.6666666666666666
38,dok253.txt,WA,0.2631578947368421,0.6666666666666666
39,dok269.txt,WA,0.2564102564102564,0.6666666666666666
40,dok143.txt,AC,0.275,0.7333333333333333
41,dok158.txt,AC,0.2926829268292683,0.8
42,dok286.txt,AC,0.30952380952380953,0.8666666666666667
43,dok288.txt,WA,0.3023255813953488,0.8666666666666667
44,dok249.txt,WA,0.29545454545454547,0.8666666666666667
45,dok272.txt,WA,0.28888888888888886,0.8666666666666667
46,dok208.txt,WA,0.2826086956521739,0.8666666666666667
47,dok251.txt,WA,0.2765957446808511,0.8666666666666667
48,dok235.txt,WA,0.2708333333333333,0.8666666666666667
49,dok401.txt,WA,0.2653061224489796,0.8666666666666667
50,dok169.txt,WA,0.26,0.8666666666666667
51,dok307.txt,AC,0.27450980392156865,0.9333333333333333
52,dok215.txt,WA,0.2692307692307692,0.9333333333333333
53,dok181.txt,WA,0.2641509433962264,0.9333333333333333
54,dok231.txt,AC,0.2777777777777778,1.0
55,dok351.txt,WA,0.2727272727272727,1.0
56,dok150.txt,WA,0.26785714285714285,1.0
57,dok184.txt,WA,0.2631578947368421,1.0
58,dok138.txt,WA,0.25862068965517243,1.0
59,dok67.txt,WA,0.2542372881355932,1.0
60,dok178.txt,WA,0.25,1.0
61,dok337.txt,WA,0.2459016393442623,1.0
62,dok339.txt,WA,0.24193548387096775,1.0
63,dok317.txt,WA,0.23809523809523808,1.0
64,dok370.txt,WA,0.234375,1.0
65,dok313.txt,WA,0.23076923076923078,1.0
66,dok135.txt,WA,0.22727272727272727,1.0
67,dok64.txt,WA,0.22388059701492538,1.0
68,dok350.txt,WA,0.22058823529411764,1.0
69,dok256.txt,WA,0.21739130434782608,1.0
70,dok366.txt,WA,0.21428571428571427,1.0
71,dok212.txt,WA,0.2112676056338028,1.0
72,dok236.txt,WA,0.20833333333333334,1.0
73,dok175.txt,WA,0.2054794520547945,1.0
74,dok275.txt,WA,0.20270270270270271,1.0
75,dok365.txt,WA,0.2,1.0
76,dok284.txt,WA,0.19736842105263158,1.0
77,dok335.txt,WA,0.19480519480519481,1.0
78,dok105.txt,WA,0.19230769230769232,1.0
79,dok34.txt,WA,0.189873417721519,1.0
80,dok373.txt,WA,0.1875,1.0
81,dok232.txt,WA,0.18518518518518517,1.0
82,dok400.txt,WA,0.18292682926829268,1.0
83,dok227.txt,WA,0.18072289156626506,1.0
84,dok219.txt,WA,0.17857142857142858,1.0
85,dok402.txt,WA,0.17647058823529413,1.0
86,dok395.txt,WA,0.1744186046511628,1.0
87,dok218.txt,WA,0.1724137931034483,1.0
88,dok318.txt,WA,0.17045454545454544,1.0
89,dok332.txt,WA,0.16853932584269662,1.0
90,dok394.txt,WA,0.16666666666666666,1.0
91,dok271.txt,WA,0.16483516483516483,1.0
92,dok327.txt,WA,0.16304347826086957,1.0
93,dok349.txt,WA,0.16129032258064516,1.0
94,dok205.txt,WA,0.1595744680851064,1.0
95,dok374.txt,WA,0.15789473684210525,1.0
96,dok363.txt,WA,0.15625,1.0
97,dok123.txt,WA,0.15463917525773196,1.0
98,dok52.txt,WA,0.15306122448979592,1.0
99,dok139.txt,WA,0.15151515151515152,1.0
100,dok68.txt,WA,0.15,1.0
average precision,0.28250821213785304
