rank,document,verdict,Precision,Recall
1,dok253.txt,AC,1.0,0.16666666666666666
2,dok402.txt,WA,0.5,0.16666666666666666
3,dok198.txt,WA,0.3333333333333333,0.16666666666666666
4,dok252.txt,WA,0.25,0.16666666666666666
5,dok255.txt,WA,0.2,0.16666666666666666
6,dok190.txt,AC,0.3333333333333333,0.3333333333333333
7,dok301.txt,AC,0.42857142857142855,0.5
8,dok172.txt,AC,0.5,0.6666666666666666
9,dok248.txt,AC,0.5555555555555556,0.8333333333333334
10,dok365.txt,AC,0.6,1.0
average precision,0.470079365079365
