rank,document,verdict,Precision,Recall
1,dok274.txt,WA,0.0,0.0
2,dok213.txt,WA,0.0,0.0
3,dok205.txt,WA,0.0,0.0
4,dok399.txt,WA,0.0,0.0
5,dok257.txt,WA,0.0,0.0
6,dok145.txt,WA,0.0,0.0
7,dok142.txt,AC,0.14285714285714285,0.25
8,dok71.txt,AC,0.25,0.5
9,dok281.txt,WA,0.2222222222222222,0.5
10,dok210.txt,WA,0.2,0.5
11,dok209.txt,WA,0.18181818181818182,0.5
12,dok228.txt,WA,0.16666666666666666,0.5
13,dok377.txt,WA,0.15384615384615385,0.5
14,dok140.txt,WA,0.14285714285714285,0.5
15,dok69.txt,WA,0.13333333333333333,0.5
16,dok400.txt,WA,0.125,0.5
17,dok144.txt,WA,0.11764705882352941,0.5
18,dok253.txt,WA,0.1111111111111111,0.5
19,dok394.txt,AC,0.15789473684210525,0.75
20,dok249.txt,WA,0.15,0.75
21,dok272.txt,WA,0.14285714285714285,0.75
22,dok227.txt,WA,0.13636363636363635,0.75
23,dok262.txt,WA,0.13043478260869565,0.75
24,dok278.txt,WA,0.125,0.75
25,dok343.txt,AC,0.16,1.0
26,dok222.txt,WA,0.15384615384615385,1.0
27,dok401.txt,WA,0.14814814814814814,1.0
28,dok283.txt,WA,0.14285714285714285,1.0
29,dok369.txt,WA,0.13793103448275862,1.0
30,dok364.txt,WA,0.13333333333333333,1.0
31,dok276.txt,WA,0.12903225806451613,1.0
32,dok368.txt,WA,0.125,1.0
33,dok296.txt,WA,0.12121212121212122,1.0
34,dok156.txt,WA,0.11764705882352941,1.0
35,dok375.txt,WA,0.11428571428571428,1.0
36,dok198.txt,WA,0.1111111111111111,1.0
37,dok363.txt,WA,0.10810810810810811,1.0
38,dok146.txt,WA,0.10526315789473684,1.0
39,dok308.txt,WA,0.10256410256410256,1.0
40,dok295.txt,WA,0.1,1.0
41,dok267.txt,WA,0.0975609756097561,1.0
42,dok148.txt,WA,0.09523809523809523,1.0
43,dok285.txt,WA,0.09302325581395349,1.0
44,dok374.txt,WA,0.09090909090909091,1.0
45,dok104.txt,WA,0.08888888888888889,1.0
46,dok33.txt,WA,0.08695652173913043,1.0
47,dok11.txt,WA,0.0851063829787234,1.0
48,dok82.txt,WA,0.08333333333333333,1.0
49,dok256.txt,WA,0.08163265306122448,1.0
50,dok366.txt,WA,0.08,1.0
average precision,0.1136579590902147
