rank,document,verdict,Precision,Recall
1,dok274.txt,WA,0.0,0.0
2,dok6.txt,WA,0.0,0.0
3,dok77.txt,WA,0.0,0.0
4,dok198.txt,WA,0.0,0.0
5,dok195.txt,AC,0.2,0.16666666666666666
6,dok227.txt,WA,0.16666666666666666,0.16666666666666666
7,dok390.txt,WA,0.14285714285714285,0.16666666666666666
8,dok365.txt,AC,0.25,0.3333333333333333
9,dok385.txt,WA,0.2222222222222222,0.3333333333333333
10,dok392.txt,WA,0.2,0.3333333333333333
11,dok371.txt,WA,0.18181818181818182,0.3333333333333333
12,dok21.txt,WA,0.16666666666666666,0.3333333333333333
13,dok92.txt,WA,0.15384615384615385,0.3333333333333333
14,dok386.txt,WA,0.14285714285714285,0.3333333333333333
15,dok11.txt,WA,0.13333333333333333,0.3333333333333333
16,dok82.txt,WA,0.125,0.3333333333333333
17,dok209.txt,WA,0.11764705882352941,0.3333333333333333
18,dok127.txt,WA,0.1111111111111111,0.3333333333333333
19,dok56.txt,WA,0.10526315789473684,0.3333333333333333
20,dok372.txt,WA,0.1,0.3333333333333333
21,dok258.txt,WA,0.09523809523809523,0.3333333333333333
22,dok213.txt,WA,0.09090909090909091,0.3333333333333333
23,dok126.txt,WA,0.08695652173913043,0.3333333333333333
24,dok55.txt,WA,0.08333333333333333,0.3333333333333333
25,dok112.txt,WA,0.08,0.3333333333333333
26,dok41.txt,WA,0.07692307692307693,0.3333333333333333
27,dok218.txt,WA,0.07407407407407407,0.3333333333333333
28,dok248.txt,AC,0.10714285714285714,0.5
29,dok157.txt,WA,0.10344827586206896,0.5
30,dok24.txt,WA,0.1,0.5
31,dok95.txt,WA,0.0967741935483871,0.5
32,dok80.txt,WA,0.09375,0.5
33,dok9.txt,WA,0.09090909090909091,0.5
34,dok397.txt,WA,0.08823529411764706,0.5
35,dok212.txt,WA,0.08571428571428572,0.5
36,dok330.txt,WA,0.08333333333333333,0.5
37,dok402.txt,AC,0.10810810810810811,0.6666666666666666
38,dok363.txt,WA,0.10526315789473684,0.6666666666666666
39,dok290.txt,WA,0.10256410256410256,0.6666666666666666
40,dok380.txt,WA,0.1,0.6666666666666666
41,dok332.txt,WA,0.0975609756097561,0.6666666666666666
42,dok140.txt,WA,0.09523809523809523,0.6666666666666666
43,dok69.txt,WA,0.09302325581395349,0.6666666666666666
44,dok174.txt,WA,0.09090909090909091,0.6666666666666666
45,dok345.txt,WA,0.08888888888888889,0.6666666666666666
46,dok384.txt,WA,0.08695652173913043,0.6666666666666666
47,dok383.txt,WA,0.0851063829787234,0.6666666666666666
48,dok262.txt,WA,0.08333333333333333,0.6666666666666666
49,dok278.txt,WA,0.08163265306122448,0.6666666666666666
50,dok113.txt,WA,0.08,0.6666666666666666
51,dok42.txt,WA,0.0784313725490196,0.6666666666666666
52,dok215.txt,WA,0.07692307692307693,0.6666666666666666
53,dok110.txt,AC,0.09433962264150944,0.8333333333333334
54,dok39.txt,AC,0.1111111111111111,1.0
55,dok331.txt,WA,0.10909090909090909,1.0
56,dok265.txt,WA,0.10714285714285714,1.0
57,dok322.txt,WA,0.10526315789473684,1.0
58,dok355.txt,WA,0.10344827586206896,1.0
59,dok4.txt,WA,0.1016949152542373,1.0
60,dok75.txt,WA,0.1,1.0
61,dok13.txt,WA,0.09836065573770492,1.0
62,dok84.txt,WA,0.0967741935483871,1.0
63,dok200.txt,WA,0.09523809523809523,1.0
64,dok204.txt,WA,0.09375,1.0
65,dok308.txt,WA,0.09230769230769231,1.0
66,dok267.txt,WA,0.09090909090909091,1.0
67,dok303.txt,WA,0.08955223880597014,1.0
68,dok394.txt,WA,0.08823529411764706,1.0
69,dok121.txt,WA,0.08695652173913043,1.0
70,dok50.txt,WA,0.08571428571428572,1.0
71,dok253.txt,WA,0.08450704225352113,1.0
72,dok298.txt,WA,0.08333333333333333,1.0
73,dok192.txt,WA,0.0821917808219178,1.0
74,dok173.txt,WA,0.08108108108108109,1.0
75,dok323.txt,WA,0.08,1.0
76,dok166.txt,WA,0.07894736842105263,1.0
77,dok269.txt,WA,0.07792207792207792,1.0
78,dok102.txt,WA,0.07692307692307693,1.0
79,dok31.txt,WA,0.0759493670886076,1.0
80,dok201.txt,WA,0.075,1.0
81,dok279.txt,WA,0.07407407407407407,1.0
82,dok152.txt,WA,0.07317073170731707,1.0
83,dok206.txt,WA,0.07228915662650602,1.0
84,dok373.txt,WA,0.07142857142857142,1.0
85,dok261.txt,WA,0.07058823529411765,1.0
86,dok272.txt,WA,0.06976744186046512,1.0
87,dok203.txt,WA,0.06896551724137931,1.0
88,dok333.txt,WA,0.06818181818181818,1.0
89,dok10.txt,WA,0.06741573033707865,1.0
90,dok81.txt,WA,0.06666666666666667,1.0
91,dok400.txt,WA,0.06593406593406594,1.0
92,dok393.txt,WA,0.06521739130434782,1.0
93,dok302.txt,WA,0.06451612903225806,1.0
94,dok20.txt,WA,0.06382978723404255,1.0
95,dok91.txt,WA,0.06315789473684211,1.0
96,dok391.txt,WA,0.0625,1.0
97,dok108.txt,WA,0.061855670103092786,1.0
98,dok37.txt,WA,0.061224489795918366,1.0
99,dok224.txt,WA,0.06060606060606061,1.0
100,dok219.txt,WA,0.06,1.0
average precision,0.09287102853677318
