"file name","Mean Reciprocal Rank"
"percobaan_1.csv","30%"
"percobaan_2.csv","31%"
"percobaan_3.csv","29%"
"percobaan_4.csv","31%"
"percobaan_5.csv","29%"
"percobaan_6.csv","38%"
"percobaan_7.csv","30%"
"percobaan_8.csv","31%"
"percobaan_9.csv","34%"
"percobaan_10.csv","62%"
"percobaan_11.csv","58%"
"percobaan_12.csv","58%"
"percobaan_13.csv","59%"
"percobaan_14.csv","58%"
"percobaan_15.csv","59%"
"percobaan_16.csv","59%"
"percobaan_17.csv","28%"
"percobaan_18.csv","29%"
"percobaan_19.csv","27%"
"percobaan_20.csv","30%"
"percobaan_21.csv","28%"
"percobaan_22.csv","35%"
"percobaan_23.csv","33%"
"percobaan_24.csv","27%"
"percobaan_25.csv","32%"
"percobaan_26.csv","60%"
"percobaan_27.csv","55%"
"percobaan_28.csv","54%"
"percobaan_29.csv","56%"
"percobaan_30.csv","55%"
"percobaan_31.csv","56%"
"percobaan_32.csv","56%"
