rank,document,verdict
1,dok240.txt,WA
2,dok142.txt,AC
3,dok71.txt,AC
4,dok343.txt,AC
5,dok394.txt,WA
6,dok300.txt,WA
7,dok180.txt,WA
8,dok365.txt,WA
9,dok333.txt,WA
10,dok179.txt,WA
11,dok181.txt,WA
12,dok337.txt,WA
13,dok386.txt,WA
14,dok4.txt,WA
15,dok75.txt,WA
16,dok188.txt,WA
17,dok5.txt,WA
18,dok76.txt,WA
19,dok330.txt,WA
20,dok208.txt,WA
21,dok384.txt,WA
22,dok268.txt,WA
23,dok325.txt,WA
24,dok102.txt,WA
25,dok12.txt,WA
26,dok31.txt,WA
27,dok83.txt,WA
28,dok20.txt,WA
29,dok91.txt,WA
30,dok331.txt,WA
31,dok221.txt,WA
32,dok391.txt,WA
33,dok139.txt,WA
34,dok68.txt,WA
35,dok13.txt,WA
36,dok84.txt,WA
37,dok342.txt,WA
38,dok113.txt,WA
39,dok42.txt,WA
40,dok389.txt,WA
41,dok375.txt,WA
42,dok371.txt,WA
43,dok382.txt,WA
44,dok27.txt,WA
45,dok98.txt,WA
46,dok385.txt,WA
47,dok239.txt,WA
48,dok246.txt,WA
49,dok80.txt,WA
50,dok9.txt,WA
