rank,document,verdict
1,dok127.txt,AC
2,dok56.txt,AC
3,dok128.txt,WA
4,dok57.txt,WA
5,dok222.txt,WA
6,dok15.txt,WA
7,dok86.txt,WA
8,dok126.txt,WA
9,dok328.txt,WA
10,dok386.txt,WA
11,dok55.txt,WA
12,dok79.txt,WA
13,dok8.txt,WA
14,dok236.txt,WA
15,dok300.txt,WA
16,dok10.txt,WA
17,dok80.txt,WA
18,dok81.txt,WA
19,dok9.txt,WA
20,dok131.txt,WA
21,dok28.txt,WA
22,dok60.txt,WA
23,dok99.txt,WA
24,dok232.txt,WA
25,dok334.txt,WA
26,dok11.txt,WA
27,dok82.txt,WA
28,dok331.txt,WA
29,dok372.txt,WA
30,dok24.txt,WA
31,dok95.txt,WA
32,dok113.txt,WA
33,dok397.txt,WA
34,dok42.txt,WA
35,dok20.txt,WA
36,dok23.txt,WA
37,dok380.txt,WA
38,dok91.txt,WA
39,dok94.txt,WA
40,dok385.txt,WA
41,dok6.txt,WA
42,dok77.txt,WA
