rank,document,verdict
1,dok240.txt,WA
2,dok142.txt,AC
3,dok71.txt,AC
4,dok343.txt,AC
5,dok394.txt,AC
6,dok300.txt,WA
7,dok180.txt,WA
8,dok365.txt,WA
9,dok333.txt,WA
10,dok179.txt,WA
11,dok181.txt,WA
12,dok337.txt,WA
13,dok386.txt,WA
14,dok4.txt,WA
15,dok75.txt,WA
16,dok188.txt,WA
17,dok5.txt,WA
18,dok76.txt,WA
19,dok330.txt,WA
20,dok208.txt,WA
21,dok384.txt,WA
22,dok268.txt,WA
23,dok325.txt,WA
24,dok102.txt,WA
25,dok12.txt,WA
26,dok31.txt,WA
27,dok83.txt,WA
28,dok20.txt,WA
29,dok91.txt,WA
30,dok331.txt,WA
31,dok221.txt,WA
32,dok391.txt,WA
33,dok139.txt,WA
34,dok68.txt,WA
35,dok13.txt,WA
36,dok84.txt,WA
37,dok342.txt,WA
38,dok113.txt,WA
39,dok42.txt,WA
40,dok389.txt,WA
41,dok375.txt,WA
42,dok371.txt,WA
43,dok382.txt,WA
44,dok27.txt,WA
45,dok98.txt,WA
46,dok385.txt,WA
47,dok239.txt,WA
48,dok246.txt,WA
49,dok80.txt,WA
50,dok9.txt,WA
51,dok140.txt,WA
52,dok69.txt,WA
53,dok237.txt,WA
54,dok263.txt,WA
55,dok313.txt,WA
56,dok137.txt,WA
57,dok254.txt,WA
58,dok355.txt,WA
59,dok387.txt,WA
60,dok66.txt,WA
61,dok295.txt,WA
62,dok344.txt,WA
63,dok233.txt,WA
64,dok200.txt,WA
65,dok10.txt,WA
66,dok220.txt,WA
67,dok270.txt,WA
68,dok81.txt,WA
69,dok235.txt,WA
70,dok271.txt,WA
71,dok273.txt,WA
72,dok304.txt,WA
73,dok315.txt,WA
74,dok327.txt,WA
75,dok364.txt,WA
76,dok25.txt,WA
77,dok96.txt,WA
78,dok141.txt,WA
79,dok230.txt,WA
80,dok376.txt,WA
81,dok379.txt,WA
82,dok70.txt,WA
83,dok117.txt,WA
84,dok132.txt,WA
85,dok152.txt,WA
86,dok282.txt,WA
87,dok340.txt,WA
88,dok358.txt,WA
89,dok361.txt,WA
90,dok392.txt,WA
91,dok46.txt,WA
92,dok61.txt,WA
93,dok11.txt,WA
94,dok82.txt,WA
95,dok115.txt,WA
96,dok213.txt,WA
97,dok400.txt,WA
98,dok44.txt,WA
99,dok397.txt,WA
100,dok120.txt,WA
