rank,document,verdict
1,dok113.txt,WA
2,dok42.txt,WA
3,dok331.txt,WA
4,dok387.txt,WA
5,dok23.txt,WA
6,dok94.txt,WA
7,dok383.txt,WA
8,dok142.txt,AC
9,dok71.txt,AC
10,dok334.txt,WA
11,dok342.txt,WA
12,dok389.txt,WA
13,dok140.txt,WA
14,dok69.txt,WA
15,dok343.txt,AC
16,dok394.txt,AC
17,dok237.txt,WA
18,dok24.txt,WA
19,dok95.txt,WA
20,dok20.txt,WA
21,dok91.txt,WA
22,dok311.txt,WA
23,dok173.txt,WA
24,dok323.txt,WA
25,dok390.txt,WA
26,dok80.txt,WA
27,dok9.txt,WA
28,dok103.txt,WA
29,dok32.txt,WA
30,dok148.txt,WA
31,dok285.txt,WA
32,dok352.txt,WA
33,dok268.txt,WA
34,dok325.txt,WA
35,dok355.txt,WA
36,dok241.txt,WA
37,dok245.txt,WA
38,dok6.txt,WA
39,dok77.txt,WA
40,dok379.txt,WA
41,dok28.txt,WA
42,dok99.txt,WA
43,dok282.txt,WA
44,dok265.txt,WA
45,dok322.txt,WA
46,dok388.txt,WA
47,dok10.txt,WA
48,dok81.txt,WA
49,dok312.txt,WA
50,dok271.txt,WA
