rank,document,verdict
1,dok236.txt,WA
2,dok365.txt,AC
3,dok402.txt,WA
4,dok110.txt,WA
5,dok39.txt,WA
6,dok197.txt,WA
7,dok248.txt,WA
8,dok247.txt,WA
9,dok187.txt,WA
10,dok350.txt,WA
11,dok238.txt,WA
12,dok359.txt,WA
13,dok378.txt,WA
14,dok393.txt,WA
15,dok212.txt,WA
16,dok183.txt,WA
17,dok218.txt,WA
18,dok221.txt,AC
19,dok139.txt,WA
20,dok68.txt,WA
21,dok255.txt,WA
22,dok211.txt,WA
23,dok354.txt,WA
24,dok394.txt,AC
25,dok178.txt,WA
26,dok399.txt,WA
27,dok204.txt,WA
28,dok253.txt,WA
29,dok140.txt,WA
30,dok69.txt,WA
31,dok217.txt,WA
32,dok208.txt,AC
33,dok373.txt,WA
34,dok161.txt,WA
35,dok249.txt,AC
36,dok380.txt,WA
37,dok360.txt,WA
38,dok103.txt,WA
39,dok32.txt,WA
40,dok142.txt,AC
41,dok71.txt,AC
42,dok229.txt,WA
43,dok348.txt,WA
44,dok123.txt,WA
45,dok52.txt,WA
46,dok261.txt,WA
47,dok116.txt,WA
48,dok45.txt,WA
49,dok230.txt,AC
50,dok347.txt,WA
