rank,document,verdict
1,dok140.txt,AC
2,dok69.txt,AC
3,dok343.txt,WA
4,dok365.txt,WA
5,dok394.txt,AC
6,dok247.txt,WA
7,dok221.txt,WA
8,dok402.txt,WA
9,dok218.txt,WA
10,dok249.txt,WA
11,dok139.txt,WA
12,dok68.txt,WA
13,dok248.txt,WA
14,dok192.txt,WA
15,dok110.txt,WA
16,dok39.txt,WA
17,dok225.txt,WA
18,dok208.txt,WA
19,dok251.txt,WA
20,dok232.txt,WA
21,dok142.txt,WA
22,dok71.txt,WA
23,dok28.txt,WA
24,dok99.txt,WA
25,dok253.txt,WA
26,dok399.txt,WA
27,dok183.txt,WA
28,dok204.txt,WA
29,dok215.txt,WA
30,dok161.txt,WA
31,dok189.txt,WA
32,dok319.txt,WA
33,dok212.txt,WA
34,dok148.txt,WA
35,dok100.txt,WA
36,dok29.txt,WA
37,dok111.txt,WA
38,dok40.txt,WA
39,dok369.txt,WA
40,dok236.txt,WA
41,dok243.txt,WA
42,dok273.txt,WA
43,dok315.txt,WA
44,dok216.txt,WA
45,dok118.txt,WA
46,dok47.txt,WA
47,dok374.txt,WA
48,dok108.txt,WA
49,dok37.txt,WA
50,dok230.txt,WA
