rank,document,verdict
1,dok315.txt,WA
2,dok273.txt,WA
3,dok139.txt,WA
4,dok68.txt,WA
5,dok399.txt,WA
6,dok394.txt,WA
7,dok209.txt,WA
8,dok201.txt,WA
9,dok224.txt,WA
10,dok103.txt,WA
11,dok32.txt,WA
12,dok142.txt,WA
13,dok71.txt,WA
14,dok259.txt,WA
15,dok255.txt,WA
16,dok213.txt,AC
17,dok343.txt,WA
18,dok114.txt,WA
19,dok43.txt,WA
20,dok135.txt,WA
21,dok64.txt,WA
22,dok400.txt,AC
23,dok267.txt,WA
24,dok308.txt,WA
25,dok271.txt,WA
26,dok327.txt,WA
27,dok252.txt,WA
28,dok364.txt,AC
29,dok140.txt,WA
30,dok69.txt,WA
31,dok227.txt,WA
32,dok305.txt,WA
33,dok207.txt,WA
34,dok402.txt,WA
35,dok258.txt,WA
36,dok373.txt,WA
37,dok395.txt,WA
38,dok1.txt,WA
39,dok72.txt,WA
40,dok256.txt,WA
41,dok366.txt,WA
42,dok365.txt,WA
43,dok382.txt,WA
44,dok397.txt,WA
45,dok175.txt,WA
46,dok253.txt,WA
47,dok254.txt,WA
48,dok282.txt,WA
49,dok393.txt,WA
50,dok26.txt,WA
