rank,document,verdict
1,dok214.txt,WA
2,dok106.txt,WA
3,dok35.txt,WA
4,dok270.txt,WA
5,dok107.txt,WA
6,dok36.txt,WA
7,dok105.txt,WA
8,dok34.txt,WA
9,dok335.txt,WA
10,dok223.txt,WA
11,dok324.txt,WA
12,dok103.txt,WA
13,dok32.txt,WA
14,dok79.txt,WA
15,dok8.txt,WA
16,dok108.txt,WA
17,dok37.txt,WA
18,dok325.txt,AC
19,dok268.txt,AC
20,dok219.txt,WA
21,dok351.txt,WA
22,dok231.txt,WA
23,dok197.txt,WA
24,dok7.txt,AC
25,dok78.txt,AC
26,dok380.txt,WA
27,dok393.txt,WA
28,dok388.txt,WA
29,dok136.txt,WA
30,dok65.txt,WA
31,dok373.txt,WA
32,dok123.txt,WA
33,dok52.txt,WA
34,dok211.txt,WA
35,dok354.txt,WA
36,dok194.txt,WA
37,dok12.txt,WA
38,dok83.txt,WA
39,dok349.txt,WA
40,dok133.txt,WA
41,dok62.txt,WA
42,dok381.txt,WA
43,dok14.txt,WA
44,dok167.txt,WA
45,dok316.txt,WA
46,dok85.txt,WA
47,dok139.txt,WA
48,dok68.txt,WA
49,dok114.txt,WA
50,dok43.txt,WA
