rank,document,verdict
1,dok113.txt,WA
2,dok42.txt,WA
3,dok331.txt,WA
4,dok387.txt,WA
5,dok142.txt,AC
6,dok71.txt,AC
7,dok315.txt,AC
8,dok273.txt,AC
9,dok139.txt,WA
10,dok68.txt,WA
11,dok394.txt,AC
12,dok103.txt,WA
13,dok32.txt,WA
14,dok23.txt,WA
15,dok94.txt,WA
16,dok140.txt,WA
17,dok69.txt,WA
18,dok343.txt,WA
19,dok271.txt,WA
20,dok327.txt,WA
21,dok20.txt,WA
22,dok91.txt,WA
23,dok334.txt,WA
24,dok355.txt,WA
25,dok261.txt,WA
26,dok342.txt,WA
27,dok389.txt,WA
28,dok263.txt,WA
29,dok371.txt,WA
30,dok21.txt,WA
31,dok92.txt,WA
32,dok102.txt,WA
33,dok31.txt,WA
34,dok115.txt,WA
35,dok44.txt,WA
36,dok268.txt,WA
37,dok325.txt,WA
38,dok302.txt,WA
39,dok157.txt,WA
40,dok24.txt,WA
41,dok95.txt,WA
42,dok1.txt,WA
43,dok72.txt,WA
44,dok383.txt,WA
45,dok80.txt,WA
46,dok9.txt,WA
47,dok15.txt,WA
48,dok86.txt,WA
49,dok3.txt,WA
50,dok74.txt,WA
