rank,document,verdict
1,dok276.txt,WA
2,dok398.txt,AC
3,dok296.txt,WA
4,dok283.txt,WA
5,dok368.txt,AC
6,dok147.txt,AC
7,dok153.txt,AC
8,dok289.txt,AC
9,dok377.txt,WA
10,dok367.txt,WA
11,dok376.txt,WA
12,dok145.txt,AC
13,dok295.txt,WA
14,dok379.txt,WA
15,dok281.txt,AC
16,dok228.txt,WA
17,dok161.txt,AC
18,dok148.txt,WA
19,dok285.txt,WA
20,dok164.txt,WA
21,dok287.txt,WA
22,dok144.txt,AC
23,dok362.txt,WA
24,dok225.txt,WA
25,dok240.txt,WA
26,dok369.txt,WA
27,dok294.txt,WA
28,dok146.txt,WA
29,dok156.txt,WA
30,dok230.txt,AC
31,dok298.txt,WA
32,dok344.txt,WA
33,dok399.txt,WA
34,dok193.txt,WA
35,dok306.txt,WA
36,dok257.txt,WA
37,dok375.txt,WA
38,dok253.txt,WA
39,dok269.txt,WA
40,dok143.txt,AC
41,dok158.txt,AC
42,dok286.txt,AC
43,dok288.txt,WA
44,dok249.txt,WA
45,dok272.txt,WA
46,dok208.txt,WA
47,dok251.txt,WA
48,dok235.txt,WA
49,dok401.txt,WA
50,dok169.txt,WA
