rank,document,verdict
1,dok124.txt,AC
2,dok53.txt,AC
3,dok133.txt,WA
4,dok62.txt,WA
5,dok22.txt,WA
6,dok93.txt,WA
7,dok333.txt,WA
8,dok389.txt,WA
9,dok328.txt,WA
10,dok125.txt,WA
11,dok54.txt,WA
12,dok4.txt,WA
13,dok75.txt,WA
14,dok259.txt,WA
15,dok268.txt,WA
16,dok325.txt,WA
17,dok230.txt,WA
18,dok263.txt,WA
19,dok24.txt,WA
20,dok95.txt,WA
21,dok270.txt,WA
22,dok332.txt,WA
23,dok390.txt,WA
24,dok394.txt,WA
25,dok385.txt,WA
26,dok353.txt,WA
27,dok142.txt,WA
28,dok71.txt,WA
29,dok186.txt,WA
30,dok21.txt,WA
31,dok92.txt,WA
32,dok127.txt,WA
33,dok56.txt,WA
34,dok131.txt,WA
35,dok60.txt,WA
36,dok213.txt,WA
37,dok234.txt,WA
38,dok231.txt,WA
39,dok351.txt,WA
40,dok393.txt,WA
41,dok244.txt,WA
42,dok157.txt,WA
43,dok132.txt,WA
44,dok61.txt,WA
45,dok180.txt,WA
46,dok232.txt,WA
47,dok136.txt,WA
48,dok65.txt,WA
49,dok188.txt,WA
50,dok27.txt,WA
