rank,document,verdict
1,dok336.txt,AC
2,dok149.txt,AC
3,dok340.txt,WA
4,dok216.txt,AC
5,dok347.txt,AC
6,dok293.txt,AC
7,dok338.txt,WA
8,dok151.txt,WA
9,dok310.txt,WA
10,dok358.txt,WA
11,dok379.txt,WA
12,dok169.txt,WA
13,dok298.txt,WA
14,dok234.txt,WA
15,dok231.txt,WA
16,dok351.txt,WA
17,dok205.txt,WA
18,dok375.txt,WA
19,dok123.txt,WA
20,dok52.txt,WA
21,dok399.txt,WA
22,dok314.txt,WA
23,dok239.txt,WA
24,dok360.txt,WA
25,dok249.txt,WA
26,dok187.txt,WA
27,dok150.txt,WA
28,dok376.txt,WA
29,dok172.txt,WA
30,dok374.txt,WA
31,dok190.txt,AC
32,dok301.txt,WA
33,dok401.txt,WA
34,dok377.txt,WA
35,dok228.txt,WA
36,dok140.txt,WA
37,dok69.txt,WA
38,dok237.txt,WA
39,dok253.txt,WA
40,dok271.txt,WA
41,dok327.txt,WA
42,dok132.txt,WA
43,dok61.txt,WA
44,dok275.txt,WA
45,dok103.txt,WA
46,dok32.txt,WA
47,dok214.txt,WA
48,dok219.txt,WA
49,dok210.txt,WA
50,dok270.txt,WA
