rank,document,verdict
1,dok126.txt,AC
2,dok55.txt,AC
3,dok6.txt,AC
4,dok77.txt,AC
5,dok127.txt,WA
6,dok56.txt,WA
7,dok80.txt,WA
8,dok9.txt,WA
9,dok11.txt,WA
10,dok82.txt,WA
11,dok386.txt,WA
12,dok10.txt,WA
13,dok81.txt,WA
14,dok195.txt,WA
15,dok383.txt,WA
16,dok13.txt,WA
17,dok392.txt,WA
18,dok84.txt,WA
19,dok15.txt,WA
20,dok86.txt,WA
21,dok268.txt,WA
22,dok325.txt,WA
23,dok173.txt,WA
24,dok323.txt,WA
25,dok328.txt,WA
26,dok79.txt,WA
27,dok8.txt,WA
28,dok170.txt,WA
29,dok236.txt,WA
30,dok300.txt,WA
31,dok128.txt,WA
32,dok232.txt,WA
33,dok57.txt,WA
34,dok384.txt,WA
35,dok334.txt,WA
36,dok331.txt,WA
37,dok372.txt,WA
38,dok176.txt,WA
39,dok24.txt,WA
40,dok95.txt,WA
41,dok113.txt,WA
42,dok397.txt,WA
43,dok42.txt,WA
44,dok197.txt,WA
45,dok20.txt,WA
46,dok23.txt,WA
47,dok380.txt,WA
48,dok91.txt,WA
49,dok94.txt,WA
50,dok365.txt,WA
