rank,document,verdict
1,dok103.txt,AC
2,dok32.txt,AC
3,dok142.txt,AC
4,dok71.txt,AC
5,dok114.txt,WA
6,dok43.txt,WA
7,dok394.txt,AC
8,dok369.txt,WA
9,dok184.txt,WA
10,dok339.txt,WA
11,dok232.txt,WA
12,dok380.txt,WA
13,dok258.txt,WA
14,dok25.txt,WA
15,dok96.txt,WA
16,dok26.txt,WA
17,dok97.txt,WA
18,dok115.txt,WA
19,dok44.txt,WA
20,dok137.txt,WA
21,dok191.txt,WA
22,dok326.txt,WA
23,dok66.txt,WA
24,dok157.txt,WA
25,dok130.txt,WA
26,dok59.txt,WA
27,dok371.txt,WA
28,dok381.txt,WA
29,dok2.txt,WA
30,dok73.txt,WA
31,dok397.txt,WA
32,dok1.txt,WA
33,dok302.txt,WA
34,dok72.txt,WA
35,dok134.txt,WA
36,dok63.txt,WA
37,dok364.txt,WA
38,dok370.txt,WA
39,dok188.txt,WA
40,dok189.txt,WA
41,dok319.txt,WA
42,dok111.txt,WA
43,dok40.txt,WA
44,dok28.txt,WA
45,dok99.txt,WA
46,dok284.txt,WA
47,dok261.txt,WA
48,dok269.txt,WA
49,dok138.txt,WA
50,dok335.txt,WA
