rank,document,verdict
1,dok195.txt,AC
2,dok248.txt,AC
3,dok218.txt,WA
4,dok215.txt,WA
5,dok365.txt,AC
6,dok110.txt,AC
7,dok39.txt,AC
8,dok402.txt,AC
9,dok204.txt,WA
10,dok192.txt,WA
11,dok227.txt,WA
12,dok198.txt,WA
13,dok203.txt,WA
14,dok212.txt,WA
15,dok200.txt,WA
16,dok221.txt,WA
17,dok255.txt,WA
18,dok394.txt,WA
19,dok330.txt,WA
20,dok201.txt,WA
21,dok174.txt,WA
22,dok230.txt,WA
23,dok345.txt,WA
24,dok332.txt,WA
25,dok298.txt,WA
26,dok243.txt,WA
27,dok342.txt,WA
28,dok236.txt,WA
29,dok353.txt,WA
30,dok140.txt,WA
31,dok314.txt,WA
32,dok69.txt,WA
33,dok159.txt,WA
34,dok273.txt,WA
35,dok315.txt,WA
36,dok209.txt,WA
37,dok249.txt,WA
38,dok232.txt,WA
39,dok280.txt,WA
40,dok253.txt,WA
41,dok152.txt,WA
42,dok228.txt,WA
43,dok241.txt,WA
44,dok392.txt,WA
45,dok142.txt,WA
46,dok283.txt,WA
47,dok307.txt,WA
48,dok71.txt,WA
49,dok259.txt,WA
50,dok269.txt,WA
51,dok363.txt,WA
52,dok148.txt,WA
53,dok285.txt,WA
54,dok216.txt,WA
55,dok234.txt,WA
56,dok247.txt,WA
57,dok303.txt,WA
58,dok305.txt,WA
59,dok379.txt,WA
60,dok117.txt,WA
61,dok186.txt,WA
62,dok23.txt,WA
63,dok242.txt,WA
64,dok357.txt,WA
65,dok380.txt,WA
66,dok46.txt,WA
67,dok94.txt,WA
68,dok161.txt,WA
69,dok112.txt,WA
70,dok119.txt,WA
71,dok120.txt,WA
72,dok256.txt,WA
73,dok257.txt,WA
74,dok275.txt,WA
75,dok288.txt,WA
76,dok297.txt,WA
77,dok366.txt,WA
78,dok41.txt,WA
79,dok48.txt,WA
80,dok49.txt,WA
81,dok111.txt,WA
82,dok21.txt,WA
83,dok343.txt,WA
84,dok40.txt,WA
85,dok92.txt,WA
86,dok6.txt,WA
87,dok77.txt,WA
88,dok105.txt,WA
89,dok121.txt,WA
90,dok138.txt,WA
91,dok145.txt,WA
92,dok189.txt,WA
93,dok319.txt,WA
94,dok334.txt,WA
95,dok34.txt,WA
96,dok50.txt,WA
97,dok67.txt,WA
98,dok157.txt,WA
99,dok274.txt,WA
100,dok372.txt,WA
