rank,document,verdict
1,dok218.txt,AC
2,dok144.txt,WA
3,dok284.txt,WA
4,dok269.txt,WA
5,dok257.txt,WA
6,dok275.txt,WA
7,dok181.txt,WA
8,dok337.txt,WA
9,dok295.txt,WA
10,dok226.txt,WA
11,dok320.txt,WA
12,dok321.txt,WA
13,dok378.txt,WA
14,dok146.txt,WA
15,dok253.txt,AC
16,dok210.txt,WA
17,dok220.txt,WA
18,dok245.txt,WA
19,dok193.txt,WA
20,dok312.txt,WA
21,dok156.txt,WA
22,dok368.txt,WA
23,dok205.txt,WA
24,dok212.txt,AC
25,dok164.txt,WA
26,dok287.txt,WA
27,dok172.txt,WA
28,dok188.txt,WA
29,dok339.txt,WA
30,dok196.txt,WA
31,dok376.txt,WA
32,dok283.txt,WA
33,dok298.txt,WA
34,dok264.txt,WA
35,dok116.txt,WA
36,dok45.txt,WA
37,dok399.txt,WA
38,dok202.txt,WA
39,dok148.txt,WA
40,dok285.txt,WA
41,dok199.txt,WA
42,dok394.txt,WA
43,dok228.txt,WA
44,dok318.txt,WA
45,dok161.txt,WA
46,dok375.txt,WA
47,dok367.txt,WA
48,dok230.txt,WA
49,dok370.txt,WA
50,dok302.txt,WA
