rank,document,verdict
1,dok248.txt,WA
2,dok139.txt,AC
3,dok68.txt,WA
4,dok292.txt,WA
5,dok315.txt,AC
6,dok273.txt,AC
7,dok402.txt,WA
8,dok204.txt,WA
9,dok1.txt,WA
10,dok72.txt,WA
11,dok232.txt,WA
12,dok142.txt,AC
13,dok71.txt,AC
14,dok394.txt,AC
15,dok244.txt,WA
16,dok261.txt,WA
17,dok254.txt,WA
18,dok116.txt,WA
19,dok45.txt,WA
20,dok215.txt,WA
21,dok218.txt,WA
22,dok243.txt,WA
23,dok197.txt,WA
24,dok25.txt,WA
25,dok96.txt,WA
26,dok380.txt,WA
27,dok121.txt,WA
28,dok50.txt,WA
29,dok343.txt,WA
30,dok252.txt,WA
31,dok300.txt,WA
32,dok305.txt,WA
33,dok198.txt,WA
34,dok209.txt,WA
35,dok114.txt,WA
36,dok43.txt,WA
37,dok157.txt,WA
38,dok26.txt,WA
39,dok97.txt,WA
40,dok271.txt,WA
41,dok327.txt,WA
42,dok21.txt,WA
43,dok92.txt,WA
44,dok302.txt,WA
45,dok201.txt,WA
46,dok263.txt,WA
47,dok396.txt,WA
48,dok365.txt,WA
49,dok112.txt,WA
50,dok41.txt,WA
