rank,document,verdict
1,dok274.txt,WA
2,dok262.txt,WA
3,dok278.txt,WA
4,dok365.txt,WA
5,dok247.txt,WA
6,dok110.txt,WA
7,dok39.txt,WA
8,dok148.txt,AC
9,dok402.txt,WA
10,dok338.txt,WA
11,dok183.txt,WA
12,dok181.txt,WA
13,dok337.txt,WA
14,dok231.txt,WA
15,dok351.txt,WA
16,dok149.txt,WA
17,dok379.txt,WA
18,dok253.txt,WA
19,dok285.txt,AC
20,dok272.txt,WA
21,dok293.txt,WA
22,dok347.txt,WA
23,dok248.txt,WA
24,dok260.txt,WA
25,dok400.txt,WA
26,dok222.txt,WA
27,dok366.txt,WA
28,dok256.txt,WA
29,dok205.txt,WA
30,dok234.txt,WA
31,dok275.txt,WA
32,dok217.txt,WA
33,dok161.txt,WA
34,dok108.txt,WA
35,dok37.txt,WA
36,dok228.txt,WA
37,dok309.txt,WA
38,dok186.txt,WA
39,dok212.txt,WA
40,dok362.txt,WA
41,dok335.txt,WA
42,dok257.txt,WA
43,dok298.txt,WA
44,dok214.txt,WA
45,dok399.txt,WA
46,dok276.txt,WA
47,dok114.txt,WA
48,dok43.txt,WA
49,dok235.txt,WA
50,dok352.txt,WA
