rank,document,verdict
1,dok274.txt,WA
2,dok389.txt,WA
3,dok387.txt,WA
4,dok113.txt,WA
5,dok42.txt,WA
6,dok331.txt,WA
7,dok17.txt,WA
8,dok88.txt,WA
9,dok27.txt,WA
10,dok98.txt,WA
11,dok302.txt,WA
12,dok262.txt,WA
13,dok278.txt,WA
14,dok2.txt,WA
15,dok73.txt,WA
16,dok261.txt,WA
17,dok390.txt,WA
18,dok292.txt,WA
19,dok300.txt,WA
20,dok352.txt,WA
21,dok142.txt,AC
22,dok71.txt,AC
23,dok227.txt,WA
24,dok213.txt,WA
25,dok24.txt,WA
26,dok95.txt,WA
27,dok241.txt,WA
28,dok116.txt,WA
29,dok45.txt,WA
30,dok1.txt,WA
31,dok72.txt,WA
32,dok25.txt,WA
33,dok96.txt,WA
34,dok388.txt,WA
35,dok380.txt,WA
36,dok121.txt,WA
37,dok329.txt,WA
38,dok50.txt,WA
39,dok157.txt,WA
40,dok343.txt,AC
41,dok21.txt,WA
42,dok92.txt,WA
43,dok384.txt,WA
44,dok26.txt,WA
45,dok97.txt,WA
46,dok332.txt,WA
47,dok394.txt,AC
48,dok290.txt,WA
49,dok263.txt,WA
50,dok396.txt,WA
51,dok140.txt,WA
52,dok69.txt,WA
53,dok305.txt,WA
54,dok112.txt,WA
55,dok41.txt,WA
56,dok198.txt,WA
57,dok159.txt,WA
58,dok279.txt,WA
59,dok209.txt,WA
60,dok186.txt,WA
61,dok114.txt,WA
62,dok43.txt,WA
63,dok176.txt,WA
64,dok385.txt,WA
65,dok291.txt,WA
66,dok361.txt,WA
67,dok333.txt,WA
68,dok20.txt,WA
69,dok91.txt,WA
70,dok115.txt,WA
71,dok44.txt,WA
72,dok165.txt,WA
73,dok355.txt,WA
74,dok162.txt,WA
75,dok119.txt,WA
76,dok48.txt,WA
77,dok299.txt,WA
78,dok265.txt,WA
79,dok322.txt,WA
80,dok258.txt,WA
81,dok268.txt,WA
82,dok325.txt,WA
83,dok328.txt,WA
84,dok4.txt,WA
85,dok75.txt,WA
86,dok280.txt,WA
87,dok102.txt,WA
88,dok179.txt,WA
89,dok23.txt,WA
90,dok31.txt,WA
91,dok94.txt,WA
92,dok22.txt,WA
93,dok304.txt,WA
94,dok93.txt,WA
95,dok372.txt,WA
96,dok19.txt,WA
97,dok3.txt,WA
98,dok74.txt,WA
99,dok90.txt,WA
100,dok11.txt,WA
