rank,document,verdict
1,dok386.txt,WA
2,dok6.txt,WA
3,dok77.txt,WA
4,dok389.txt,WA
5,dok24.txt,AC
6,dok95.txt,AC
7,dok385.txt,AC
8,dok126.txt,WA
9,dok55.txt,WA
10,dok79.txt,WA
11,dok8.txt,WA
12,dok80.txt,WA
13,dok9.txt,WA
14,dok113.txt,WA
15,dok42.txt,WA
16,dok236.txt,WA
17,dok20.txt,AC
18,dok91.txt,AC
19,dok11.txt,WA
20,dok82.txt,WA
21,dok10.txt,WA
22,dok81.txt,WA
23,dok127.txt,WA
24,dok56.txt,WA
25,dok331.txt,WA
26,dok334.txt,WA
27,dok388.txt,WA
28,dok387.txt,WA
29,dok13.txt,WA
30,dok84.txt,WA
31,dok383.txt,WA
32,dok268.txt,WA
33,dok325.txt,WA
34,dok165.txt,WA
35,dok17.txt,WA
36,dok88.txt,WA
37,dok238.txt,WA
38,dok392.txt,WA
39,dok15.txt,WA
40,dok86.txt,WA
41,dok14.txt,WA
42,dok85.txt,WA
43,dok255.txt,WA
44,dok390.txt,WA
45,dok167.txt,WA
46,dok316.txt,WA
47,dok204.txt,WA
48,dok179.txt,WA
49,dok21.txt,WA
50,dok92.txt,WA
51,dok3.txt,WA
52,dok74.txt,WA
53,dok397.txt,WA
54,dok352.txt,WA
55,dok213.txt,WA
56,dok176.txt,WA
57,dok157.txt,WA
58,dok195.txt,WA
59,dok23.txt,WA
60,dok94.txt,WA
61,dok201.txt,WA
62,dok117.txt,WA
63,dok46.txt,WA
64,dok7.txt,WA
65,dok78.txt,WA
66,dok248.txt,WA
67,dok18.txt,WA
68,dok89.txt,WA
69,dok402.txt,WA
70,dok125.txt,WA
71,dok54.txt,WA
72,dok393.txt,WA
73,dok302.txt,WA
74,dok173.txt,WA
75,dok323.txt,WA
76,dok224.txt,WA
77,dok135.txt,WA
78,dok64.txt,WA
79,dok328.txt,WA
80,dok159.txt,WA
81,dok12.txt,WA
82,dok83.txt,WA
83,dok186.txt,WA
84,dok170.txt,WA
85,dok300.txt,WA
86,dok185.txt,WA
87,dok189.txt,WA
88,dok319.txt,WA
89,dok128.txt,WA
90,dok232.txt,WA
91,dok57.txt,WA
92,dok384.txt,WA
93,dok303.txt,WA
94,dok111.txt,WA
95,dok40.txt,WA
96,dok372.txt,WA
97,dok1.txt,WA
98,dok271.txt,WA
99,dok327.txt,WA
100,dok72.txt,WA
