rank,document,verdict,Precision,Recall
1,dok195.txt,AC,1.0,0.16666666666666666
2,dok248.txt,AC,1.0,0.3333333333333333
3,dok218.txt,WA,0.6666666666666666,0.3333333333333333
4,dok215.txt,WA,0.5,0.3333333333333333
5,dok365.txt,AC,0.6,0.5
6,dok110.txt,AC,0.6666666666666666,0.6666666666666666
7,dok39.txt,AC,0.7142857142857143,0.8333333333333334
8,dok402.txt,AC,0.75,1.0
9,dok204.txt,WA,0.6666666666666666,1.0
10,dok192.txt,WA,0.6,1.0
11,dok227.txt,WA,0.5454545454545454,1.0
12,dok198.txt,WA,0.5,1.0
13,dok203.txt,WA,0.46153846153846156,1.0
14,dok212.txt,WA,0.42857142857142855,1.0
15,dok200.txt,WA,0.4,1.0
16,dok221.txt,WA,0.375,1.0
17,dok255.txt,WA,0.35294117647058826,1.0
18,dok394.txt,WA,0.3333333333333333,1.0
19,dok330.txt,WA,0.3157894736842105,1.0
20,dok201.txt,WA,0.3,1.0
21,dok174.txt,WA,0.2857142857142857,1.0
22,dok230.txt,WA,0.2727272727272727,1.0
23,dok345.txt,WA,0.2608695652173913,1.0
24,dok332.txt,WA,0.25,1.0
25,dok298.txt,WA,0.24,1.0
26,dok243.txt,WA,0.23076923076923078,1.0
27,dok342.txt,WA,0.2222222222222222,1.0
28,dok236.txt,WA,0.21428571428571427,1.0
29,dok353.txt,WA,0.20689655172413793,1.0
30,dok140.txt,WA,0.2,1.0
31,dok314.txt,WA,0.1935483870967742,1.0
32,dok69.txt,WA,0.1875,1.0
33,dok159.txt,WA,0.18181818181818182,1.0
34,dok273.txt,WA,0.17647058823529413,1.0
35,dok315.txt,WA,0.17142857142857143,1.0
36,dok209.txt,WA,0.16666666666666666,1.0
37,dok249.txt,WA,0.16216216216216217,1.0
38,dok232.txt,WA,0.15789473684210525,1.0
39,dok280.txt,WA,0.15384615384615385,1.0
40,dok253.txt,WA,0.15,1.0
41,dok152.txt,WA,0.14634146341463414,1.0
42,dok228.txt,WA,0.14285714285714285,1.0
43,dok241.txt,WA,0.13953488372093023,1.0
44,dok392.txt,WA,0.13636363636363635,1.0
45,dok142.txt,WA,0.13333333333333333,1.0
46,dok283.txt,WA,0.13043478260869565,1.0
47,dok307.txt,WA,0.1276595744680851,1.0
48,dok71.txt,WA,0.125,1.0
49,dok259.txt,WA,0.12244897959183673,1.0
50,dok269.txt,WA,0.12,1.0
average precision,0.3317141644090548
