rank,document,verdict,Precision,Recall
1,dok386.txt,WA,0.0,0.0
2,dok113.txt,WA,0.0,0.0
3,dok42.txt,WA,0.0,0.0
4,dok331.txt,WA,0.0,0.0
5,dok387.txt,WA,0.0,0.0
6,dok383.txt,WA,0.0,0.0
7,dok23.txt,WA,0.0,0.0
8,dok94.txt,WA,0.0,0.0
9,dok142.txt,AC,0.1111111111111111,0.25
10,dok71.txt,AC,0.2,0.5
11,dok141.txt,WA,0.18181818181818182,0.5
12,dok70.txt,WA,0.16666666666666666,0.5
13,dok389.txt,WA,0.15384615384615385,0.5
14,dok343.txt,AC,0.21428571428571427,0.75
15,dok139.txt,WA,0.2,0.75
16,dok68.txt,WA,0.1875,0.75
17,dok20.txt,WA,0.17647058823529413,0.75
18,dok91.txt,WA,0.16666666666666666,0.75
19,dok11.txt,WA,0.15789473684210525,0.75
20,dok82.txt,WA,0.15,0.75
21,dok230.txt,WA,0.14285714285714285,0.75
22,dok10.txt,WA,0.13636363636363635,0.75
23,dok81.txt,WA,0.13043478260869565,0.75
24,dok103.txt,WA,0.125,0.75
25,dok32.txt,WA,0.12,0.75
26,dok132.txt,WA,0.11538461538461539,0.75
27,dok61.txt,WA,0.1111111111111111,0.75
28,dok394.txt,AC,0.14285714285714285,1.0
29,dok133.txt,WA,0.13793103448275862,1.0
30,dok62.txt,WA,0.13333333333333333,1.0
31,dok80.txt,WA,0.12903225806451613,1.0
32,dok9.txt,WA,0.125,1.0
33,dok28.txt,WA,0.12121212121212122,1.0
34,dok99.txt,WA,0.11764705882352941,1.0
35,dok24.txt,WA,0.11428571428571428,1.0
36,dok95.txt,WA,0.1111111111111111,1.0
37,dok334.txt,WA,0.10810810810810811,1.0
38,dok18.txt,WA,0.10526315789473684,1.0
39,dok89.txt,WA,0.10256410256410256,1.0
40,dok352.txt,WA,0.1,1.0
41,dok268.txt,WA,0.0975609756097561,1.0
42,dok325.txt,WA,0.09523809523809523,1.0
43,dok355.txt,WA,0.09302325581395349,1.0
44,dok131.txt,WA,0.09090909090909091,1.0
45,dok60.txt,WA,0.08888888888888889,1.0
46,dok7.txt,WA,0.08695652173913043,1.0
47,dok78.txt,WA,0.0851063829787234,1.0
48,dok136.txt,WA,0.08333333333333333,1.0
49,dok65.txt,WA,0.08163265306122448,1.0
50,dok265.txt,WA,0.08,1.0
average precision,0.10756810896212929
