rank,document,verdict,Precision,Recall
1,dok245.txt,WA,0.0,0.0
2,dok312.txt,WA,0.0,0.0
3,dok187.txt,WA,0.0,0.0
4,dok378.txt,WA,0.0,0.0
5,dok359.txt,WA,0.0,0.0
6,dok181.txt,WA,0.0,0.0
7,dok337.txt,WA,0.0,0.0
8,dok360.txt,WA,0.0,0.0
9,dok236.txt,WA,0.0,0.0
10,dok107.txt,WA,0.0,0.0
11,dok36.txt,WA,0.0,0.0
12,dok364.txt,AC,0.08333333333333333,0.25
13,dok213.txt,AC,0.15384615384615385,0.5
14,dok108.txt,WA,0.14285714285714285,0.5
15,dok37.txt,WA,0.13333333333333333,0.5
16,dok117.txt,WA,0.125,0.5
17,dok46.txt,WA,0.11764705882352941,0.5
18,dok7.txt,WA,0.1111111111111111,0.5
19,dok78.txt,WA,0.10526315789473684,0.5
20,dok335.txt,WA,0.1,0.5
21,dok233.txt,WA,0.09523809523809523,0.5
22,dok148.txt,WA,0.09090909090909091,0.5
23,dok285.txt,WA,0.08695652173913043,0.5
24,dok255.txt,WA,0.08333333333333333,0.5
25,dok172.txt,WA,0.08,0.5
26,dok373.txt,WA,0.07692307692307693,0.5
27,dok125.txt,WA,0.07407407407407407,0.5
28,dok54.txt,WA,0.07142857142857142,0.5
29,dok393.txt,WA,0.06896551724137931,0.5
30,dok400.txt,AC,0.1,0.75
31,dok268.txt,WA,0.0967741935483871,0.75
32,dok269.txt,WA,0.09375,0.75
33,dok325.txt,WA,0.09090909090909091,0.75
34,dok270.txt,WA,0.08823529411764706,0.75
35,dok197.txt,WA,0.08571428571428572,0.75
36,dok136.txt,WA,0.08333333333333333,0.75
37,dok65.txt,WA,0.08108108108108109,0.75
38,dok350.txt,WA,0.07894736842105263,0.75
39,dok12.txt,WA,0.07692307692307693,0.75
40,dok83.txt,WA,0.075,0.75
41,dok238.txt,WA,0.07317073170731707,0.75
42,dok14.txt,WA,0.07142857142857142,0.75
43,dok167.txt,WA,0.06976744186046512,0.75
44,dok304.txt,WA,0.06818181818181818,0.75
45,dok316.txt,WA,0.06666666666666667,0.75
46,dok85.txt,WA,0.06521739130434782,0.75
47,dok186.txt,WA,0.06382978723404255,0.75
48,dok353.txt,WA,0.0625,0.75
49,dok155.txt,WA,0.061224489795918366,0.75
50,dok206.txt,WA,0.06,0.75
51,dok240.txt,WA,0.058823529411764705,0.75
52,dok248.txt,WA,0.057692307692307696,0.75
53,dok399.txt,WA,0.05660377358490566,0.75
54,dok369.txt,WA,0.05555555555555555,0.75
55,dok402.txt,WA,0.05454545454545454,0.75
56,dok204.txt,WA,0.05357142857142857,0.75
57,dok234.txt,WA,0.05263157894736842,0.75
58,dok210.txt,WA,0.05172413793103448,0.75
59,dok3.txt,WA,0.05084745762711865,0.75
60,dok74.txt,WA,0.05,0.75
61,dok138.txt,WA,0.04918032786885246,0.75
62,dok67.txt,WA,0.04838709677419355,0.75
63,dok275.txt,WA,0.047619047619047616,0.75
64,dok318.txt,WA,0.046875,0.75
65,dok79.txt,WA,0.046153846153846156,0.75
66,dok8.txt,WA,0.045454545454545456,0.75
67,dok116.txt,WA,0.04477611940298507,0.75
68,dok45.txt,WA,0.04411764705882353,0.75
69,dok379.txt,WA,0.043478260869565216,0.75
70,dok178.txt,WA,0.04285714285714286,0.75
71,dok388.txt,WA,0.04225352112676056,0.75
72,dok203.txt,WA,0.041666666666666664,0.75
73,dok372.txt,WA,0.0410958904109589,0.75
74,dok288.txt,WA,0.04054054054054054,0.75
75,dok339.txt,WA,0.04,0.75
76,dok201.txt,WA,0.039473684210526314,0.75
77,dok123.txt,WA,0.03896103896103896,0.75
78,dok52.txt,WA,0.038461538461538464,0.75
79,dok20.txt,WA,0.0379746835443038,0.75
80,dok91.txt,WA,0.0375,0.75
81,dok219.txt,WA,0.037037037037037035,0.75
82,dok224.txt,WA,0.036585365853658534,0.75
83,dok209.txt,WA,0.03614457831325301,0.75
84,dok173.txt,WA,0.03571428571428571,0.75
85,dok323.txt,WA,0.03529411764705882,0.75
86,dok375.txt,WA,0.03488372093023256,0.75
87,dok174.txt,WA,0.034482758620689655,0.75
88,dok216.txt,WA,0.03409090909090909,0.75
89,dok237.txt,WA,0.033707865168539325,0.75
90,dok345.txt,WA,0.03333333333333333,0.75
91,dok134.txt,WA,0.03296703296703297,0.75
92,dok63.txt,WA,0.03260869565217391,0.75
93,dok183.txt,WA,0.03225806451612903,0.75
94,dok164.txt,AC,0.0425531914893617,1.0
95,dok287.txt,WA,0.042105263157894736,1.0
96,dok170.txt,WA,0.041666666666666664,1.0
97,dok303.txt,WA,0.041237113402061855,1.0
98,dok394.txt,WA,0.04081632653061224,1.0
99,dok115.txt,WA,0.04040404040404041,1.0
100,dok44.txt,WA,0.04,1.0
average precision,0.05549586382656439
