rank,document,verdict,Precision,Recall
1,dok356.txt,AC,1.0,0.05
2,dok115.txt,AC,1.0,0.1
3,dok44.txt,AC,1.0,0.15
4,dok390.txt,AC,1.0,0.2
5,dok20.txt,AC,1.0,0.25
6,dok91.txt,AC,1.0,0.3
7,dok263.txt,AC,1.0,0.35
8,dok17.txt,AC,1.0,0.4
9,dok88.txt,AC,1.0,0.45
10,dok165.txt,AC,1.0,0.5
11,dok388.txt,WA,0.9090909090909091,0.5
12,dok157.txt,AC,0.9166666666666666,0.55
13,dok16.txt,AC,0.9230769230769231,0.6
14,dok266.txt,AC,0.9285714285714286,0.65
15,dok87.txt,AC,0.9333333333333333,0.7
16,dok258.txt,WA,0.875,0.7
17,dok159.txt,WA,0.8235294117647058,0.7
18,dok355.txt,WA,0.7777777777777778,0.7
19,dok102.txt,WA,0.7368421052631579,0.7
20,dok31.txt,WA,0.7,0.7
21,dok304.txt,WA,0.6666666666666666,0.7
22,dok26.txt,WA,0.6363636363636364,0.7
23,dok97.txt,WA,0.6086956521739131,0.7
24,dok79.txt,WA,0.5833333333333334,0.7
25,dok8.txt,WA,0.56,0.7
26,dok332.txt,WA,0.5384615384615384,0.7
27,dok261.txt,WA,0.5185185185185185,0.7
28,dok14.txt,WA,0.5,0.7
29,dok167.txt,WA,0.4827586206896552,0.7
30,dok316.txt,WA,0.4666666666666667,0.7
31,dok85.txt,WA,0.45161290322580644,0.7
32,dok25.txt,AC,0.46875,0.75
33,dok96.txt,AC,0.48484848484848486,0.8
34,dok27.txt,WA,0.47058823529411764,0.8
35,dok98.txt,WA,0.45714285714285713,0.8
36,dok19.txt,WA,0.4444444444444444,0.8
37,dok90.txt,WA,0.43243243243243246,0.8
38,dok385.txt,WA,0.42105263157894735,0.8
39,dok325.txt,WA,0.41025641025641024,0.8
40,dok268.txt,WA,0.4,0.8
41,dok265.txt,AC,0.4146341463414634,0.85
42,dok322.txt,AC,0.42857142857142855,0.9
43,dok380.txt,WA,0.4186046511627907,0.9
44,dok371.txt,AC,0.4318181818181818,0.95
45,dok302.txt,AC,0.4444444444444444,1.0
46,dok384.txt,WA,0.43478260869565216,1.0
47,dok392.txt,WA,0.425531914893617,1.0
48,dok162.txt,WA,0.4166666666666667,1.0
49,dok23.txt,WA,0.40816326530612246,1.0
50,dok94.txt,WA,0.4,1.0
average precision,0.6549939779108539
