rank,document,verdict,Precision,Recall
1,dok129.txt,AC,1.0,0.5
2,dok58.txt,AC,1.0,1.0
3,dok376.txt,WA,0.6666666666666666,1.0
4,dok201.txt,WA,0.5,1.0
5,dok226.txt,WA,0.4,1.0
6,dok384.txt,WA,0.3333333333333333,1.0
7,dok320.txt,WA,0.2857142857142857,1.0
8,dok321.txt,WA,0.25,1.0
9,dok16.txt,WA,0.2222222222222222,1.0
10,dok266.txt,WA,0.2,1.0
11,dok381.txt,WA,0.18181818181818182,1.0
12,dok87.txt,WA,0.16666666666666666,1.0
13,dok368.txt,WA,0.15384615384615385,1.0
14,dok224.txt,WA,0.14285714285714285,1.0
15,dok258.txt,WA,0.13333333333333333,1.0
16,dok7.txt,WA,0.125,1.0
17,dok78.txt,WA,0.11764705882352941,1.0
18,dok385.txt,WA,0.1111111111111111,1.0
19,dok397.txt,WA,0.10526315789473684,1.0
20,dok166.txt,WA,0.1,1.0
21,dok370.txt,WA,0.09523809523809523,1.0
22,dok204.txt,WA,0.09090909090909091,1.0
23,dok402.txt,WA,0.08695652173913043,1.0
24,dok377.txt,WA,0.08333333333333333,1.0
25,dok244.txt,WA,0.08,1.0
26,dok296.txt,WA,0.07692307692307693,1.0
27,dok267.txt,WA,0.07407407407407407,1.0
28,dok308.txt,WA,0.07142857142857142,1.0
29,dok341.txt,WA,0.06896551724137931,1.0
30,dok139.txt,WA,0.06666666666666667,1.0
31,dok68.txt,WA,0.06451612903225806,1.0
32,dok240.txt,WA,0.0625,1.0
33,dok399.txt,WA,0.06060606060606061,1.0
34,dok103.txt,WA,0.058823529411764705,1.0
35,dok32.txt,WA,0.05714285714285714,1.0
36,dok123.txt,WA,0.05555555555555555,1.0
37,dok52.txt,WA,0.05405405405405406,1.0
38,dok176.txt,WA,0.05263157894736842,1.0
39,dok299.txt,WA,0.05128205128205128,1.0
40,dok349.txt,WA,0.05,1.0
41,dok271.txt,WA,0.04878048780487805,1.0
42,dok327.txt,WA,0.047619047619047616,1.0
43,dok173.txt,WA,0.046511627906976744,1.0
44,dok323.txt,WA,0.045454545454545456,1.0
45,dok274.txt,WA,0.044444444444444446,1.0
46,dok175.txt,WA,0.043478260869565216,1.0
47,dok220.txt,WA,0.0425531914893617,1.0
48,dok137.txt,WA,0.041666666666666664,1.0
49,dok236.txt,WA,0.04081632653061224,1.0
50,dok273.txt,WA,0.04,1.0
average precision,0.159968213533177
