rank,document,verdict,Precision,Recall
1,dok24.txt,AC,1.0,0.2
2,dok95.txt,AC,1.0,0.4
3,dok385.txt,AC,1.0,0.6
4,dok20.txt,AC,1.0,0.8
5,dok91.txt,AC,1.0,1.0
6,dok79.txt,WA,0.8333333333333334,1.0
7,dok8.txt,WA,0.7142857142857143,1.0
8,dok334.txt,WA,0.625,1.0
9,dok389.txt,WA,0.5555555555555556,1.0
10,dok165.txt,WA,0.5,1.0
11,dok17.txt,WA,0.45454545454545453,1.0
12,dok88.txt,WA,0.4166666666666667,1.0
13,dok21.txt,WA,0.38461538461538464,1.0
14,dok92.txt,WA,0.35714285714285715,1.0
15,dok157.txt,WA,0.3333333333333333,1.0
16,dok15.txt,WA,0.3125,1.0
17,dok86.txt,WA,0.29411764705882354,1.0
18,dok126.txt,WA,0.2777777777777778,1.0
19,dok328.txt,WA,0.2631578947368421,1.0
20,dok386.txt,WA,0.25,1.0
21,dok55.txt,WA,0.23809523809523808,1.0
22,dok159.txt,WA,0.22727272727272727,1.0
23,dok236.txt,WA,0.21739130434782608,1.0
24,dok127.txt,WA,0.20833333333333334,1.0
25,dok300.txt,WA,0.2,1.0
26,dok56.txt,WA,0.19230769230769232,1.0
27,dok10.txt,WA,0.18518518518518517,1.0
28,dok80.txt,WA,0.17857142857142858,1.0
29,dok81.txt,WA,0.1724137931034483,1.0
30,dok9.txt,WA,0.16666666666666666,1.0
31,dok128.txt,WA,0.16129032258064516,1.0
32,dok232.txt,WA,0.15625,1.0
33,dok57.txt,WA,0.15151515151515152,1.0
34,dok11.txt,WA,0.14705882352941177,1.0
35,dok82.txt,WA,0.14285714285714285,1.0
36,dok331.txt,WA,0.1388888888888889,1.0
37,dok372.txt,WA,0.13513513513513514,1.0
38,dok113.txt,WA,0.13157894736842105,1.0
39,dok397.txt,WA,0.1282051282051282,1.0
40,dok42.txt,WA,0.125,1.0
41,dok23.txt,WA,0.12195121951219512,1.0
42,dok380.txt,WA,0.11904761904761904,1.0
43,dok94.txt,WA,0.11627906976744186,1.0
44,dok6.txt,WA,0.11363636363636363,1.0
45,dok77.txt,WA,0.1111111111111111,1.0
average precision,0.34573497580199875
