rank,document,verdict,Precision,Recall
1,dok274.txt,WA,0.0,0.0
2,dok262.txt,WA,0.0,0.0
3,dok278.txt,WA,0.0,0.0
4,dok365.txt,WA,0.0,0.0
5,dok247.txt,WA,0.0,0.0
6,dok110.txt,WA,0.0,0.0
7,dok39.txt,WA,0.0,0.0
8,dok148.txt,AC,0.125,0.5
9,dok402.txt,WA,0.1111111111111111,0.5
10,dok338.txt,WA,0.1,0.5
11,dok183.txt,WA,0.09090909090909091,0.5
12,dok181.txt,WA,0.08333333333333333,0.5
13,dok337.txt,WA,0.07692307692307693,0.5
14,dok231.txt,WA,0.07142857142857142,0.5
15,dok351.txt,WA,0.06666666666666667,0.5
16,dok149.txt,WA,0.0625,0.5
17,dok379.txt,WA,0.058823529411764705,0.5
18,dok253.txt,WA,0.05555555555555555,0.5
19,dok285.txt,AC,0.10526315789473684,1.0
20,dok272.txt,WA,0.1,1.0
21,dok293.txt,WA,0.09523809523809523,1.0
22,dok347.txt,WA,0.09090909090909091,1.0
23,dok248.txt,WA,0.08695652173913043,1.0
24,dok260.txt,WA,0.08333333333333333,1.0
25,dok400.txt,WA,0.08,1.0
26,dok222.txt,WA,0.07692307692307693,1.0
27,dok366.txt,WA,0.07407407407407407,1.0
28,dok256.txt,WA,0.07142857142857142,1.0
29,dok205.txt,WA,0.06896551724137931,1.0
30,dok234.txt,WA,0.06666666666666667,1.0
31,dok275.txt,WA,0.06451612903225806,1.0
32,dok217.txt,WA,0.0625,1.0
33,dok161.txt,WA,0.06060606060606061,1.0
34,dok108.txt,WA,0.058823529411764705,1.0
35,dok37.txt,WA,0.05714285714285714,1.0
36,dok228.txt,WA,0.05555555555555555,1.0
37,dok309.txt,WA,0.05405405405405406,1.0
38,dok186.txt,WA,0.05263157894736842,1.0
39,dok212.txt,WA,0.05128205128205128,1.0
40,dok362.txt,WA,0.05,1.0
41,dok335.txt,WA,0.04878048780487805,1.0
42,dok257.txt,WA,0.047619047619047616,1.0
43,dok298.txt,WA,0.046511627906976744,1.0
44,dok214.txt,WA,0.045454545454545456,1.0
45,dok399.txt,WA,0.044444444444444446,1.0
46,dok276.txt,WA,0.043478260869565216,1.0
47,dok114.txt,WA,0.0425531914893617,1.0
48,dok43.txt,WA,0.041666666666666664,1.0
49,dok235.txt,WA,0.04081632653061224,1.0
50,dok352.txt,WA,0.04,1.0
average precision,0.058208909112107854
