rank,document,verdict,Precision,Recall
1,dok274.txt,WA,0.0,0.0
2,dok315.txt,AC,0.5,0.16666666666666666
3,dok273.txt,AC,0.6666666666666666,0.3333333333333333
4,dok139.txt,AC,0.75,0.5
5,dok68.txt,WA,0.6,0.5
6,dok394.txt,AC,0.6666666666666666,0.6666666666666666
7,dok142.txt,AC,0.7142857142857143,0.8333333333333334
8,dok71.txt,AC,0.75,1.0
9,dok27.txt,WA,0.6666666666666666,1.0
10,dok98.txt,WA,0.6,1.0
11,dok343.txt,WA,0.5454545454545454,1.0
12,dok152.txt,WA,0.5,1.0
13,dok198.txt,WA,0.46153846153846156,1.0
14,dok227.txt,WA,0.42857142857142855,1.0
15,dok271.txt,WA,0.4,1.0
16,dok327.txt,WA,0.375,1.0
17,dok213.txt,WA,0.35294117647058826,1.0
18,dok140.txt,WA,0.3333333333333333,1.0
19,dok69.txt,WA,0.3157894736842105,1.0
20,dok399.txt,WA,0.3,1.0
21,dok262.txt,WA,0.2857142857142857,1.0
22,dok278.txt,WA,0.2727272727272727,1.0
23,dok200.txt,WA,0.2608695652173913,1.0
24,dok210.txt,WA,0.25,1.0
25,dok103.txt,WA,0.24,1.0
26,dok32.txt,WA,0.23076923076923078,1.0
27,dok209.txt,WA,0.2222222222222222,1.0
28,dok10.txt,WA,0.21428571428571427,1.0
29,dok81.txt,WA,0.20689655172413793,1.0
30,dok253.txt,WA,0.2,1.0
31,dok205.txt,WA,0.1935483870967742,1.0
32,dok229.txt,WA,0.1875,1.0
33,dok348.txt,WA,0.18181818181818182,1.0
34,dok385.txt,WA,0.17647058823529413,1.0
35,dok249.txt,WA,0.17142857142857143,1.0
36,dok281.txt,WA,0.16666666666666666,1.0
37,dok17.txt,WA,0.16216216216216217,1.0
38,dok88.txt,WA,0.15789473684210525,1.0
39,dok363.txt,WA,0.15384615384615385,1.0
40,dok131.txt,WA,0.15,1.0
41,dok28.txt,WA,0.14634146341463414,1.0
42,dok60.txt,WA,0.14285714285714285,1.0
43,dok99.txt,WA,0.13953488372093023,1.0
44,dok292.txt,WA,0.13636363636363635,1.0
45,dok180.txt,WA,0.13333333333333333,1.0
46,dok257.txt,WA,0.13043478260869565,1.0
47,dok401.txt,WA,0.1276595744680851,1.0
48,dok365.txt,WA,0.125,1.0
49,dok206.txt,WA,0.12244897959183673,1.0
50,dok174.txt,WA,0.12,1.0
51,dok345.txt,WA,0.11764705882352941,1.0
52,dok377.txt,WA,0.11538461538461539,1.0
53,dok15.txt,WA,0.11320754716981132,1.0
54,dok86.txt,WA,0.1111111111111111,1.0
55,dok369.txt,WA,0.10909090909090909,1.0
56,dok118.txt,WA,0.10714285714285714,1.0
57,dok160.txt,WA,0.10526315789473684,1.0
58,dok47.txt,WA,0.10344827586206896,1.0
59,dok122.txt,WA,0.1016949152542373,1.0
60,dok51.txt,WA,0.1,1.0
61,dok268.txt,WA,0.09836065573770492,1.0
62,dok325.txt,WA,0.0967741935483871,1.0
63,dok133.txt,WA,0.09523809523809523,1.0
64,dok62.txt,WA,0.09375,1.0
65,dok393.txt,WA,0.09230769230769231,1.0
66,dok283.txt,WA,0.09090909090909091,1.0
67,dok192.txt,WA,0.08955223880597014,1.0
68,dok117.txt,WA,0.08823529411764706,1.0
69,dok46.txt,WA,0.08695652173913043,1.0
70,dok163.txt,WA,0.08571428571428572,1.0
71,dok384.txt,WA,0.08450704225352113,1.0
72,dok145.txt,WA,0.08333333333333333,1.0
73,dok168.txt,WA,0.0821917808219178,1.0
74,dok186.txt,WA,0.08108108108108109,1.0
75,dok276.txt,WA,0.08,1.0
76,dok148.txt,WA,0.07894736842105263,1.0
77,dok285.txt,WA,0.07792207792207792,1.0
78,dok208.txt,WA,0.07692307692307693,1.0
79,dok177.txt,WA,0.0759493670886076,1.0
80,dok234.txt,WA,0.075,1.0
81,dok362.txt,WA,0.07407407407407407,1.0
82,dok111.txt,WA,0.07317073170731707,1.0
83,dok40.txt,WA,0.07228915662650602,1.0
84,dok319.txt,WA,0.07142857142857142,1.0
85,dok189.txt,WA,0.07058823529411765,1.0
86,dok346.txt,WA,0.06976744186046512,1.0
87,dok252.txt,WA,0.06896551724137931,1.0
88,dok391.txt,WA,0.06818181818181818,1.0
89,dok224.txt,WA,0.06741573033707865,1.0
90,dok155.txt,WA,0.06666666666666667,1.0
91,dok171.txt,WA,0.06593406593406594,1.0
92,dok203.txt,WA,0.06521739130434782,1.0
93,dok166.txt,WA,0.06451612903225806,1.0
94,dok389.txt,WA,0.06382978723404255,1.0
95,dok23.txt,WA,0.06315789473684211,1.0
96,dok80.txt,WA,0.0625,1.0
97,dok9.txt,WA,0.061855670103092786,1.0
98,dok94.txt,WA,0.061224489795918366,1.0
99,dok225.txt,WA,0.06060606060606061,1.0
100,dok296.txt,WA,0.06,1.0
average precision,0.19464741296313903
