rank,document,verdict,Precision,Recall
1,dok274.txt,WA,0.0,0.0
2,dok389.txt,WA,0.0,0.0
3,dok387.txt,WA,0.0,0.0
4,dok113.txt,WA,0.0,0.0
5,dok42.txt,WA,0.0,0.0
6,dok331.txt,WA,0.0,0.0
7,dok17.txt,WA,0.0,0.0
8,dok88.txt,WA,0.0,0.0
9,dok27.txt,WA,0.0,0.0
10,dok98.txt,WA,0.0,0.0
11,dok302.txt,WA,0.0,0.0
12,dok262.txt,WA,0.0,0.0
13,dok278.txt,WA,0.0,0.0
14,dok2.txt,WA,0.0,0.0
15,dok73.txt,WA,0.0,0.0
16,dok261.txt,WA,0.0,0.0
17,dok390.txt,WA,0.0,0.0
18,dok292.txt,WA,0.0,0.0
19,dok300.txt,WA,0.0,0.0
20,dok352.txt,WA,0.0,0.0
21,dok142.txt,AC,0.047619047619047616,0.25
22,dok71.txt,AC,0.09090909090909091,0.5
23,dok227.txt,WA,0.08695652173913043,0.5
24,dok213.txt,WA,0.08333333333333333,0.5
25,dok24.txt,WA,0.08,0.5
26,dok95.txt,WA,0.07692307692307693,0.5
27,dok241.txt,WA,0.07407407407407407,0.5
28,dok116.txt,WA,0.07142857142857142,0.5
29,dok45.txt,WA,0.06896551724137931,0.5
30,dok1.txt,WA,0.06666666666666667,0.5
31,dok72.txt,WA,0.06451612903225806,0.5
32,dok25.txt,WA,0.0625,0.5
33,dok96.txt,WA,0.06060606060606061,0.5
34,dok388.txt,WA,0.058823529411764705,0.5
35,dok380.txt,WA,0.05714285714285714,0.5
36,dok121.txt,WA,0.05555555555555555,0.5
37,dok329.txt,WA,0.05405405405405406,0.5
38,dok50.txt,WA,0.05263157894736842,0.5
39,dok157.txt,WA,0.05128205128205128,0.5
40,dok343.txt,AC,0.075,0.75
41,dok21.txt,WA,0.07317073170731707,0.75
42,dok92.txt,WA,0.07142857142857142,0.75
43,dok384.txt,WA,0.06976744186046512,0.75
44,dok26.txt,WA,0.06818181818181818,0.75
45,dok97.txt,WA,0.06666666666666667,0.75
46,dok332.txt,WA,0.06521739130434782,0.75
47,dok394.txt,AC,0.0851063829787234,1.0
48,dok290.txt,WA,0.08333333333333333,1.0
49,dok263.txt,WA,0.08163265306122448,1.0
50,dok396.txt,WA,0.08,1.0
51,dok140.txt,WA,0.0784313725490196,1.0
52,dok69.txt,WA,0.07692307692307693,1.0
53,dok305.txt,WA,0.07547169811320754,1.0
54,dok112.txt,WA,0.07407407407407407,1.0
55,dok41.txt,WA,0.07272727272727272,1.0
56,dok198.txt,WA,0.07142857142857142,1.0
57,dok159.txt,WA,0.07017543859649122,1.0
58,dok279.txt,WA,0.06896551724137931,1.0
59,dok209.txt,WA,0.06779661016949153,1.0
60,dok186.txt,WA,0.06666666666666667,1.0
61,dok114.txt,WA,0.06557377049180328,1.0
62,dok43.txt,WA,0.06451612903225806,1.0
63,dok176.txt,WA,0.06349206349206349,1.0
64,dok385.txt,WA,0.0625,1.0
65,dok291.txt,WA,0.06153846153846154,1.0
66,dok361.txt,WA,0.06060606060606061,1.0
67,dok333.txt,WA,0.05970149253731343,1.0
68,dok20.txt,WA,0.058823529411764705,1.0
69,dok91.txt,WA,0.057971014492753624,1.0
70,dok115.txt,WA,0.05714285714285714,1.0
71,dok44.txt,WA,0.056338028169014086,1.0
72,dok165.txt,WA,0.05555555555555555,1.0
73,dok355.txt,WA,0.0547945205479452,1.0
74,dok162.txt,WA,0.05405405405405406,1.0
75,dok119.txt,WA,0.05333333333333334,1.0
76,dok48.txt,WA,0.05263157894736842,1.0
77,dok299.txt,WA,0.05194805194805195,1.0
78,dok265.txt,WA,0.05128205128205128,1.0
79,dok322.txt,WA,0.05063291139240506,1.0
80,dok258.txt,WA,0.05,1.0
81,dok268.txt,WA,0.04938271604938271,1.0
82,dok325.txt,WA,0.04878048780487805,1.0
83,dok328.txt,WA,0.04819277108433735,1.0
84,dok4.txt,WA,0.047619047619047616,1.0
85,dok75.txt,WA,0.047058823529411764,1.0
86,dok280.txt,WA,0.046511627906976744,1.0
87,dok102.txt,WA,0.04597701149425287,1.0
88,dok179.txt,WA,0.045454545454545456,1.0
89,dok23.txt,WA,0.0449438202247191,1.0
90,dok31.txt,WA,0.044444444444444446,1.0
91,dok94.txt,WA,0.04395604395604396,1.0
92,dok22.txt,WA,0.043478260869565216,1.0
93,dok304.txt,WA,0.043010752688172046,1.0
94,dok93.txt,WA,0.0425531914893617,1.0
95,dok372.txt,WA,0.042105263157894736,1.0
96,dok19.txt,WA,0.041666666666666664,1.0
97,dok3.txt,WA,0.041237113402061855,1.0
98,dok74.txt,WA,0.04081632653061224,1.0
99,dok90.txt,WA,0.04040404040404041,1.0
100,dok11.txt,WA,0.04,1.0
average precision,0.04836181423729588
