rank,document,verdict,Precision,Recall
1,dok284.txt,WA,0.0,0.0
2,dok144.txt,WA,0.0,0.0
3,dok365.txt,AC,0.3333333333333333,0.08333333333333333
4,dok247.txt,WA,0.25,0.08333333333333333
5,dok110.txt,WA,0.2,0.08333333333333333
6,dok39.txt,WA,0.16666666666666666,0.08333333333333333
7,dok134.txt,WA,0.14285714285714285,0.08333333333333333
8,dok63.txt,WA,0.125,0.08333333333333333
9,dok359.txt,WA,0.1111111111111111,0.08333333333333333
10,dok298.txt,WA,0.1,0.08333333333333333
11,dok197.txt,WA,0.09090909090909091,0.08333333333333333
12,dok187.txt,WA,0.08333333333333333,0.08333333333333333
13,dok249.txt,AC,0.15384615384615385,0.16666666666666666
14,dok253.txt,WA,0.14285714285714285,0.16666666666666666
15,dok222.txt,WA,0.13333333333333333,0.16666666666666666
16,dok350.txt,WA,0.125,0.16666666666666666
17,dok221.txt,AC,0.17647058823529413,0.25
18,dok139.txt,WA,0.16666666666666666,0.25
19,dok68.txt,WA,0.15789473684210525,0.25
20,dok277.txt,WA,0.15,0.25
21,dok146.txt,WA,0.14285714285714285,0.25
22,dok161.txt,WA,0.13636363636363635,0.25
23,dok402.txt,WA,0.13043478260869565,0.25
24,dok208.txt,AC,0.16666666666666666,0.3333333333333333
25,dok193.txt,WA,0.16,0.3333333333333333
26,dok306.txt,WA,0.15384615384615385,0.3333333333333333
27,dok378.txt,WA,0.14814814814814814,0.3333333333333333
28,dok103.txt,WA,0.14285714285714285,0.3333333333333333
29,dok32.txt,WA,0.13793103448275862,0.3333333333333333
30,dok399.txt,WA,0.13333333333333333,0.3333333333333333
31,dok236.txt,WA,0.12903225806451613,0.3333333333333333
32,dok235.txt,WA,0.125,0.3333333333333333
33,dok377.txt,WA,0.12121212121212122,0.3333333333333333
34,dok347.txt,WA,0.11764705882352941,0.3333333333333333
35,dok230.txt,AC,0.14285714285714285,0.4166666666666667
36,dok251.txt,AC,0.16666666666666666,0.5
37,dok344.txt,WA,0.16216216216216217,0.5
38,dok220.txt,WA,0.15789473684210525,0.5
39,dok343.txt,AC,0.1794871794871795,0.5833333333333334
40,dok373.txt,WA,0.175,0.5833333333333334
41,dok248.txt,WA,0.17073170731707318,0.5833333333333334
42,dok282.txt,WA,0.16666666666666666,0.5833333333333334
43,dok148.txt,WA,0.16279069767441862,0.5833333333333334
44,dok149.txt,WA,0.1590909090909091,0.5833333333333334
45,dok338.txt,WA,0.15555555555555556,0.5833333333333334
46,dok140.txt,WA,0.15217391304347827,0.5833333333333334
47,dok69.txt,WA,0.14893617021276595,0.5833333333333334
48,dok394.txt,AC,0.16666666666666666,0.6666666666666666
49,dok259.txt,WA,0.16326530612244897,0.6666666666666666
50,dok307.txt,WA,0.16,0.6666666666666666
51,dok147.txt,WA,0.1568627450980392,0.6666666666666666
52,dok153.txt,WA,0.15384615384615385,0.6666666666666666
53,dok289.txt,WA,0.1509433962264151,0.6666666666666666
54,dok218.txt,WA,0.14814814814814814,0.6666666666666666
55,dok199.txt,WA,0.14545454545454545,0.6666666666666666
56,dok396.txt,WA,0.14285714285714285,0.6666666666666666
57,dok142.txt,AC,0.15789473684210525,0.75
58,dok71.txt,AC,0.1724137931034483,0.8333333333333334
59,dok183.txt,WA,0.1694915254237288,0.8333333333333334
60,dok273.txt,WA,0.16666666666666666,0.8333333333333334
61,dok315.txt,WA,0.16393442622950818,0.8333333333333334
62,dok212.txt,WA,0.16129032258064516,0.8333333333333334
63,dok192.txt,WA,0.15873015873015872,0.8333333333333334
64,dok205.txt,WA,0.15625,0.8333333333333334
65,dok283.txt,WA,0.15384615384615385,0.8333333333333334
66,dok225.txt,WA,0.15151515151515152,0.8333333333333334
67,dok195.txt,WA,0.14925373134328357,0.8333333333333334
68,dok141.txt,AC,0.16176470588235295,0.9166666666666666
69,dok70.txt,AC,0.17391304347826086,1.0
70,dok237.txt,WA,0.17142857142857143,1.0
71,dok382.txt,WA,0.16901408450704225,1.0
72,dok164.txt,WA,0.16666666666666666,1.0
73,dok287.txt,WA,0.1643835616438356,1.0
74,dok172.txt,WA,0.16216216216216217,1.0
75,dok360.txt,WA,0.16,1.0
76,dok369.txt,WA,0.15789473684210525,1.0
77,dok368.txt,WA,0.15584415584415584,1.0
78,dok271.txt,WA,0.15384615384615385,1.0
79,dok233.txt,WA,0.1518987341772152,1.0
80,dok376.txt,WA,0.15,1.0
81,dok226.txt,WA,0.14814814814814814,1.0
82,dok397.txt,WA,0.14634146341463414,1.0
83,dok320.txt,WA,0.14457831325301204,1.0
84,dok321.txt,WA,0.14285714285714285,1.0
85,dok327.txt,WA,0.1411764705882353,1.0
86,dok234.txt,WA,0.13953488372093023,1.0
87,dok143.txt,WA,0.13793103448275862,1.0
88,dok393.txt,WA,0.13636363636363635,1.0
89,dok227.txt,WA,0.1348314606741573,1.0
90,dok137.txt,WA,0.13333333333333333,1.0
91,dok66.txt,WA,0.13186813186813187,1.0
92,dok158.txt,WA,0.13043478260869565,1.0
93,dok286.txt,WA,0.12903225806451613,1.0
94,dok232.txt,WA,0.1276595744680851,1.0
95,dok116.txt,WA,0.12631578947368421,1.0
96,dok45.txt,WA,0.125,1.0
97,dok111.txt,WA,0.12371134020618557,1.0
98,dok40.txt,WA,0.12244897959183673,1.0
99,dok219.txt,WA,0.12121212121212122,1.0
100,dok296.txt,WA,0.12,1.0
average precision,0.14765548498339517
