rank,document,verdict,Precision,Recall
1,dok245.txt,WA,0.0,0.0
2,dok312.txt,WA,0.0,0.0
3,dok187.txt,WA,0.0,0.0
4,dok378.txt,WA,0.0,0.0
5,dok359.txt,WA,0.0,0.0
6,dok181.txt,WA,0.0,0.0
7,dok337.txt,WA,0.0,0.0
8,dok360.txt,WA,0.0,0.0
9,dok236.txt,WA,0.0,0.0
10,dok364.txt,AC,0.1,0.3333333333333333
11,dok107.txt,WA,0.09090909090909091,0.3333333333333333
12,dok36.txt,WA,0.08333333333333333,0.3333333333333333
13,dok108.txt,WA,0.07692307692307693,0.3333333333333333
14,dok37.txt,WA,0.07142857142857142,0.3333333333333333
15,dok213.txt,AC,0.13333333333333333,0.6666666666666666
16,dok117.txt,WA,0.125,0.6666666666666666
17,dok46.txt,WA,0.11764705882352941,0.6666666666666666
18,dok7.txt,WA,0.1111111111111111,0.6666666666666666
19,dok78.txt,WA,0.10526315789473684,0.6666666666666666
20,dok335.txt,WA,0.1,0.6666666666666666
21,dok400.txt,AC,0.14285714285714285,1.0
22,dok233.txt,WA,0.13636363636363635,1.0
23,dok148.txt,WA,0.13043478260869565,1.0
24,dok285.txt,WA,0.125,1.0
25,dok255.txt,WA,0.12,1.0
26,dok172.txt,WA,0.11538461538461539,1.0
27,dok373.txt,WA,0.1111111111111111,1.0
28,dok125.txt,WA,0.10714285714285714,1.0
29,dok54.txt,WA,0.10344827586206896,1.0
30,dok393.txt,WA,0.1,1.0
31,dok268.txt,WA,0.0967741935483871,1.0
32,dok269.txt,WA,0.09375,1.0
33,dok325.txt,WA,0.09090909090909091,1.0
34,dok270.txt,WA,0.08823529411764706,1.0
35,dok197.txt,WA,0.08571428571428572,1.0
36,dok136.txt,WA,0.08333333333333333,1.0
37,dok65.txt,WA,0.08108108108108109,1.0
38,dok350.txt,WA,0.07894736842105263,1.0
39,dok12.txt,WA,0.07692307692307693,1.0
40,dok83.txt,WA,0.075,1.0
41,dok238.txt,WA,0.07317073170731707,1.0
42,dok14.txt,WA,0.07142857142857142,1.0
43,dok167.txt,WA,0.06976744186046512,1.0
44,dok304.txt,WA,0.06818181818181818,1.0
45,dok316.txt,WA,0.06666666666666667,1.0
46,dok85.txt,WA,0.06521739130434782,1.0
47,dok186.txt,WA,0.06382978723404255,1.0
48,dok353.txt,WA,0.0625,1.0
49,dok155.txt,WA,0.061224489795918366,1.0
50,dok399.txt,WA,0.06,1.0
51,dok206.txt,WA,0.058823529411764705,1.0
52,dok240.txt,WA,0.057692307692307696,1.0
53,dok369.txt,WA,0.05660377358490566,1.0
54,dok248.txt,WA,0.05555555555555555,1.0
55,dok402.txt,WA,0.05454545454545454,1.0
56,dok204.txt,WA,0.05357142857142857,1.0
57,dok234.txt,WA,0.05263157894736842,1.0
58,dok210.txt,WA,0.05172413793103448,1.0
59,dok3.txt,WA,0.05084745762711865,1.0
60,dok74.txt,WA,0.05,1.0
61,dok138.txt,WA,0.04918032786885246,1.0
62,dok67.txt,WA,0.04838709677419355,1.0
63,dok275.txt,WA,0.047619047619047616,1.0
64,dok318.txt,WA,0.046875,1.0
65,dok79.txt,WA,0.046153846153846156,1.0
66,dok8.txt,WA,0.045454545454545456,1.0
67,dok116.txt,WA,0.04477611940298507,1.0
68,dok45.txt,WA,0.04411764705882353,1.0
69,dok379.txt,WA,0.043478260869565216,1.0
70,dok178.txt,WA,0.04285714285714286,1.0
71,dok388.txt,WA,0.04225352112676056,1.0
72,dok203.txt,WA,0.041666666666666664,1.0
73,dok372.txt,WA,0.0410958904109589,1.0
74,dok288.txt,WA,0.04054054054054054,1.0
75,dok339.txt,WA,0.04,1.0
76,dok201.txt,WA,0.039473684210526314,1.0
77,dok123.txt,WA,0.03896103896103896,1.0
78,dok52.txt,WA,0.038461538461538464,1.0
79,dok20.txt,WA,0.0379746835443038,1.0
80,dok91.txt,WA,0.0375,1.0
81,dok219.txt,WA,0.037037037037037035,1.0
82,dok224.txt,WA,0.036585365853658534,1.0
83,dok209.txt,WA,0.03614457831325301,1.0
84,dok173.txt,WA,0.03571428571428571,1.0
85,dok323.txt,WA,0.03529411764705882,1.0
86,dok375.txt,WA,0.03488372093023256,1.0
87,dok174.txt,WA,0.034482758620689655,1.0
88,dok216.txt,WA,0.03409090909090909,1.0
89,dok237.txt,WA,0.033707865168539325,1.0
90,dok345.txt,WA,0.03333333333333333,1.0
91,dok134.txt,WA,0.03296703296703297,1.0
92,dok63.txt,WA,0.03260869565217391,1.0
93,dok183.txt,WA,0.03225806451612903,1.0
94,dok170.txt,WA,0.031914893617021274,1.0
95,dok303.txt,WA,0.031578947368421054,1.0
96,dok394.txt,WA,0.03125,1.0
97,dok115.txt,WA,0.030927835051546393,1.0
98,dok44.txt,WA,0.030612244897959183,1.0
99,dok356.txt,WA,0.030303030303030304,1.0
100,dok376.txt,WA,0.03,1.0
average precision,0.05883862315244599
