"Percobaan ke","Mean Average Precision"
"percobaan 1","34%"
"percobaan 2","34%"
"percobaan 3","34%"
"percobaan 4","34%"
"percobaan 5","34%"
"percobaan 6","39%"
"percobaan 7","35%"
"percobaan 8","14%"
"percobaan 9","9%"
"percobaan 10","62%"
"percobaan 11","62%"
"percobaan 12","62%"
"percobaan 13","62%"
"percobaan 14","62%"
"percobaan 15","29%"
"percobaan 16","20%"
"percobaan 17","34%"
"percobaan 18","34%"
"percobaan 19","34%"
"percobaan 20","34%"
"percobaan 21","34%"
"percobaan 22","39%"
"percobaan 23","35%"
"percobaan 24","14%"
"percobaan 25","9%"
"percobaan 26","62%"
"percobaan 27","62%"
"percobaan 28","62%"
"percobaan 29","62%"
"percobaan 30","62%"
"percobaan 31","29%"
"percobaan 32","20%"
"percobaan 55","34%"
