rank,document,verdict,Precision,Recall
1,dok216.txt,AC,1.0,0.16666666666666666
2,dok336.txt,AC,1.0,0.3333333333333333
3,dok149.txt,AC,1.0,0.5
4,dok293.txt,WA,0.75,0.5
5,dok340.txt,AC,0.8,0.6666666666666666
6,dok347.txt,AC,0.8333333333333334,0.8333333333333334
7,dok231.txt,WA,0.7142857142857143,0.8333333333333334
8,dok351.txt,WA,0.625,0.8333333333333334
9,dok253.txt,WA,0.5555555555555556,0.8333333333333334
10,dok338.txt,WA,0.5,0.8333333333333334
11,dok219.txt,WA,0.45454545454545453,0.8333333333333334
12,dok234.txt,WA,0.4166666666666667,0.8333333333333334
13,dok379.txt,WA,0.38461538461538464,0.8333333333333334
14,dok358.txt,WA,0.35714285714285715,0.8333333333333334
15,dok169.txt,WA,0.3333333333333333,0.8333333333333334
16,dok298.txt,WA,0.3125,0.8333333333333334
17,dok151.txt,WA,0.29411764705882354,0.8333333333333334
18,dok150.txt,WA,0.2777777777777778,0.8333333333333334
19,dok310.txt,WA,0.2631578947368421,0.8333333333333334
20,dok190.txt,AC,0.3,1.0
21,dok301.txt,WA,0.2857142857142857,1.0
22,dok375.txt,WA,0.2727272727272727,1.0
23,dok314.txt,WA,0.2608695652173913,1.0
24,dok205.txt,WA,0.25,1.0
25,dok393.txt,WA,0.24,1.0
26,dok172.txt,WA,0.23076923076923078,1.0
27,dok181.txt,WA,0.2222222222222222,1.0
28,dok123.txt,WA,0.21428571428571427,1.0
29,dok52.txt,WA,0.20689655172413793,1.0
30,dok239.txt,WA,0.2,1.0
31,dok337.txt,WA,0.1935483870967742,1.0
32,dok148.txt,WA,0.1875,1.0
33,dok285.txt,WA,0.18181818181818182,1.0
34,dok245.txt,WA,0.17647058823529413,1.0
35,dok228.txt,WA,0.17142857142857143,1.0
36,dok102.txt,WA,0.16666666666666666,1.0
37,dok31.txt,WA,0.16216216216216217,1.0
38,dok360.txt,WA,0.15789473684210525,1.0
39,dok312.txt,WA,0.15384615384615385,1.0
40,dok194.txt,WA,0.15,1.0
41,dok377.txt,WA,0.14634146341463414,1.0
42,dok187.txt,WA,0.14285714285714285,1.0
43,dok372.txt,WA,0.13953488372093023,1.0
44,dok384.txt,WA,0.13636363636363635,1.0
45,dok401.txt,WA,0.13333333333333333,1.0
46,dok237.txt,WA,0.13043478260869565,1.0
47,dok249.txt,WA,0.1276595744680851,1.0
48,dok399.txt,WA,0.125,1.0
49,dok374.txt,WA,0.12244897959183673,1.0
50,dok24.txt,WA,0.12,1.0
average precision,0.33161651412332405
