rank,document,verdict,Precision,Recall
1,dok385.txt,WA,0.0,0.0
2,dok218.txt,WA,0.0,0.0
3,dok402.txt,WA,0.0,0.0
4,dok115.txt,WA,0.0,0.0
5,dok44.txt,WA,0.0,0.0
6,dok274.txt,WA,0.0,0.0
7,dok224.txt,WA,0.0,0.0
8,dok142.txt,AC,0.125,0.25
9,dok71.txt,AC,0.2222222222222222,0.5
10,dok328.txt,WA,0.2,0.5
11,dok280.txt,WA,0.18181818181818182,0.5
12,dok253.txt,WA,0.16666666666666666,0.5
13,dok247.txt,WA,0.15384615384615385,0.5
14,dok157.txt,WA,0.14285714285714285,0.5
15,dok365.txt,WA,0.13333333333333333,0.5
16,dok401.txt,WA,0.125,0.5
17,dok228.txt,WA,0.11764705882352941,0.5
18,dok25.txt,WA,0.1111111111111111,0.5
19,dok96.txt,WA,0.10526315789473684,0.5
20,dok164.txt,WA,0.1,0.5
21,dok287.txt,WA,0.09523809523809523,0.5
22,dok331.txt,WA,0.09090909090909091,0.5
23,dok24.txt,WA,0.08695652173913043,0.5
24,dok95.txt,WA,0.08333333333333333,0.5
25,dok371.txt,WA,0.08,0.5
26,dok211.txt,WA,0.07692307692307693,0.5
27,dok354.txt,WA,0.07407407407407407,0.5
28,dok341.txt,WA,0.07142857142857142,0.5
29,dok113.txt,WA,0.06896551724137931,0.5
30,dok42.txt,WA,0.06666666666666667,0.5
31,dok103.txt,AC,0.0967741935483871,0.75
32,dok32.txt,AC,0.125,1.0
33,dok393.txt,WA,0.12121212121212122,1.0
34,dok111.txt,WA,0.11764705882352941,1.0
35,dok40.txt,WA,0.11428571428571428,1.0
36,dok23.txt,WA,0.1111111111111111,1.0
37,dok94.txt,WA,0.10810810810810811,1.0
38,dok176.txt,WA,0.10526315789473684,1.0
39,dok173.txt,WA,0.10256410256410256,1.0
40,dok323.txt,WA,0.1,1.0
41,dok399.txt,WA,0.0975609756097561,1.0
42,dok174.txt,WA,0.09523809523809523,1.0
43,dok345.txt,WA,0.09302325581395349,1.0
44,dok390.txt,WA,0.09090909090909091,1.0
45,dok1.txt,WA,0.08888888888888889,1.0
46,dok72.txt,WA,0.08695652173913043,1.0
47,dok269.txt,WA,0.0851063829787234,1.0
48,dok18.txt,WA,0.08333333333333333,1.0
49,dok89.txt,WA,0.08163265306122448,1.0
50,dok168.txt,WA,0.08,1.0
average precision,0.09327749482493009
