rank,document,verdict,Precision,Recall
1,dok385.txt,AC,1.0,0.043478260869565216
2,dok24.txt,AC,1.0,0.08695652173913043
3,dok95.txt,AC,1.0,0.13043478260869565
4,dok394.txt,AC,1.0,0.17391304347826086
5,dok243.txt,WA,0.8,0.17391304347826086
6,dok19.txt,WA,0.6666666666666666,0.17391304347826086
7,dok90.txt,WA,0.5714285714285714,0.17391304347826086
8,dok157.txt,WA,0.5,0.17391304347826086
9,dok263.txt,AC,0.5555555555555556,0.21739130434782608
10,dok15.txt,AC,0.6,0.2608695652173913
11,dok86.txt,WA,0.5454545454545454,0.2608695652173913
12,dok383.txt,AC,0.5833333333333334,0.30434782608695654
13,dok265.txt,AC,0.6153846153846154,0.34782608695652173
14,dok322.txt,AC,0.6428571428571429,0.391304347826087
15,dok126.txt,WA,0.6,0.391304347826087
16,dok55.txt,WA,0.5625,0.391304347826087
17,dok79.txt,AC,0.5882352941176471,0.43478260869565216
18,dok8.txt,AC,0.6111111111111112,0.4782608695652174
19,dok162.txt,WA,0.5789473684210527,0.4782608695652174
20,dok80.txt,AC,0.6,0.5217391304347826
21,dok9.txt,AC,0.6190476190476191,0.5652173913043478
22,dok22.txt,WA,0.5909090909090909,0.5652173913043478
23,dok93.txt,AC,0.6086956521739131,0.6086956521739131
24,dok165.txt,WA,0.5833333333333334,0.6086956521739131
25,dok20.txt,WA,0.56,0.6086956521739131
26,dok91.txt,AC,0.5769230769230769,0.6521739130434783
27,dok17.txt,WA,0.5555555555555556,0.6521739130434783
28,dok88.txt,AC,0.5714285714285714,0.6956521739130435
29,dok268.txt,WA,0.5517241379310345,0.6956521739130435
30,dok325.txt,WA,0.5333333333333333,0.6956521739130435
31,dok21.txt,AC,0.5483870967741935,0.7391304347826086
32,dok92.txt,AC,0.5625,0.782608695652174
33,dok331.txt,WA,0.5454545454545454,0.782608695652174
34,dok102.txt,WA,0.5294117647058824,0.782608695652174
35,dok31.txt,WA,0.5142857142857142,0.782608695652174
36,dok384.txt,WA,0.5,0.782608695652174
37,dok25.txt,WA,0.4864864864864865,0.782608695652174
38,dok96.txt,WA,0.47368421052631576,0.782608695652174
39,dok304.txt,WA,0.46153846153846156,0.782608695652174
40,dok390.txt,WA,0.45,0.782608695652174
41,dok231.txt,WA,0.43902439024390244,0.782608695652174
42,dok351.txt,WA,0.42857142857142855,0.782608695652174
43,dok23.txt,WA,0.4186046511627907,0.782608695652174
44,dok94.txt,WA,0.4090909090909091,0.782608695652174
45,dok186.txt,WA,0.4,0.782608695652174
46,dok356.txt,WA,0.391304347826087,0.782608695652174
47,dok3.txt,WA,0.3829787234042553,0.782608695652174
48,dok74.txt,WA,0.375,0.782608695652174
49,dok113.txt,WA,0.3673469387755102,0.782608695652174
50,dok42.txt,WA,0.36,0.782608695652174
51,dok6.txt,WA,0.35294117647058826,0.782608695652174
52,dok77.txt,WA,0.34615384615384615,0.782608695652174
53,dok261.txt,WA,0.33962264150943394,0.782608695652174
54,dok248.txt,WA,0.3333333333333333,0.782608695652174
55,dok14.txt,AC,0.34545454545454546,0.8260869565217391
56,dok167.txt,AC,0.35714285714285715,0.8695652173913043
57,dok316.txt,AC,0.3684210526315789,0.9130434782608695
58,dok85.txt,AC,0.3793103448275862,0.9565217391304348
59,dok2.txt,WA,0.3728813559322034,0.9565217391304348
60,dok73.txt,WA,0.36666666666666664,0.9565217391304348
61,dok5.txt,WA,0.36065573770491804,0.9565217391304348
62,dok76.txt,WA,0.3548387096774194,0.9565217391304348
63,dok139.txt,WA,0.3492063492063492,0.9565217391304348
64,dok68.txt,WA,0.34375,0.9565217391304348
65,dok253.txt,WA,0.3384615384615385,0.9565217391304348
66,dok119.txt,WA,0.3333333333333333,0.9565217391304348
67,dok48.txt,WA,0.3283582089552239,0.9565217391304348
68,dok372.txt,WA,0.3235294117647059,0.9565217391304348
69,dok274.txt,WA,0.3188405797101449,0.9565217391304348
70,dok11.txt,WA,0.3142857142857143,0.9565217391304348
71,dok82.txt,WA,0.30985915492957744,0.9565217391304348
72,dok333.txt,WA,0.3055555555555556,0.9565217391304348
73,dok389.txt,WA,0.3013698630136986,0.9565217391304348
74,dok303.txt,WA,0.2972972972972973,0.9565217391304348
75,dok279.txt,WA,0.29333333333333333,0.9565217391304348
76,dok328.txt,AC,0.3026315789473684,1.0
77,dok269.txt,WA,0.2987012987012987,1.0
78,dok393.txt,WA,0.2948717948717949,1.0
79,dok365.txt,WA,0.2911392405063291,1.0
80,dok382.txt,WA,0.2875,1.0
81,dok402.txt,WA,0.2839506172839506,1.0
82,dok18.txt,WA,0.2804878048780488,1.0
83,dok89.txt,WA,0.27710843373493976,1.0
84,dok190.txt,WA,0.27380952380952384,1.0
85,dok301.txt,WA,0.27058823529411763,1.0
86,dok142.txt,WA,0.26744186046511625,1.0
87,dok71.txt,WA,0.26436781609195403,1.0
88,dok184.txt,WA,0.26136363636363635,1.0
89,dok123.txt,WA,0.25842696629213485,1.0
90,dok52.txt,WA,0.25555555555555554,1.0
91,dok387.txt,WA,0.25274725274725274,1.0
92,dok140.txt,WA,0.25,1.0
93,dok69.txt,WA,0.24731182795698925,1.0
94,dok201.txt,WA,0.24468085106382978,1.0
95,dok391.txt,WA,0.24210526315789474,1.0
96,dok378.txt,WA,0.23958333333333334,1.0
97,dok198.txt,WA,0.23711340206185566,1.0
98,dok373.txt,WA,0.23469387755102042,1.0
99,dok334.txt,WA,0.23232323232323232,1.0
100,dok339.txt,WA,0.23,1.0
average precision,0.43429200254154887
