rank,document,verdict,Precision,Recall
1,dok253.txt,AC,1.0,0.16666666666666666
2,dok402.txt,WA,0.5,0.16666666666666666
3,dok252.txt,WA,0.3333333333333333,0.16666666666666666
4,dok353.txt,WA,0.25,0.16666666666666666
5,dok198.txt,WA,0.2,0.16666666666666666
6,dok365.txt,AC,0.3333333333333333,0.3333333333333333
7,dok248.txt,AC,0.42857142857142855,0.5
8,dok261.txt,WA,0.375,0.5
9,dok190.txt,AC,0.4444444444444444,0.6666666666666666
10,dok177.txt,WA,0.4,0.6666666666666666
11,dok255.txt,WA,0.36363636363636365,0.6666666666666666
12,dok159.txt,WA,0.3333333333333333,0.6666666666666666
13,dok15.txt,WA,0.3076923076923077,0.6666666666666666
14,dok86.txt,WA,0.2857142857142857,0.6666666666666666
15,dok301.txt,AC,0.3333333333333333,0.8333333333333334
16,dok328.txt,WA,0.3125,0.8333333333333334
17,dok165.txt,WA,0.29411764705882354,0.8333333333333334
18,dok17.txt,WA,0.2777777777777778,0.8333333333333334
19,dok88.txt,WA,0.2631578947368421,0.8333333333333334
20,dok115.txt,WA,0.25,0.8333333333333334
21,dok44.txt,WA,0.23809523809523808,0.8333333333333334
22,dok111.txt,WA,0.22727272727272727,0.8333333333333334
23,dok40.txt,WA,0.21739130434782608,0.8333333333333334
24,dok142.txt,WA,0.20833333333333334,0.8333333333333334
25,dok71.txt,WA,0.2,0.8333333333333334
26,dok101.txt,WA,0.19230769230769232,0.8333333333333334
27,dok30.txt,WA,0.18518518518518517,0.8333333333333334
28,dok275.txt,WA,0.17857142857142858,0.8333333333333334
29,dok189.txt,WA,0.1724137931034483,0.8333333333333334
30,dok319.txt,WA,0.16666666666666666,0.8333333333333334
31,dok172.txt,AC,0.1935483870967742,1.0
32,dok240.txt,WA,0.1875,1.0
33,dok243.txt,WA,0.18181818181818182,1.0
34,dok269.txt,WA,0.17647058823529413,1.0
35,dok203.txt,WA,0.17142857142857143,1.0
36,dok291.txt,WA,0.16666666666666666,1.0
37,dok266.txt,WA,0.16216216216216217,1.0
38,dok129.txt,WA,0.15789473684210525,1.0
39,dok58.txt,WA,0.15384615384615385,1.0
40,dok16.txt,WA,0.15,1.0
41,dok87.txt,WA,0.14634146341463414,1.0
42,dok392.txt,WA,0.14285714285714285,1.0
43,dok209.txt,WA,0.13953488372093023,1.0
44,dok202.txt,WA,0.13636363636363635,1.0
45,dok168.txt,WA,0.13333333333333333,1.0
46,dok279.txt,WA,0.13043478260869565,1.0
47,dok176.txt,WA,0.1276595744680851,1.0
48,dok22.txt,WA,0.125,1.0
49,dok93.txt,WA,0.12244897959183673,1.0
50,dok385.txt,WA,0.12,1.0
51,dok371.txt,WA,0.11764705882352941,1.0
52,dok331.txt,WA,0.11538461538461539,1.0
53,dok24.txt,WA,0.11320754716981132,1.0
54,dok95.txt,WA,0.1111111111111111,1.0
55,dok272.txt,WA,0.10909090909090909,1.0
56,dok401.txt,WA,0.10714285714285714,1.0
57,dok227.txt,WA,0.10526315789473684,1.0
58,dok340.txt,WA,0.10344827586206896,1.0
59,dok374.txt,WA,0.1016949152542373,1.0
60,dok124.txt,WA,0.1,1.0
61,dok53.txt,WA,0.09836065573770492,1.0
62,dok206.txt,WA,0.0967741935483871,1.0
63,dok217.txt,WA,0.09523809523809523,1.0
64,dok126.txt,WA,0.09375,1.0
65,dok55.txt,WA,0.09230769230769231,1.0
66,dok113.txt,WA,0.09090909090909091,1.0
67,dok42.txt,WA,0.08955223880597014,1.0
68,dok180.txt,WA,0.08823529411764706,1.0
69,dok188.txt,WA,0.08695652173913043,1.0
70,dok204.txt,WA,0.08571428571428572,1.0
71,dok295.txt,WA,0.08450704225352113,1.0
72,dok230.txt,WA,0.08333333333333333,1.0
73,dok162.txt,WA,0.0821917808219178,1.0
74,dok334.txt,WA,0.08108108108108109,1.0
75,dok193.txt,WA,0.08,1.0
76,dok183.txt,WA,0.07894736842105263,1.0
77,dok6.txt,WA,0.07792207792207792,1.0
78,dok77.txt,WA,0.07692307692307693,1.0
79,dok372.txt,WA,0.0759493670886076,1.0
80,dok224.txt,WA,0.075,1.0
81,dok196.txt,WA,0.07407407407407407,1.0
82,dok376.txt,WA,0.07317073170731707,1.0
83,dok207.txt,WA,0.07228915662650602,1.0
84,dok250.txt,WA,0.07142857142857142,1.0
85,dok280.txt,WA,0.07058823529411765,1.0
86,dok149.txt,WA,0.06976744186046512,1.0
87,dok231.txt,WA,0.06896551724137931,1.0
88,dok351.txt,WA,0.06818181818181818,1.0
89,dok150.txt,WA,0.06741573033707865,1.0
90,dok258.txt,WA,0.06666666666666667,1.0
91,dok394.txt,WA,0.06593406593406594,1.0
92,dok169.txt,WA,0.06521739130434782,1.0
93,dok166.txt,WA,0.06451612903225806,1.0
94,dok11.txt,WA,0.06382978723404255,1.0
95,dok82.txt,WA,0.06315789473684211,1.0
96,dok396.txt,WA,0.0625,1.0
97,dok117.txt,WA,0.061855670103092786,1.0
98,dok46.txt,WA,0.061224489795918366,1.0
99,dok390.txt,WA,0.06060606060606061,1.0
100,dok236.txt,WA,0.06,1.0
average precision,0.16426525172164522
