rank,document,verdict,Precision,Recall
1,dok221.txt,WA,0.0,0.0
2,dok251.txt,WA,0.0,0.0
3,dok342.txt,AC,0.3333333333333333,0.09090909090909091
4,dok197.txt,WA,0.25,0.09090909090909091
5,dok208.txt,AC,0.4,0.18181818181818182
6,dok343.txt,AC,0.5,0.2727272727272727
7,dok139.txt,WA,0.42857142857142855,0.2727272727272727
8,dok68.txt,WA,0.375,0.2727272727272727
9,dok103.txt,AC,0.4444444444444444,0.36363636363636365
10,dok32.txt,AC,0.5,0.45454545454545453
11,dok249.txt,AC,0.5454545454545454,0.5454545454545454
12,dok394.txt,AC,0.5833333333333334,0.6363636363636364
13,dok230.txt,WA,0.5384615384615384,0.6363636363636364
14,dok178.txt,WA,0.5,0.6363636363636364
15,dok317.txt,WA,0.4666666666666667,0.6363636363636364
16,dok378.txt,WA,0.4375,0.6363636363636364
17,dok142.txt,AC,0.47058823529411764,0.7272727272727273
18,dok71.txt,AC,0.5,0.8181818181818182
19,dok161.txt,WA,0.47368421052631576,0.8181818181818182
20,dok364.txt,AC,0.5,0.9090909090909091
21,dok228.txt,WA,0.47619047619047616,0.9090909090909091
22,dok147.txt,WA,0.45454545454545453,0.9090909090909091
23,dok153.txt,WA,0.43478260869565216,0.9090909090909091
24,dok289.txt,WA,0.4166666666666667,0.9090909090909091
25,dok318.txt,WA,0.4,0.9090909090909091
26,dok218.txt,WA,0.38461538461538464,0.9090909090909091
27,dok374.txt,WA,0.37037037037037035,0.9090909090909091
28,dok359.txt,WA,0.35714285714285715,0.9090909090909091
29,dok400.txt,AC,0.3793103448275862,1.0
30,dok253.txt,WA,0.36666666666666664,1.0
31,dok282.txt,WA,0.3548387096774194,1.0
32,dok217.txt,WA,0.34375,1.0
33,dok236.txt,WA,0.3333333333333333,1.0
34,dok369.txt,WA,0.3235294117647059,1.0
35,dok140.txt,WA,0.3142857142857143,1.0
36,dok69.txt,WA,0.3055555555555556,1.0
37,dok233.txt,WA,0.2972972972972973,1.0
38,dok340.txt,WA,0.2894736842105263,1.0
39,dok379.txt,WA,0.28205128205128205,1.0
40,dok141.txt,WA,0.275,1.0
41,dok70.txt,WA,0.2682926829268293,1.0
42,dok373.txt,WA,0.2619047619047619,1.0
43,dok187.txt,WA,0.2558139534883721,1.0
44,dok376.txt,WA,0.25,1.0
45,dok143.txt,WA,0.24444444444444444,1.0
46,dok283.txt,WA,0.2391304347826087,1.0
47,dok158.txt,WA,0.23404255319148937,1.0
48,dok286.txt,WA,0.22916666666666666,1.0
49,dok370.txt,WA,0.22448979591836735,1.0
50,dok273.txt,WA,0.22,1.0
51,dok315.txt,WA,0.21568627450980393,1.0
52,dok138.txt,WA,0.21153846153846154,1.0
53,dok67.txt,WA,0.20754716981132076,1.0
54,dok307.txt,WA,0.2037037037037037,1.0
55,dok350.txt,WA,0.2,1.0
56,dok366.txt,WA,0.19642857142857142,1.0
57,dok256.txt,WA,0.19298245614035087,1.0
58,dok257.txt,WA,0.1896551724137931,1.0
59,dok225.txt,WA,0.1864406779661017,1.0
60,dok175.txt,WA,0.18333333333333332,1.0
61,dok220.txt,WA,0.18032786885245902,1.0
62,dok150.txt,WA,0.1774193548387097,1.0
63,dok169.txt,WA,0.1746031746031746,1.0
64,dok172.txt,WA,0.171875,1.0
65,dok259.txt,WA,0.16923076923076924,1.0
66,dok365.txt,WA,0.16666666666666666,1.0
67,dok149.txt,WA,0.16417910447761194,1.0
68,dok313.txt,WA,0.16176470588235295,1.0
69,dok166.txt,WA,0.15942028985507245,1.0
70,dok232.txt,WA,0.15714285714285714,1.0
71,dok399.txt,WA,0.15492957746478872,1.0
72,dok100.txt,WA,0.1527777777777778,1.0
73,dok29.txt,WA,0.1506849315068493,1.0
74,dok222.txt,WA,0.14864864864864866,1.0
75,dok104.txt,WA,0.14666666666666667,1.0
76,dok33.txt,WA,0.14473684210526316,1.0
77,dok108.txt,WA,0.14285714285714285,1.0
78,dok37.txt,WA,0.14102564102564102,1.0
79,dok349.txt,WA,0.13924050632911392,1.0
80,dok137.txt,WA,0.1375,1.0
81,dok66.txt,WA,0.13580246913580246,1.0
82,dok393.txt,WA,0.13414634146341464,1.0
83,dok377.txt,WA,0.13253012048192772,1.0
84,dok382.txt,WA,0.13095238095238096,1.0
85,dok180.txt,WA,0.12941176470588237,1.0
86,dok268.txt,WA,0.12790697674418605,1.0
87,dok325.txt,WA,0.12643678160919541,1.0
88,dok114.txt,WA,0.125,1.0
89,dok43.txt,WA,0.12359550561797752,1.0
90,dok258.txt,WA,0.12222222222222222,1.0
91,dok192.txt,WA,0.12087912087912088,1.0
92,dok190.txt,WA,0.11956521739130435,1.0
93,dok301.txt,WA,0.11827956989247312,1.0
94,dok152.txt,WA,0.11702127659574468,1.0
95,dok26.txt,WA,0.11578947368421053,1.0
96,dok97.txt,WA,0.11458333333333333,1.0
97,dok200.txt,WA,0.1134020618556701,1.0
98,dok270.txt,WA,0.11224489795918367,1.0
99,dok191.txt,WA,0.1111111111111111,1.0
100,dok326.txt,WA,0.11,1.0
average precision,0.2540362281971835
