rank,document,verdict,Precision,Recall
1,dok101.txt,WA,0.0,0.0
2,dok30.txt,WA,0.0,0.0
3,dok385.txt,WA,0.0,0.0
4,dok165.txt,WA,0.0,0.0
5,dok17.txt,WA,0.0,0.0
6,dok88.txt,WA,0.0,0.0
7,dok269.txt,WA,0.0,0.0
8,dok24.txt,WA,0.0,0.0
9,dok95.txt,WA,0.0,0.0
10,dok202.txt,WA,0.0,0.0
11,dok266.txt,WA,0.0,0.0
12,dok16.txt,WA,0.0,0.0
13,dok87.txt,WA,0.0,0.0
14,dok365.txt,WA,0.0,0.0
15,dok402.txt,WA,0.0,0.0
16,dok159.txt,WA,0.0,0.0
17,dok319.txt,WA,0.0,0.0
18,dok189.txt,WA,0.0,0.0
19,dok188.txt,WA,0.0,0.0
20,dok203.txt,WA,0.0,0.0
21,dok115.txt,WA,0.0,0.0
22,dok44.txt,WA,0.0,0.0
23,dok111.txt,WA,0.0,0.0
24,dok40.txt,WA,0.0,0.0
25,dok258.txt,WA,0.0,0.0
26,dok177.txt,WA,0.0,0.0
27,dok390.txt,WA,0.0,0.0
28,dok253.txt,WA,0.0,0.0
29,dok272.txt,WA,0.0,0.0
30,dok192.txt,WA,0.0,0.0
31,dok11.txt,WA,0.0,0.0
32,dok82.txt,WA,0.0,0.0
33,dok267.txt,WA,0.0,0.0
34,dok308.txt,WA,0.0,0.0
35,dok380.txt,WA,0.0,0.0
36,dok364.txt,WA,0.0,0.0
37,dok213.txt,WA,0.0,0.0
38,dok133.txt,WA,0.0,0.0
39,dok62.txt,WA,0.0,0.0
40,dok400.txt,WA,0.0,0.0
41,dok248.txt,WA,0.0,0.0
42,dok149.txt,WA,0.0,0.0
43,dok2.txt,WA,0.0,0.0
44,dok73.txt,WA,0.0,0.0
45,dok243.txt,WA,0.0,0.0
46,dok196.txt,WA,0.0,0.0
47,dok274.txt,WA,0.0,0.0
48,dok353.txt,WA,0.0,0.0
49,dok275.txt,WA,0.0,0.0
50,dok351.txt,WA,0.0,0.0
51,dok255.txt,WA,0.0,0.0
52,dok18.txt,WA,0.0,0.0
53,dok89.txt,WA,0.0,0.0
54,dok127.txt,WA,0.0,0.0
55,dok56.txt,WA,0.0,0.0
56,dok15.txt,WA,0.0,0.0
57,dok86.txt,WA,0.0,0.0
58,dok335.txt,AC,0.017241379310344827,0.25
59,dok231.txt,WA,0.01694915254237288,0.25
60,dok27.txt,WA,0.016666666666666666,0.25
61,dok98.txt,WA,0.01639344262295082,0.25
62,dok354.txt,WA,0.016129032258064516,0.25
63,dok368.txt,WA,0.015873015873015872,0.25
64,dok130.txt,WA,0.015625,0.25
65,dok59.txt,WA,0.015384615384615385,0.25
66,dok282.txt,WA,0.015151515151515152,0.25
67,dok140.txt,AC,0.029850746268656716,0.5
68,dok69.txt,AC,0.04411764705882353,0.75
69,dok346.txt,WA,0.043478260869565216,0.75
70,dok401.txt,WA,0.04285714285714286,0.75
71,dok204.txt,WA,0.04225352112676056,0.75
72,dok394.txt,AC,0.05555555555555555,1.0
73,dok171.txt,WA,0.0547945205479452,1.0
74,dok211.txt,WA,0.05405405405405406,1.0
75,dok261.txt,WA,0.05333333333333334,1.0
76,dok183.txt,WA,0.05263157894736842,1.0
77,dok209.txt,WA,0.05194805194805195,1.0
78,dok199.txt,WA,0.05128205128205128,1.0
79,dok124.txt,WA,0.05063291139240506,1.0
80,dok53.txt,WA,0.05,1.0
81,dok176.txt,WA,0.04938271604938271,1.0
82,dok340.txt,WA,0.04878048780487805,1.0
83,dok198.txt,WA,0.04819277108433735,1.0
84,dok217.txt,WA,0.047619047619047616,1.0
85,dok200.txt,WA,0.047058823529411764,1.0
86,dok371.txt,WA,0.046511627906976744,1.0
87,dok193.txt,WA,0.04597701149425287,1.0
88,dok117.txt,WA,0.045454545454545456,1.0
89,dok46.txt,WA,0.0449438202247191,1.0
90,dok331.txt,WA,0.044444444444444446,1.0
91,dok28.txt,WA,0.04395604395604396,1.0
92,dok99.txt,WA,0.043478260869565216,1.0
93,dok190.txt,WA,0.043010752688172046,1.0
94,dok227.txt,WA,0.0425531914893617,1.0
95,dok19.txt,WA,0.042105263157894736,1.0
96,dok90.txt,WA,0.041666666666666664,1.0
97,dok375.txt,WA,0.041237113402061855,1.0
98,dok369.txt,WA,0.04081632653061224,1.0
99,dok295.txt,WA,0.04040404040404041,1.0
100,dok100.txt,WA,0.04,1.0
average precision,0.017097961498276755
