rank,document,verdict,Precision,Recall
1,dok402.txt,WA,0.0,0.0
2,dok394.txt,AC,0.5,0.2
3,dok15.txt,WA,0.3333333333333333,0.2
4,dok86.txt,WA,0.25,0.2
5,dok385.txt,WA,0.2,0.2
6,dok197.txt,WA,0.16666666666666666,0.2
7,dok142.txt,AC,0.2857142857142857,0.4
8,dok71.txt,AC,0.375,0.6
9,dok224.txt,WA,0.3333333333333333,0.6
10,dok399.txt,WA,0.3,0.6
11,dok145.txt,WA,0.2727272727272727,0.6
12,dok261.txt,WA,0.25,0.6
13,dok390.txt,WA,0.23076923076923078,0.6
14,dok209.txt,WA,0.21428571428571427,0.6
15,dok25.txt,WA,0.2,0.6
16,dok96.txt,WA,0.1875,0.6
17,dok157.txt,WA,0.17647058823529413,0.6
18,dok3.txt,WA,0.16666666666666666,0.6
19,dok74.txt,WA,0.15789473684210525,0.6
20,dok140.txt,WA,0.15,0.6
21,dok69.txt,WA,0.14285714285714285,0.6
22,dok179.txt,WA,0.13636363636363635,0.6
23,dok229.txt,WA,0.13043478260869565,0.6
24,dok348.txt,WA,0.125,0.6
25,dok343.txt,WA,0.12,0.6
26,dok111.txt,WA,0.11538461538461539,0.6
27,dok40.txt,WA,0.1111111111111111,0.6
28,dok217.txt,WA,0.10714285714285714,0.6
29,dok328.txt,WA,0.10344827586206896,0.6
30,dok144.txt,WA,0.1,0.6
31,dok220.txt,WA,0.0967741935483871,0.6
32,dok247.txt,WA,0.09375,0.6
33,dok201.txt,WA,0.09090909090909091,0.6
34,dok139.txt,WA,0.08823529411764706,0.6
35,dok68.txt,WA,0.08571428571428572,0.6
36,dok234.txt,WA,0.08333333333333333,0.6
37,dok1.txt,WA,0.08108108108108109,0.6
38,dok72.txt,WA,0.07894736842105263,0.6
39,dok315.txt,AC,0.10256410256410256,0.8
40,dok296.txt,WA,0.1,0.8
41,dok273.txt,AC,0.12195121951219512,1.0
42,dok104.txt,WA,0.11904761904761904,1.0
43,dok33.txt,WA,0.11627906976744186,1.0
44,dok128.txt,WA,0.11363636363636363,1.0
45,dok281.txt,WA,0.1111111111111111,1.0
46,dok327.txt,WA,0.10869565217391304,1.0
47,dok103.txt,WA,0.10638297872340426,1.0
48,dok32.txt,WA,0.10416666666666667,1.0
49,dok271.txt,WA,0.10204081632653061,1.0
50,dok243.txt,WA,0.1,1.0
average precision,0.15893448993116507
