rank,document,verdict,Precision,Recall
1,dok331.txt,WA,0.0,0.0
2,dok253.txt,WA,0.0,0.0
3,dok24.txt,WA,0.0,0.0
4,dok95.txt,WA,0.0,0.0
5,dok385.txt,WA,0.0,0.0
6,dok394.txt,WA,0.0,0.0
7,dok113.txt,WA,0.0,0.0
8,dok42.txt,WA,0.0,0.0
9,dok319.txt,WA,0.0,0.0
10,dok15.txt,WA,0.0,0.0
11,dok86.txt,WA,0.0,0.0
12,dok142.txt,WA,0.0,0.0
13,dok71.txt,WA,0.0,0.0
14,dok189.txt,WA,0.0,0.0
15,dok402.txt,WA,0.0,0.0
16,dok342.txt,WA,0.0,0.0
17,dok248.txt,WA,0.0,0.0
18,dok25.txt,WA,0.0,0.0
19,dok96.txt,WA,0.0,0.0
20,dok390.txt,WA,0.0,0.0
21,dok157.txt,WA,0.0,0.0
22,dok111.txt,WA,0.0,0.0
23,dok40.txt,WA,0.0,0.0
24,dok261.txt,WA,0.0,0.0
25,dok343.txt,WA,0.0,0.0
26,dok269.txt,WA,0.0,0.0
27,dok365.txt,WA,0.0,0.0
28,dok400.txt,WA,0.0,0.0
29,dok393.txt,WA,0.0,0.0
30,dok275.txt,WA,0.0,0.0
31,dok21.txt,WA,0.0,0.0
32,dok92.txt,WA,0.0,0.0
33,dok150.txt,WA,0.0,0.0
34,dok274.txt,WA,0.0,0.0
35,dok290.txt,WA,0.0,0.0
36,dok386.txt,WA,0.0,0.0
37,dok159.txt,WA,0.0,0.0
38,dok6.txt,WA,0.0,0.0
39,dok77.txt,WA,0.0,0.0
40,dok270.txt,WA,0.0,0.0
41,dok236.txt,WA,0.0,0.0
42,dok214.txt,WA,0.0,0.0
43,dok384.txt,WA,0.0,0.0
44,dok18.txt,WA,0.0,0.0
45,dok89.txt,WA,0.0,0.0
46,dok209.txt,WA,0.0,0.0
47,dok115.txt,WA,0.0,0.0
48,dok44.txt,WA,0.0,0.0
49,dok353.txt,WA,0.0,0.0
50,dok27.txt,WA,0.0,0.0
51,dok98.txt,WA,0.0,0.0
52,dok26.txt,WA,0.0,0.0
53,dok97.txt,WA,0.0,0.0
54,dok7.txt,AC,0.018518518518518517,0.25
55,dok78.txt,AC,0.03636363636363636,0.5
56,dok1.txt,WA,0.03571428571428571,0.5
57,dok72.txt,WA,0.03508771929824561,0.5
58,dok133.txt,WA,0.034482758620689655,0.5
59,dok62.txt,WA,0.03389830508474576,0.5
60,dok308.txt,WA,0.03333333333333333,0.5
61,dok401.txt,WA,0.03278688524590164,0.5
62,dok2.txt,WA,0.03225806451612903,0.5
63,dok73.txt,WA,0.031746031746031744,0.5
64,dok272.txt,WA,0.03125,0.5
65,dok28.txt,WA,0.03076923076923077,0.5
66,dok99.txt,WA,0.030303030303030304,0.5
67,dok267.txt,WA,0.029850746268656716,0.5
68,dok260.txt,WA,0.029411764705882353,0.5
69,dok325.txt,WA,0.028985507246376812,0.5
70,dok268.txt,WA,0.02857142857142857,0.5
71,dok312.txt,WA,0.028169014084507043,0.5
72,dok364.txt,WA,0.027777777777777776,0.5
73,dok165.txt,WA,0.0273972602739726,0.5
74,dok17.txt,WA,0.02702702702702703,0.5
75,dok88.txt,WA,0.02666666666666667,0.5
76,dok245.txt,WA,0.02631578947368421,0.5
77,dok243.txt,WA,0.025974025974025976,0.5
78,dok203.txt,WA,0.02564102564102564,0.5
79,dok188.txt,WA,0.02531645569620253,0.5
80,dok106.txt,WA,0.025,0.5
81,dok35.txt,WA,0.024691358024691357,0.5
82,dok126.txt,WA,0.024390243902439025,0.5
83,dok55.txt,WA,0.024096385542168676,0.5
84,dok309.txt,WA,0.023809523809523808,0.5
85,dok79.txt,WA,0.023529411764705882,0.5
86,dok8.txt,WA,0.023255813953488372,0.5
87,dok13.txt,WA,0.022988505747126436,0.5
88,dok84.txt,WA,0.022727272727272728,0.5
89,dok129.txt,AC,0.033707865168539325,0.75
90,dok58.txt,AC,0.044444444444444446,1.0
91,dok16.txt,WA,0.04395604395604396,1.0
92,dok87.txt,WA,0.043478260869565216,1.0
93,dok264.txt,WA,0.043010752688172046,1.0
94,dok388.txt,WA,0.0425531914893617,1.0
95,dok266.txt,WA,0.042105263157894736,1.0
96,dok124.txt,WA,0.041666666666666664,1.0
97,dok53.txt,WA,0.041237113402061855,1.0
98,dok250.txt,WA,0.04081632653061224,1.0
99,dok396.txt,WA,0.04040404040404041,1.0
100,dok183.txt,WA,0.04,1.0
average precision,0.014854847731698316
