rank,document,verdict,Precision,Recall
1,dok253.txt,WA,0.0,0.0
2,dok24.txt,WA,0.0,0.0
3,dok95.txt,WA,0.0,0.0
4,dok385.txt,WA,0.0,0.0
5,dok394.txt,WA,0.0,0.0
6,dok390.txt,WA,0.0,0.0
7,dok402.txt,WA,0.0,0.0
8,dok319.txt,WA,0.0,0.0
9,dok189.txt,WA,0.0,0.0
10,dok142.txt,WA,0.0,0.0
11,dok71.txt,WA,0.0,0.0
12,dok376.txt,WA,0.0,0.0
13,dok117.txt,WA,0.0,0.0
14,dok46.txt,WA,0.0,0.0
15,dok248.txt,WA,0.0,0.0
16,dok172.txt,WA,0.0,0.0
17,dok298.txt,WA,0.0,0.0
18,dok111.txt,WA,0.0,0.0
19,dok40.txt,WA,0.0,0.0
20,dok393.txt,WA,0.0,0.0
21,dok400.txt,WA,0.0,0.0
22,dok149.txt,AC,0.045454545454545456,0.16666666666666666
23,dok373.txt,WA,0.043478260869565216,0.16666666666666666
24,dok11.txt,WA,0.041666666666666664,0.16666666666666666
25,dok82.txt,WA,0.04,0.16666666666666666
26,dok200.txt,WA,0.038461538461538464,0.16666666666666666
27,dok378.txt,WA,0.037037037037037035,0.16666666666666666
28,dok150.txt,WA,0.03571428571428571,0.16666666666666666
29,dok365.txt,WA,0.034482758620689655,0.16666666666666666
30,dok228.txt,WA,0.03333333333333333,0.16666666666666666
31,dok169.txt,WA,0.03225806451612903,0.16666666666666666
32,dok194.txt,WA,0.03125,0.16666666666666666
33,dok399.txt,WA,0.030303030303030304,0.16666666666666666
34,dok197.txt,WA,0.029411764705882353,0.16666666666666666
35,dok340.txt,WA,0.02857142857142857,0.16666666666666666
36,dok148.txt,WA,0.027777777777777776,0.16666666666666666
37,dok285.txt,WA,0.02702702702702703,0.16666666666666666
38,dok176.txt,WA,0.02631578947368421,0.16666666666666666
39,dok392.txt,WA,0.02564102564102564,0.16666666666666666
40,dok115.txt,WA,0.025,0.16666666666666666
41,dok44.txt,WA,0.024390243902439025,0.16666666666666666
42,dok234.txt,WA,0.023809523809523808,0.16666666666666666
43,dok275.txt,WA,0.023255813953488372,0.16666666666666666
44,dok338.txt,WA,0.022727272727272728,0.16666666666666666
45,dok123.txt,WA,0.022222222222222223,0.16666666666666666
46,dok52.txt,WA,0.021739130434782608,0.16666666666666666
47,dok360.txt,WA,0.02127659574468085,0.16666666666666666
48,dok227.txt,WA,0.020833333333333332,0.16666666666666666
49,dok270.txt,WA,0.02040816326530612,0.16666666666666666
50,dok187.txt,WA,0.02,0.16666666666666666
51,dok214.txt,WA,0.0196078431372549,0.16666666666666666
52,dok239.txt,WA,0.019230769230769232,0.16666666666666666
53,dok353.txt,WA,0.018867924528301886,0.16666666666666666
54,dok205.txt,WA,0.018518518518518517,0.16666666666666666
55,dok351.txt,WA,0.01818181818181818,0.16666666666666666
56,dok310.txt,WA,0.017857142857142856,0.16666666666666666
57,dok220.txt,WA,0.017543859649122806,0.16666666666666666
58,dok151.txt,WA,0.017241379310344827,0.16666666666666666
59,dok166.txt,WA,0.01694915254237288,0.16666666666666666
60,dok216.txt,AC,0.03333333333333333,0.3333333333333333
61,dok103.txt,WA,0.03278688524590164,0.3333333333333333
62,dok32.txt,WA,0.03225806451612903,0.3333333333333333
63,dok377.txt,WA,0.031746031746031744,0.3333333333333333
64,dok374.txt,WA,0.03125,0.3333333333333333
65,dok312.txt,WA,0.03076923076923077,0.3333333333333333
66,dok347.txt,AC,0.045454545454545456,0.5
67,dok237.txt,WA,0.04477611940298507,0.5
68,dok217.txt,WA,0.04411764705882353,0.5
69,dok219.txt,WA,0.043478260869565216,0.5
70,dok245.txt,WA,0.04285714285714286,0.5
71,dok379.txt,WA,0.04225352112676056,0.5
72,dok249.txt,WA,0.041666666666666664,0.5
73,dok401.txt,WA,0.0410958904109589,0.5
74,dok231.txt,WA,0.04054054054054054,0.5
75,dok327.txt,WA,0.04,0.5
76,dok133.txt,WA,0.039473684210526314,0.5
77,dok62.txt,WA,0.03896103896103896,0.5
78,dok301.txt,WA,0.038461538461538464,0.5
79,dok107.txt,WA,0.0379746835443038,0.5
80,dok190.txt,AC,0.05,0.6666666666666666
81,dok233.txt,WA,0.04938271604938271,0.6666666666666666
82,dok146.txt,WA,0.04878048780487805,0.6666666666666666
83,dok271.txt,WA,0.04819277108433735,0.6666666666666666
84,dok188.txt,WA,0.047619047619047616,0.6666666666666666
85,dok203.txt,WA,0.047058823529411764,0.6666666666666666
86,dok375.txt,WA,0.046511627906976744,0.6666666666666666
87,dok336.txt,AC,0.05747126436781609,0.8333333333333334
88,dok193.txt,WA,0.056818181818181816,0.8333333333333334
89,dok358.txt,WA,0.056179775280898875,0.8333333333333334
90,dok293.txt,AC,0.06666666666666667,1.0
91,dok314.txt,WA,0.06593406593406594,1.0
92,dok337.txt,WA,0.06521739130434782,1.0
93,dok181.txt,WA,0.06451612903225806,1.0
94,dok129.txt,WA,0.06382978723404255,1.0
95,dok58.txt,WA,0.06315789473684211,1.0
96,dok282.txt,WA,0.0625,1.0
97,dok250.txt,WA,0.061855670103092786,1.0
98,dok266.txt,WA,0.061224489795918366,1.0
99,dok16.txt,WA,0.06060606060606061,1.0
100,dok87.txt,WA,0.06,1.0
average precision,0.029946227175725905
