rank,document,verdict,Precision,Recall
1,dok253.txt,WA,0.0,0.0
2,dok101.txt,WA,0.0,0.0
3,dok30.txt,WA,0.0,0.0
4,dok394.txt,WA,0.0,0.0
5,dok24.txt,WA,0.0,0.0
6,dok95.txt,WA,0.0,0.0
7,dok331.txt,WA,0.0,0.0
8,dok117.txt,WA,0.0,0.0
9,dok46.txt,WA,0.0,0.0
10,dok385.txt,WA,0.0,0.0
11,dok319.txt,WA,0.0,0.0
12,dok402.txt,WA,0.0,0.0
13,dok189.txt,WA,0.0,0.0
14,dok15.txt,WA,0.0,0.0
15,dok86.txt,WA,0.0,0.0
16,dok248.txt,WA,0.0,0.0
17,dok113.txt,WA,0.0,0.0
18,dok42.txt,WA,0.0,0.0
19,dok376.txt,WA,0.0,0.0
20,dok145.txt,AC,0.05,0.14285714285714285
21,dok400.txt,WA,0.047619047619047616,0.14285714285714285
22,dok365.txt,WA,0.045454545454545456,0.14285714285714285
23,dok202.txt,WA,0.043478260869565216,0.14285714285714285
24,dok111.txt,WA,0.041666666666666664,0.14285714285714285
25,dok40.txt,WA,0.04,0.14285714285714285
26,dok275.txt,WA,0.038461538461538464,0.14285714285714285
27,dok269.txt,WA,0.037037037037037035,0.14285714285714285
28,dok368.txt,WA,0.03571428571428571,0.14285714285714285
29,dok161.txt,WA,0.034482758620689655,0.14285714285714285
30,dok261.txt,WA,0.03333333333333333,0.14285714285714285
31,dok224.txt,WA,0.03225806451612903,0.14285714285714285
32,dok149.txt,WA,0.03125,0.14285714285714285
33,dok390.txt,WA,0.030303030303030304,0.14285714285714285
34,dok276.txt,AC,0.058823529411764705,0.2857142857142857
35,dok227.txt,WA,0.05714285714285714,0.2857142857142857
36,dok351.txt,WA,0.05555555555555555,0.2857142857142857
37,dok144.txt,AC,0.08108108108108109,0.42857142857142855
38,dok334.txt,WA,0.07894736842105263,0.42857142857142855
39,dok217.txt,WA,0.07692307692307693,0.42857142857142855
40,dok6.txt,WA,0.075,0.42857142857142855
41,dok77.txt,WA,0.07317073170731707,0.42857142857142855
42,dok209.txt,WA,0.07142857142857142,0.42857142857142855
43,dok231.txt,WA,0.06976744186046512,0.42857142857142855
44,dok272.txt,WA,0.06818181818181818,0.42857142857142855
45,dok150.txt,WA,0.06666666666666667,0.42857142857142855
46,dok281.txt,AC,0.08695652173913043,0.5714285714285714
47,dok169.txt,WA,0.0851063829787234,0.5714285714285714
48,dok307.txt,WA,0.08333333333333333,0.5714285714285714
49,dok176.txt,WA,0.08163265306122448,0.5714285714285714
50,dok353.txt,WA,0.08,0.5714285714285714
51,dok188.txt,WA,0.0784313725490196,0.5714285714285714
52,dok401.txt,WA,0.07692307692307693,0.5714285714285714
53,dok230.txt,AC,0.09433962264150944,0.7142857142857143
54,dok364.txt,WA,0.09259259259259259,0.7142857142857143
55,dok296.txt,AC,0.10909090909090909,0.8571428571428571
56,dok131.txt,WA,0.10714285714285714,0.8571428571428571
57,dok60.txt,WA,0.10526315789473684,0.8571428571428571
58,dok279.txt,WA,0.10344827586206896,0.8571428571428571
59,dok115.txt,WA,0.1016949152542373,0.8571428571428571
60,dok44.txt,WA,0.1,0.8571428571428571
61,dok11.txt,WA,0.09836065573770492,0.8571428571428571
62,dok82.txt,WA,0.0967741935483871,0.8571428571428571
63,dok196.txt,WA,0.09523809523809523,0.8571428571428571
64,dok398.txt,WA,0.09375,0.8571428571428571
65,dok362.txt,AC,0.1076923076923077,1.0
66,dok280.txt,WA,0.10606060606060606,1.0
67,dok126.txt,WA,0.1044776119402985,1.0
68,dok55.txt,WA,0.10294117647058823,1.0
69,dok374.txt,WA,0.10144927536231885,1.0
70,dok204.txt,WA,0.1,1.0
71,dok193.txt,WA,0.09859154929577464,1.0
72,dok162.txt,WA,0.09722222222222222,1.0
73,dok177.txt,WA,0.0958904109589041,1.0
74,dok340.txt,WA,0.0945945945945946,1.0
75,dok129.txt,WA,0.09333333333333334,1.0
76,dok58.txt,WA,0.09210526315789473,1.0
77,dok392.txt,WA,0.09090909090909091,1.0
78,dok203.txt,WA,0.08974358974358974,1.0
79,dok258.txt,WA,0.08860759493670886,1.0
80,dok207.txt,WA,0.0875,1.0
81,dok124.txt,WA,0.08641975308641975,1.0
82,dok53.txt,WA,0.08536585365853659,1.0
83,dok240.txt,WA,0.08433734939759036,1.0
84,dok243.txt,WA,0.08333333333333333,1.0
85,dok371.txt,WA,0.08235294117647059,1.0
86,dok295.txt,WA,0.08139534883720931,1.0
87,dok165.txt,WA,0.08045977011494253,1.0
88,dok17.txt,WA,0.07954545454545454,1.0
89,dok88.txt,WA,0.07865168539325842,1.0
90,dok159.txt,WA,0.07777777777777778,1.0
91,dok166.txt,WA,0.07692307692307693,1.0
92,dok206.txt,WA,0.07608695652173914,1.0
93,dok396.txt,WA,0.07526881720430108,1.0
94,dok266.txt,WA,0.07446808510638298,1.0
95,dok16.txt,WA,0.07368421052631578,1.0
96,dok87.txt,WA,0.07291666666666667,1.0
97,dok250.txt,WA,0.07216494845360824,1.0
98,dok252.txt,WA,0.07142857142857142,1.0
99,dok183.txt,WA,0.0707070707070707,1.0
average precision,0.062406385657582414
