rank,document,verdict,Precision,Recall
1,dok253.txt,WA,0.0,0.0
2,dok331.txt,WA,0.0,0.0
3,dok24.txt,WA,0.0,0.0
4,dok95.txt,WA,0.0,0.0
5,dok101.txt,WA,0.0,0.0
6,dok30.txt,WA,0.0,0.0
7,dok385.txt,WA,0.0,0.0
8,dok113.txt,WA,0.0,0.0
9,dok42.txt,WA,0.0,0.0
10,dok319.txt,WA,0.0,0.0
11,dok189.txt,WA,0.0,0.0
12,dok402.txt,WA,0.0,0.0
13,dok248.txt,WA,0.0,0.0
14,dok111.txt,WA,0.0,0.0
15,dok40.txt,WA,0.0,0.0
16,dok275.txt,WA,0.0,0.0
17,dok343.txt,WA,0.0,0.0
18,dok376.txt,WA,0.0,0.0
19,dok365.txt,WA,0.0,0.0
20,dok334.txt,WA,0.0,0.0
21,dok269.txt,WA,0.0,0.0
22,dok224.txt,WA,0.0,0.0
23,dok261.txt,WA,0.0,0.0
24,dok230.txt,WA,0.0,0.0
25,dok227.txt,WA,0.0,0.0
26,dok11.txt,WA,0.0,0.0
27,dok82.txt,WA,0.0,0.0
28,dok381.txt,WA,0.0,0.0
29,dok6.txt,WA,0.0,0.0
30,dok77.txt,WA,0.0,0.0
31,dok380.txt,WA,0.0,0.0
32,dok326.txt,WA,0.0,0.0
33,dok202.txt,WA,0.0,0.0
34,dok115.txt,WA,0.0,0.0
35,dok44.txt,WA,0.0,0.0
36,dok320.txt,WA,0.0,0.0
37,dok321.txt,WA,0.0,0.0
38,dok209.txt,WA,0.0,0.0
39,dok191.txt,WA,0.0,0.0
40,dok386.txt,WA,0.0,0.0
41,dok10.txt,WA,0.0,0.0
42,dok81.txt,WA,0.0,0.0
43,dok194.txt,WA,0.0,0.0
44,dok270.txt,WA,0.0,0.0
45,dok392.txt,WA,0.0,0.0
46,dok353.txt,WA,0.0,0.0
47,dok162.txt,WA,0.0,0.0
48,dok176.txt,WA,0.0,0.0
49,dok226.txt,WA,0.0,0.0
50,dok18.txt,WA,0.0,0.0
51,dok89.txt,WA,0.0,0.0
52,dok28.txt,AC,0.019230769230769232,0.25
53,dok99.txt,AC,0.03773584905660377,0.5
54,dok217.txt,WA,0.037037037037037035,0.5
55,dok279.txt,WA,0.03636363636363636,0.5
56,dok7.txt,WA,0.03571428571428571,0.5
57,dok78.txt,WA,0.03508771929824561,0.5
58,dok401.txt,WA,0.034482758620689655,0.5
59,dok196.txt,WA,0.03389830508474576,0.5
60,dok177.txt,WA,0.03333333333333333,0.5
61,dok133.txt,WA,0.03278688524590164,0.5
62,dok62.txt,WA,0.03225806451612903,0.5
63,dok187.txt,WA,0.031746031746031744,0.5
64,dok126.txt,WA,0.03125,0.5
65,dok55.txt,WA,0.03076923076923077,0.5
66,dok131.txt,WA,0.030303030303030304,0.5
67,dok60.txt,WA,0.029850746268656716,0.5
68,dok136.txt,AC,0.04411764705882353,0.75
69,dok65.txt,AC,0.057971014492753624,1.0
70,dok272.txt,WA,0.05714285714285714,1.0
71,dok188.txt,WA,0.056338028169014086,1.0
72,dok374.txt,WA,0.05555555555555555,1.0
73,dok371.txt,WA,0.0547945205479452,1.0
74,dok340.txt,WA,0.05405405405405406,1.0
75,dok159.txt,WA,0.05333333333333334,1.0
76,dok129.txt,WA,0.05263157894736842,1.0
77,dok58.txt,WA,0.05194805194805195,1.0
78,dok359.txt,WA,0.05128205128205128,1.0
79,dok203.txt,WA,0.05063291139240506,1.0
80,dok204.txt,WA,0.05,1.0
81,dok243.txt,WA,0.04938271604938271,1.0
82,dok207.txt,WA,0.04878048780487805,1.0
83,dok240.txt,WA,0.04819277108433735,1.0
84,dok124.txt,WA,0.047619047619047616,1.0
85,dok53.txt,WA,0.047058823529411764,1.0
86,dok193.txt,WA,0.046511627906976744,1.0
87,dok165.txt,WA,0.04597701149425287,1.0
88,dok17.txt,WA,0.045454545454545456,1.0
89,dok88.txt,WA,0.0449438202247191,1.0
90,dok206.txt,WA,0.044444444444444446,1.0
91,dok266.txt,WA,0.04395604395604396,1.0
92,dok16.txt,WA,0.043478260869565216,1.0
93,dok87.txt,WA,0.043010752688172046,1.0
94,dok295.txt,WA,0.0425531914893617,1.0
95,dok132.txt,WA,0.042105263157894736,1.0
96,dok61.txt,WA,0.041666666666666664,1.0
97,dok183.txt,WA,0.041237113402061855,1.0
98,dok250.txt,WA,0.04081632653061224,1.0
99,dok252.txt,WA,0.04040404040404041,1.0
100,dok180.txt,WA,0.04,1.0
average precision,0.02099242241288955
