rank,document,verdict,Precision,Recall
1,dok24.txt,WA,0.0,0.0
2,dok95.txt,WA,0.0,0.0
3,dok385.txt,WA,0.0,0.0
4,dok253.txt,WA,0.0,0.0
5,dok394.txt,WA,0.0,0.0
6,dok142.txt,WA,0.0,0.0
7,dok71.txt,WA,0.0,0.0
8,dok25.txt,WA,0.0,0.0
9,dok96.txt,WA,0.0,0.0
10,dok145.txt,WA,0.0,0.0
11,dok157.txt,WA,0.0,0.0
12,dok117.txt,WA,0.0,0.0
13,dok46.txt,WA,0.0,0.0
14,dok402.txt,WA,0.0,0.0
15,dok299.txt,WA,0.0,0.0
16,dok248.txt,WA,0.0,0.0
17,dok372.txt,WA,0.0,0.0
18,dok261.txt,WA,0.0,0.0
19,dok390.txt,WA,0.0,0.0
20,dok111.txt,WA,0.0,0.0
21,dok40.txt,WA,0.0,0.0
22,dok276.txt,WA,0.0,0.0
23,dok269.txt,WA,0.0,0.0
24,dok343.txt,WA,0.0,0.0
25,dok393.txt,WA,0.0,0.0
26,dok11.txt,WA,0.0,0.0
27,dok82.txt,WA,0.0,0.0
28,dok200.txt,WA,0.0,0.0
29,dok365.txt,WA,0.0,0.0
30,dok400.txt,AC,0.03333333333333333,0.25
31,dok197.txt,WA,0.03225806451612903,0.25
32,dok274.txt,WA,0.03125,0.25
33,dok225.txt,WA,0.030303030303030304,0.25
34,dok18.txt,WA,0.029411764705882353,0.25
35,dok89.txt,WA,0.02857142857142857,0.25
36,dok399.txt,WA,0.027777777777777776,0.25
37,dok224.txt,WA,0.02702702702702703,0.25
38,dok373.txt,WA,0.02631578947368421,0.25
39,dok210.txt,WA,0.02564102564102564,0.25
40,dok1.txt,WA,0.025,0.25
41,dok72.txt,WA,0.024390243902439025,0.25
42,dok149.txt,WA,0.023809523809523808,0.25
43,dok228.txt,WA,0.023255813953488372,0.25
44,dok108.txt,WA,0.022727272727272728,0.25
45,dok37.txt,WA,0.022222222222222223,0.25
46,dok125.txt,WA,0.021739130434782608,0.25
47,dok54.txt,WA,0.02127659574468085,0.25
48,dok366.txt,WA,0.020833333333333332,0.25
49,dok217.txt,WA,0.02040816326530612,0.25
50,dok325.txt,WA,0.02,0.25
51,dok209.txt,WA,0.0196078431372549,0.25
52,dok268.txt,WA,0.019230769230769232,0.25
53,dok401.txt,WA,0.018867924528301886,0.25
54,dok213.txt,AC,0.037037037037037035,0.5
55,dok260.txt,WA,0.03636363636363636,0.5
56,dok256.txt,WA,0.03571428571428571,0.5
57,dok110.txt,WA,0.03508771929824561,0.5
58,dok39.txt,WA,0.034482758620689655,0.5
59,dok186.txt,WA,0.03389830508474576,0.5
60,dok272.txt,WA,0.03333333333333333,0.5
61,dok369.txt,WA,0.03278688524590164,0.5
62,dok249.txt,WA,0.03225806451612903,0.5
63,dok364.txt,AC,0.047619047619047616,0.75
64,dok247.txt,WA,0.046875,0.75
65,dok243.txt,WA,0.046153846153846156,0.75
66,dok205.txt,WA,0.045454545454545456,0.75
67,dok288.txt,WA,0.04477611940298507,0.75
68,dok379.txt,WA,0.04411764705882353,0.75
69,dok79.txt,WA,0.043478260869565216,0.75
70,dok8.txt,WA,0.04285714285714286,0.75
71,dok347.txt,WA,0.04225352112676056,0.75
72,dok291.txt,WA,0.041666666666666664,0.75
73,dok104.txt,WA,0.0410958904109589,0.75
74,dok33.txt,WA,0.04054054054054054,0.75
75,dok128.txt,WA,0.04,0.75
76,dok57.txt,WA,0.039473684210526314,0.75
77,dok296.txt,WA,0.03896103896103896,0.75
78,dok168.txt,WA,0.038461538461538464,0.75
79,dok216.txt,WA,0.0379746835443038,0.75
80,dok129.txt,WA,0.0375,0.75
81,dok58.txt,WA,0.037037037037037035,0.75
82,dok300.txt,WA,0.036585365853658534,0.75
83,dok309.txt,WA,0.03614457831325301,0.75
84,dok166.txt,WA,0.03571428571428571,0.75
85,dok192.txt,WA,0.03529411764705882,0.75
86,dok264.txt,WA,0.03488372093023256,0.75
87,dok251.txt,WA,0.034482758620689655,0.75
88,dok255.txt,WA,0.03409090909090909,0.75
89,dok164.txt,AC,0.0449438202247191,1.0
90,dok287.txt,WA,0.044444444444444446,1.0
91,dok301.txt,WA,0.04395604395604396,1.0
92,dok124.txt,WA,0.043478260869565216,1.0
93,dok53.txt,WA,0.043010752688172046,1.0
94,dok180.txt,WA,0.0425531914893617,1.0
95,dok190.txt,WA,0.042105263157894736,1.0
96,dok183.txt,WA,0.041666666666666664,1.0
97,dok252.txt,WA,0.041237113402061855,1.0
98,dok127.txt,WA,0.04081632653061224,1.0
99,dok56.txt,WA,0.04040404040404041,1.0
average precision,0.024427555285168632
