rank,document,verdict,Precision,Recall
1,dok315.txt,AC,1.0,0.16666666666666666
2,dok273.txt,AC,1.0,0.3333333333333333
3,dok139.txt,AC,1.0,0.5
4,dok68.txt,WA,0.75,0.5
5,dok142.txt,AC,0.8,0.6666666666666666
6,dok71.txt,AC,0.8333333333333334,0.8333333333333334
7,dok394.txt,AC,0.8571428571428571,1.0
8,dok343.txt,WA,0.75,1.0
9,dok271.txt,WA,0.6666666666666666,1.0
10,dok327.txt,WA,0.6,1.0
11,dok103.txt,WA,0.5454545454545454,1.0
12,dok32.txt,WA,0.5,1.0
13,dok140.txt,WA,0.46153846153846156,1.0
14,dok69.txt,WA,0.42857142857142855,1.0
15,dok385.txt,WA,0.4,1.0
16,dok376.txt,WA,0.375,1.0
17,dok258.txt,WA,0.35294117647058826,1.0
18,dok166.txt,WA,0.3333333333333333,1.0
19,dok384.txt,WA,0.3157894736842105,1.0
20,dok292.txt,WA,0.3,1.0
21,dok377.txt,WA,0.2857142857142857,1.0
22,dok15.txt,WA,0.2727272727272727,1.0
23,dok86.txt,WA,0.2608695652173913,1.0
24,dok224.txt,WA,0.25,1.0
25,dok397.txt,WA,0.24,1.0
26,dok229.txt,WA,0.23076923076923078,1.0
27,dok348.txt,WA,0.2222222222222222,1.0
28,dok370.txt,WA,0.21428571428571427,1.0
29,dok201.txt,WA,0.20689655172413793,1.0
30,dok1.txt,WA,0.2,1.0
31,dok72.txt,WA,0.1935483870967742,1.0
32,dok204.txt,WA,0.1875,1.0
33,dok261.txt,WA,0.18181818181818182,1.0
34,dok402.txt,WA,0.17647058823529413,1.0
35,dok16.txt,WA,0.17142857142857143,1.0
36,dok266.txt,WA,0.16666666666666666,1.0
37,dok381.txt,WA,0.16216216216216217,1.0
38,dok87.txt,WA,0.15789473684210525,1.0
39,dok131.txt,WA,0.15384615384615385,1.0
40,dok28.txt,WA,0.15,1.0
41,dok60.txt,WA,0.14634146341463414,1.0
42,dok99.txt,WA,0.14285714285714285,1.0
43,dok5.txt,WA,0.13953488372093023,1.0
44,dok76.txt,WA,0.13636363636363635,1.0
45,dok330.txt,WA,0.13333333333333333,1.0
46,dok226.txt,WA,0.13043478260869565,1.0
47,dok267.txt,WA,0.1276595744680851,1.0
48,dok308.txt,WA,0.125,1.0
49,dok320.txt,WA,0.12244897959183673,1.0
50,dok321.txt,WA,0.12,1.0
average precision,0.35357130726619757
