rank,document,verdict,Precision,Recall
1,dok196.txt,WA,0.0,0.0
2,dok307.txt,AC,0.5,0.14285714285714285
3,dok367.txt,AC,0.6666666666666666,0.2857142857142857
4,dok159.txt,WA,0.5,0.2857142857142857
5,dok202.txt,WA,0.4,0.2857142857142857
6,dok143.txt,AC,0.5,0.42857142857142855
7,dok272.txt,WA,0.42857142857142855,0.42857142857142855
8,dok370.txt,WA,0.375,0.42857142857142855
9,dok381.txt,WA,0.3333333333333333,0.42857142857142855
10,dok158.txt,AC,0.4,0.5714285714285714
11,dok286.txt,AC,0.45454545454545453,0.7142857142857143
12,dok188.txt,WA,0.4166666666666667,0.7142857142857143
13,dok161.txt,AC,0.46153846153846156,0.8571428571428571
14,dok392.txt,WA,0.42857142857142855,0.8571428571428571
15,dok390.txt,WA,0.4,0.8571428571428571
16,dok164.txt,WA,0.375,0.8571428571428571
17,dok287.txt,WA,0.35294117647058826,0.8571428571428571
18,dok351.txt,WA,0.3333333333333333,0.8571428571428571
19,dok319.txt,WA,0.3157894736842105,0.8571428571428571
20,dok243.txt,WA,0.3,0.8571428571428571
21,dok101.txt,WA,0.2857142857142857,0.8571428571428571
22,dok30.txt,WA,0.2727272727272727,0.8571428571428571
23,dok353.txt,WA,0.2608695652173913,0.8571428571428571
24,dok346.txt,WA,0.25,0.8571428571428571
25,dok203.txt,WA,0.24,0.8571428571428571
26,dok269.txt,WA,0.23076923076923078,0.8571428571428571
27,dok231.txt,WA,0.2222222222222222,0.8571428571428571
28,dok190.txt,WA,0.21428571428571427,0.8571428571428571
29,dok209.txt,WA,0.20689655172413793,0.8571428571428571
30,dok365.txt,WA,0.2,0.8571428571428571
31,dok193.txt,WA,0.1935483870967742,0.8571428571428571
32,dok373.txt,WA,0.1875,0.8571428571428571
33,dok297.txt,WA,0.18181818181818182,0.8571428571428571
34,dok248.txt,WA,0.17647058823529413,0.8571428571428571
35,dok227.txt,WA,0.17142857142857143,0.8571428571428571
36,dok357.txt,WA,0.16666666666666666,0.8571428571428571
37,dok401.txt,WA,0.16216216216216217,0.8571428571428571
38,dok253.txt,WA,0.15789473684210525,0.8571428571428571
39,dok400.txt,WA,0.15384615384615385,0.8571428571428571
40,dok374.txt,WA,0.15,0.8571428571428571
41,dok11.txt,WA,0.14634146341463414,0.8571428571428571
42,dok82.txt,WA,0.14285714285714285,0.8571428571428571
43,dok378.txt,WA,0.13953488372093023,0.8571428571428571
44,dok301.txt,WA,0.13636363636363635,0.8571428571428571
45,dok217.txt,WA,0.13333333333333333,0.8571428571428571
46,dok402.txt,WA,0.13043478260869565,0.8571428571428571
47,dok288.txt,AC,0.14893617021276595,1.0
48,dok122.txt,WA,0.14583333333333334,1.0
49,dok51.txt,WA,0.14285714285714285,1.0
50,dok359.txt,WA,0.14,1.0
average precision,0.2686653920567869
