rank,document,verdict,Precision,Recall
1,dok195.txt,AC,1.0,0.16666666666666666
2,dok110.txt,AC,1.0,0.3333333333333333
3,dok39.txt,AC,1.0,0.5
4,dok365.txt,AC,1.0,0.6666666666666666
5,dok140.txt,WA,0.8,0.6666666666666666
6,dok69.txt,WA,0.6666666666666666,0.6666666666666666
7,dok248.txt,AC,0.7142857142857143,0.8333333333333334
8,dok394.txt,WA,0.625,0.8333333333333334
9,dok209.txt,WA,0.5555555555555556,0.8333333333333334
10,dok343.txt,WA,0.5,0.8333333333333334
11,dok402.txt,AC,0.5454545454545454,1.0
12,dok247.txt,WA,0.5,1.0
13,dok249.txt,WA,0.46153846153846156,1.0
14,dok142.txt,WA,0.42857142857142855,1.0
15,dok71.txt,WA,0.4,1.0
16,dok276.txt,WA,0.375,1.0
17,dok221.txt,WA,0.35294117647058826,1.0
18,dok215.txt,WA,0.3333333333333333,1.0
19,dok243.txt,WA,0.3157894736842105,1.0
20,dok203.txt,WA,0.3,1.0
21,dok255.txt,WA,0.2857142857142857,1.0
22,dok145.txt,WA,0.2727272727272727,1.0
23,dok212.txt,WA,0.2608695652173913,1.0
24,dok200.txt,WA,0.25,1.0
25,dok204.txt,WA,0.24,1.0
26,dok218.txt,WA,0.23076923076923078,1.0
27,dok253.txt,WA,0.2222222222222222,1.0
28,dok236.txt,WA,0.21428571428571427,1.0
29,dok192.txt,WA,0.20689655172413793,1.0
30,dok309.txt,WA,0.2,1.0
31,dok161.txt,WA,0.1935483870967742,1.0
32,dok296.txt,WA,0.1875,1.0
33,dok260.txt,WA,0.18181818181818182,1.0
34,dok228.txt,WA,0.17647058823529413,1.0
35,dok168.txt,WA,0.17142857142857143,1.0
36,dok22.txt,WA,0.16666666666666666,1.0
37,dok93.txt,WA,0.16216216216216217,1.0
38,dok385.txt,WA,0.15789473684210525,1.0
39,dok217.txt,WA,0.15384615384615385,1.0
40,dok401.txt,WA,0.15,1.0
41,dok399.txt,WA,0.14634146341463414,1.0
42,dok147.txt,WA,0.14285714285714285,1.0
43,dok153.txt,WA,0.13953488372093023,1.0
44,dok289.txt,WA,0.13636363636363635,1.0
45,dok230.txt,WA,0.13333333333333333,1.0
46,dok174.txt,WA,0.13043478260869565,1.0
47,dok345.txt,WA,0.1276595744680851,1.0
48,dok379.txt,WA,0.125,1.0
49,dok24.txt,WA,0.12244897959183673,1.0
50,dok95.txt,WA,0.12,1.0
average precision,0.34565860885349925
