rank,document,verdict,Precision,Recall
1,dok300.txt,WA,0.0,0.0
2,dok385.txt,AC,0.5,0.25
3,dok291.txt,WA,0.3333333333333333,0.25
4,dok5.txt,WA,0.25,0.25
5,dok76.txt,WA,0.2,0.25
6,dok24.txt,WA,0.16666666666666666,0.25
7,dok95.txt,WA,0.14285714285714285,0.25
8,dok157.txt,AC,0.25,0.5
9,dok112.txt,WA,0.2222222222222222,0.5
10,dok41.txt,WA,0.2,0.5
11,dok21.txt,WA,0.18181818181818182,0.5
12,dok92.txt,WA,0.16666666666666666,0.5
13,dok247.txt,WA,0.15384615384615385,0.5
14,dok370.txt,WA,0.14285714285714285,0.5
15,dok142.txt,WA,0.13333333333333333,0.5
16,dok71.txt,WA,0.125,0.5
17,dok329.txt,WA,0.11764705882352941,0.5
18,dok261.txt,WA,0.1111111111111111,0.5
19,dok108.txt,WA,0.10526315789473684,0.5
20,dok37.txt,WA,0.1,0.5
21,dok11.txt,WA,0.09523809523809523,0.5
22,dok82.txt,WA,0.09090909090909091,0.5
23,dok194.txt,WA,0.08695652173913043,0.5
24,dok368.txt,WA,0.08333333333333333,0.5
25,dok280.txt,WA,0.08,0.5
26,dok274.txt,WA,0.07692307692307693,0.5
27,dok331.txt,WA,0.07407407407407407,0.5
28,dok344.txt,WA,0.07142857142857142,0.5
29,dok3.txt,WA,0.06896551724137931,0.5
30,dok74.txt,WA,0.06666666666666667,0.5
31,dok168.txt,WA,0.06451612903225806,0.5
32,dok25.txt,AC,0.09375,0.75
33,dok96.txt,AC,0.12121212121212122,1.0
34,dok216.txt,WA,0.11764705882352941,1.0
35,dok386.txt,WA,0.11428571428571428,1.0
36,dok115.txt,WA,0.1111111111111111,1.0
37,dok44.txt,WA,0.10810810810810811,1.0
38,dok296.txt,WA,0.10526315789473684,1.0
39,dok135.txt,WA,0.10256410256410256,1.0
40,dok64.txt,WA,0.1,1.0
41,dok365.txt,WA,0.0975609756097561,1.0
42,dok192.txt,WA,0.09523809523809523,1.0
43,dok371.txt,WA,0.09302325581395349,1.0
44,dok113.txt,WA,0.09090909090909091,1.0
45,dok42.txt,WA,0.08888888888888889,1.0
46,dok252.txt,WA,0.08695652173913043,1.0
47,dok224.txt,WA,0.0851063829787234,1.0
48,dok243.txt,WA,0.08333333333333333,1.0
49,dok393.txt,WA,0.08163265306122448,1.0
50,dok394.txt,WA,0.08,1.0
average precision,0.12636447639175027
