rank,document,verdict,Precision,Recall
1,dok365.txt,WA,0.0,0.0
2,dok386.txt,WA,0.0,0.0
3,dok181.txt,WA,0.0,0.0
4,dok337.txt,WA,0.0,0.0
5,dok247.txt,WA,0.0,0.0
6,dok110.txt,WA,0.0,0.0
7,dok39.txt,WA,0.0,0.0
8,dok212.txt,WA,0.0,0.0
9,dok343.txt,AC,0.1111111111111111,0.25
10,dok240.txt,WA,0.1,0.25
11,dok142.txt,AC,0.18181818181818182,0.5
12,dok71.txt,AC,0.25,0.75
13,dok387.txt,WA,0.23076923076923078,0.75
14,dok253.txt,WA,0.21428571428571427,0.75
15,dok192.txt,WA,0.2,0.75
16,dok11.txt,WA,0.1875,0.75
17,dok82.txt,WA,0.17647058823529413,0.75
18,dok10.txt,WA,0.16666666666666666,0.75
19,dok81.txt,WA,0.15789473684210525,0.75
20,dok394.txt,AC,0.2,1.0
21,dok248.txt,WA,0.19047619047619047,1.0
22,dok132.txt,WA,0.18181818181818182,1.0
23,dok61.txt,WA,0.17391304347826086,1.0
24,dok133.txt,WA,0.16666666666666666,1.0
25,dok62.txt,WA,0.16,1.0
26,dok113.txt,WA,0.15384615384615385,1.0
27,dok42.txt,WA,0.14814814814814814,1.0
28,dok367.txt,WA,0.14285714285714285,1.0
29,dok383.txt,WA,0.13793103448275862,1.0
30,dok105.txt,WA,0.13333333333333333,1.0
31,dok34.txt,WA,0.12903225806451613,1.0
32,dok210.txt,WA,0.125,1.0
33,dok331.txt,WA,0.12121212121212122,1.0
34,dok80.txt,WA,0.11764705882352941,1.0
35,dok9.txt,WA,0.11428571428571428,1.0
36,dok15.txt,WA,0.1111111111111111,1.0
37,dok86.txt,WA,0.10810810810810811,1.0
38,dok28.txt,WA,0.10526315789473684,1.0
39,dok99.txt,WA,0.10256410256410256,1.0
40,dok179.txt,WA,0.1,1.0
41,dok140.txt,WA,0.0975609756097561,1.0
42,dok69.txt,WA,0.09523809523809523,1.0
43,dok378.txt,WA,0.09302325581395349,1.0
44,dok402.txt,WA,0.09090909090909091,1.0
45,dok24.txt,WA,0.08888888888888889,1.0
46,dok95.txt,WA,0.08695652173913043,1.0
47,dok18.txt,WA,0.0851063829787234,1.0
48,dok89.txt,WA,0.08333333333333333,1.0
49,dok116.txt,WA,0.08163265306122448,1.0
50,dok45.txt,WA,0.08,1.0
average precision,0.11564757908942547
