rank,document,verdict,Precision,Recall
1,dok365.txt,WA,0.0,0.0
2,dok394.txt,WA,0.0,0.0
3,dok402.txt,WA,0.0,0.0
4,dok24.txt,AC,0.25,0.2
5,dok95.txt,AC,0.4,0.4
6,dok269.txt,WA,0.3333333333333333,0.4
7,dok15.txt,WA,0.2857142857142857,0.4
8,dok86.txt,WA,0.25,0.4
9,dok385.txt,AC,0.3333333333333333,0.6
10,dok319.txt,WA,0.3,0.6
11,dok189.txt,WA,0.2727272727272727,0.6
12,dok113.txt,WA,0.25,0.6
13,dok42.txt,WA,0.23076923076923078,0.6
14,dok209.txt,WA,0.21428571428571427,0.6
15,dok397.txt,WA,0.2,0.6
16,dok275.txt,WA,0.1875,0.6
17,dok203.txt,WA,0.17647058823529413,0.6
18,dok101.txt,WA,0.16666666666666666,0.6
19,dok261.txt,WA,0.15789473684210525,0.6
20,dok111.txt,WA,0.15,0.6
21,dok40.txt,WA,0.14285714285714285,0.6
22,dok188.txt,WA,0.13636363636363635,0.6
23,dok331.txt,WA,0.13043478260869565,0.6
24,dok115.txt,WA,0.125,0.6
25,dok44.txt,WA,0.12,0.6
26,dok157.txt,WA,0.11538461538461539,0.6
27,dok176.txt,WA,0.1111111111111111,0.6
28,dok220.txt,WA,0.10714285714285714,0.6
29,dok6.txt,WA,0.10344827586206896,0.6
30,dok77.txt,WA,0.1,0.6
31,dok353.txt,WA,0.0967741935483871,0.6
32,dok17.txt,WA,0.09375,0.6
33,dok88.txt,WA,0.09090909090909091,0.6
34,dok165.txt,WA,0.08823529411764706,0.6
35,dok159.txt,WA,0.08571428571428572,0.6
36,dok280.txt,WA,0.08333333333333333,0.6
37,dok334.txt,WA,0.08108108108108109,0.6
38,dok79.txt,WA,0.07894736842105263,0.6
39,dok8.txt,WA,0.07692307692307693,0.6
40,dok21.txt,WA,0.075,0.6
41,dok92.txt,WA,0.07317073170731707,0.6
42,dok389.txt,WA,0.07142857142857142,0.6
43,dok128.txt,WA,0.06976744186046512,0.6
44,dok57.txt,WA,0.06818181818181818,0.6
45,dok183.txt,WA,0.06666666666666667,0.6
46,dok20.txt,AC,0.08695652173913043,0.8
47,dok91.txt,AC,0.10638297872340426,1.0
48,dok126.txt,WA,0.10416666666666667,1.0
49,dok55.txt,WA,0.10204081632653061,1.0
50,dok243.txt,WA,0.1,1.0
average precision,0.14099735041171774
