rank,document,verdict,Precision,Recall
1,dok248.txt,AC,1.0,0.25
2,dok402.txt,WA,0.5,0.25
3,dok365.txt,AC,0.6666666666666666,0.5
4,dok212.txt,WA,0.5,0.5
5,dok218.txt,WA,0.4,0.5
6,dok253.txt,AC,0.5,0.75
7,dok215.txt,WA,0.42857142857142855,0.75
8,dok110.txt,WA,0.375,0.75
9,dok39.txt,WA,0.3333333333333333,0.75
10,dok247.txt,WA,0.3,0.75
11,dok377.txt,WA,0.2727272727272727,0.75
12,dok145.txt,WA,0.25,0.75
13,dok149.txt,WA,0.23076923076923078,0.75
14,dok276.txt,WA,0.21428571428571427,0.75
15,dok362.txt,WA,0.2,0.75
16,dok225.txt,WA,0.1875,0.75
17,dok228.txt,WA,0.17647058823529413,0.75
18,dok161.txt,WA,0.16666666666666666,0.75
19,dok192.txt,WA,0.15789473684210525,0.75
20,dok335.txt,WA,0.15,0.75
21,dok227.txt,WA,0.14285714285714285,0.75
22,dok369.txt,WA,0.13636363636363635,0.75
23,dok307.txt,WA,0.13043478260869565,0.75
24,dok399.txt,WA,0.125,0.75
25,dok148.txt,WA,0.12,0.75
26,dok153.txt,WA,0.11538461538461539,0.75
27,dok289.txt,WA,0.1111111111111111,0.75
28,dok204.txt,WA,0.10714285714285714,0.75
29,dok147.txt,WA,0.10344827586206896,0.75
30,dok256.txt,WA,0.1,0.75
31,dok366.txt,WA,0.0967741935483871,0.75
32,dok252.txt,WA,0.09375,0.75
33,dok285.txt,WA,0.09090909090909091,0.75
34,dok108.txt,WA,0.08823529411764706,0.75
35,dok37.txt,WA,0.08571428571428572,0.75
36,dok198.txt,AC,0.1111111111111111,1.0
37,dok251.txt,WA,0.10810810810810811,1.0
38,dok205.txt,WA,0.10526315789473684,1.0
39,dok398.txt,WA,0.10256410256410256,1.0
40,dok249.txt,WA,0.1,1.0
41,dok367.txt,WA,0.0975609756097561,1.0
42,dok105.txt,WA,0.09523809523809523,1.0
43,dok34.txt,WA,0.09302325581395349,1.0
44,dok232.txt,WA,0.09090909090909091,1.0
45,dok400.txt,WA,0.08888888888888889,1.0
46,dok208.txt,WA,0.08695652173913043,1.0
47,dok368.txt,WA,0.0851063829787234,1.0
48,dok347.txt,WA,0.08333333333333333,1.0
49,dok357.txt,WA,0.08163265306122448,1.0
50,dok338.txt,WA,0.08,1.0
average precision,0.20133413201935013
