rank,document,verdict,Precision,Recall
1,dok365.txt,WA,0.0,0.0
2,dok110.txt,WA,0.0,0.0
3,dok39.txt,WA,0.0,0.0
4,dok195.txt,WA,0.0,0.0
5,dok126.txt,AC,0.2,0.25
6,dok55.txt,AC,0.3333333333333333,0.5
7,dok212.txt,WA,0.2857142857142857,0.5
8,dok149.txt,WA,0.25,0.5
9,dok359.txt,WA,0.2222222222222222,0.5
10,dok248.txt,WA,0.2,0.5
11,dok402.txt,WA,0.18181818181818182,0.5
12,dok187.txt,WA,0.16666666666666666,0.5
13,dok192.txt,WA,0.15384615384615385,0.5
14,dok247.txt,WA,0.14285714285714285,0.5
15,dok197.txt,WA,0.13333333333333333,0.5
16,dok6.txt,AC,0.1875,0.75
17,dok77.txt,AC,0.23529411764705882,1.0
18,dok145.txt,WA,0.2222222222222222,1.0
19,dok148.txt,WA,0.21052631578947367,1.0
20,dok218.txt,WA,0.2,1.0
21,dok362.txt,WA,0.19047619047619047,1.0
22,dok276.txt,WA,0.18181818181818182,1.0
23,dok285.txt,WA,0.17391304347826086,1.0
24,dok225.txt,WA,0.16666666666666666,1.0
25,dok222.txt,WA,0.16,1.0
26,dok335.txt,WA,0.15384615384615385,1.0
27,dok253.txt,WA,0.14814814814814814,1.0
28,dok347.txt,WA,0.14285714285714285,1.0
29,dok208.txt,WA,0.13793103448275862,1.0
30,dok215.txt,WA,0.13333333333333333,1.0
31,dok256.txt,WA,0.12903225806451613,1.0
32,dok366.txt,WA,0.125,1.0
33,dok249.txt,WA,0.12121212121212122,1.0
34,dok161.txt,WA,0.11764705882352941,1.0
35,dok338.txt,WA,0.11428571428571428,1.0
36,dok236.txt,WA,0.1111111111111111,1.0
37,dok228.txt,WA,0.10810810810810811,1.0
38,dok367.txt,WA,0.10526315789473684,1.0
39,dok127.txt,WA,0.10256410256410256,1.0
40,dok56.txt,WA,0.1,1.0
41,dok183.txt,WA,0.0975609756097561,1.0
42,dok369.txt,WA,0.09523809523809523,1.0
43,dok109.txt,WA,0.09302325581395349,1.0
44,dok38.txt,WA,0.09090909090909091,1.0
45,dok205.txt,WA,0.08888888888888889,1.0
46,dok227.txt,WA,0.08695652173913043,1.0
47,dok350.txt,WA,0.0851063829787234,1.0
48,dok234.txt,WA,0.08333333333333333,1.0
49,dok243.txt,WA,0.08163265306122448,1.0
50,dok172.txt,WA,0.08,1.0
average precision,0.13862393400386094
