rank,document,verdict,Precision,Recall
1,dok253.txt,WA,0.0,0.0
2,dok385.txt,WA,0.0,0.0
3,dok394.txt,WA,0.0,0.0
4,dok24.txt,WA,0.0,0.0
5,dok95.txt,WA,0.0,0.0
6,dok402.txt,WA,0.0,0.0
7,dok142.txt,WA,0.0,0.0
8,dok71.txt,WA,0.0,0.0
9,dok365.txt,WA,0.0,0.0
10,dok15.txt,AC,0.1,0.16666666666666666
11,dok86.txt,AC,0.18181818181818182,0.3333333333333333
12,dok390.txt,WA,0.16666666666666666,0.3333333333333333
13,dok157.txt,WA,0.15384615384615385,0.3333333333333333
14,dok25.txt,WA,0.14285714285714285,0.3333333333333333
15,dok96.txt,WA,0.13333333333333333,0.3333333333333333
16,dok299.txt,WA,0.125,0.3333333333333333
17,dok19.txt,WA,0.11764705882352941,0.3333333333333333
18,dok90.txt,WA,0.1111111111111111,0.3333333333333333
19,dok261.txt,WA,0.10526315789473684,0.3333333333333333
20,dok274.txt,WA,0.1,0.3333333333333333
21,dok159.txt,WA,0.09523809523809523,0.3333333333333333
22,dok228.txt,WA,0.09090909090909091,0.3333333333333333
23,dok328.txt,WA,0.08695652173913043,0.3333333333333333
24,dok115.txt,WA,0.08333333333333333,0.3333333333333333
25,dok44.txt,WA,0.08,0.3333333333333333
26,dok334.txt,WA,0.07692307692307693,0.3333333333333333
27,dok224.txt,WA,0.07407407407407407,0.3333333333333333
28,dok22.txt,WA,0.07142857142857142,0.3333333333333333
29,dok93.txt,WA,0.06896551724137931,0.3333333333333333
30,dok213.txt,WA,0.06666666666666667,0.3333333333333333
31,dok384.txt,WA,0.06451612903225806,0.3333333333333333
32,dok23.txt,WA,0.0625,0.3333333333333333
33,dok94.txt,WA,0.06060606060606061,0.3333333333333333
34,dok280.txt,WA,0.058823529411764705,0.3333333333333333
35,dok2.txt,AC,0.08571428571428572,0.5
36,dok73.txt,AC,0.1111111111111111,0.6666666666666666
37,dok186.txt,WA,0.10810810810810811,0.6666666666666666
38,dok121.txt,WA,0.10526315789473684,0.6666666666666666
39,dok50.txt,WA,0.10256410256410256,0.6666666666666666
40,dok267.txt,WA,0.1,0.6666666666666666
41,dok308.txt,WA,0.0975609756097561,0.6666666666666666
42,dok304.txt,AC,0.11904761904761904,0.8333333333333334
43,dok1.txt,WA,0.11627906976744186,0.8333333333333334
44,dok72.txt,WA,0.11363636363636363,0.8333333333333334
45,dok102.txt,WA,0.1111111111111111,0.8333333333333334
46,dok31.txt,WA,0.10869565217391304,0.8333333333333334
47,dok389.txt,WA,0.10638297872340426,0.8333333333333334
48,dok183.txt,WA,0.10416666666666667,0.8333333333333334
49,dok396.txt,AC,0.12244897959183673,1.0
average precision,0.08348109499336356
